[IRV | KN | OT | Proverbs | Chapter 2 | Verse 1] ಕಂದಾ, ನನ್ನ ಮಾತುಗಳನ್ನು ಅಂಗೀಕರಿಸಿ, ನನ್ನ ವಿಧಿಗಳನ್ನು ನಿಧಿಯಂತೆ ಕಾಪಾಡಿಕೋ,
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 2] ನಿನ್ನ ಕಿವಿಯನ್ನು ಜ್ಞಾನದ ಕಡೆಗೂ, ಹೃದಯವನ್ನು ವಿವೇಕದ ಕಡೆಗೂ ತಿರುಗಿಸು;
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 3] ಬುದ್ಧಿಗಾಗಿ ಮೊರೆಯಿಟ್ಟು, ವಿವೇಕಕ್ಕಾಗಿ ಕೂಗಿಕೋ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 4] ಅದನ್ನು ಬೆಳ್ಳಿಯಂತೆಯು ಮತ್ತು ನಿಕ್ಷೇಪದಂತೆಯು ಹುಡುಕು;
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 5] ಆಗ ನೀನು ಯೆಹೋವನ ಭಯವನ್ನು ಅರಿತು, ದೈವಜ್ಞಾನವನ್ನು ಪಡೆದುಕೊಳ್ಳುವಿ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 6] ಯೆಹೋವನೇ ಜ್ಞಾನವನ್ನು ಕೊಡುವಾತನು, ಆತನ ಬಾಯಿಂದಲೇ ತಿಳಿವಳಿಕೆಯೂ, ವಿವೇಕವೂ ಹೊರಟು ಬರುತ್ತವೆ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 7] ಆತನು ಯಥಾರ್ಥಚಿತ್ತರಿಗಾಗಿ ಸುಜ್ಞಾನವನ್ನು ಕೂಡಿಸಿಡುವನು. ದೋಷವಿಲ್ಲದೆ ನಡೆಯುವವರಿಗೆ ಗುರಾಣಿಯಾಗಿದ್ದು,
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 8] ನ್ಯಾಯಮಾರ್ಗವನ್ನು ರಕ್ಷಿಸುತ್ತಾ, ತನ್ನ ಭಕ್ತರ ದಾರಿಯನ್ನು ನೋಡಿಕೊಳ್ಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 9] ಹೀಗಿರಲು ನೀನು ನೀತಿ, ನ್ಯಾಯ, ಧರ್ಮವನ್ನೂ ಅಂದರೆ ಸಕಲ ಸನ್ಮಾರ್ಗಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳುವಿ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 10] ಜ್ಞಾನವು ನಿನ್ನ ಹೃದಯದೊಳಗೆ ಪ್ರವೇಶಿಸುವುದು, ತಿಳಿವಳಿಕೆಯು ನಿನ್ನ ಆತ್ಮಕ್ಕೆ ಹಿತಕರವಾಗಿರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 11] ಬುದ್ಧಿಯು ನಿನಗೆ ಕಾವಲಾಗಿರುವುದು, ವಿವೇಕವು ನಿನ್ನನ್ನು ಕಾಪಾಡುವುದು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 12] ಇದರಿಂದ ನೀನು ದುರ್ಮಾರ್ಗದಿಂದಲೂ, ಕೆಟ್ಟ ಮಾತನಾಡುವವರಿಂದಲೂ ತಪ್ಪಿಸಿಕೊಳ್ಳುವಿ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 13] ಅವರಾದರೋ ಕತ್ತಲೆಯ ಮಾರ್ಗಗಳನ್ನು ಹಿಡಿಯಬೇಕೆಂದು, ಧರ್ಮಮಾರ್ಗಗಳನ್ನು ತೊರೆದುಬಿಡುವರು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 14] ಅವರು ಕೆಟ್ಟದ್ದನ್ನು ಮಾಡುವುದರಲ್ಲಿ ಸಂತೋಷಿಸಿ, ಕೆಟ್ಟವರ ದುಷ್ಟತನದಲ್ಲಿ ಆನಂದಿಸುವರು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 15] ಅವರ ಮಾರ್ಗಗಳು ವಕ್ರವಾಗಿವೆ. ಅವರ ನಡತೆಗಳು ದುರ್ನಡತೆಗಳೇ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 16] ವಿವೇಕವು ನಿನ್ನನ್ನು ಜಾರಳಿಂದ ಅಂದರೆ ಸವಿಮಾತನಾಡುವ ಪರಸ್ತ್ರೀಯಿಂದ ತಪ್ಪಿಸುವುದು.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 17] ಅವಳು ತನ್ನ ಯೌವನಕಾಲದ ಕಾಂತನನ್ನು ತ್ಯಜಿಸಿ, ತನ್ನ ದೇವರ ಮುಂದೆ ಮಾಡಿಕೊಂಡ ಒಡಂಬಡಿಕೆಯನ್ನು ಮರೆತುಬಿಟ್ಟಿದ್ದಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 18] ಅವಳ ಮನೆಯು ಪಾತಾಳಕ್ಕೆ ಇಳಿಯುವ ದಾರಿ, ಅವಳ ಮಾರ್ಗಗಳು ಪ್ರೇತಲೋಕಕ್ಕೆ ಹೋಗುತ್ತವೆ.
[IRV | KN | OT | Proverbs | Chapter 2 | Verse 19] ಅವಳ ಬಳಿಗೆ ಹೋಗುವವರು ಯಾರೂ ಹಿಂದಿರುಗುವುದಿಲ್ಲ, ಅವರಿಗೆ ಜೀವದ ಮಾರ್ಗವು ದೊರೆಯುವುದೇ ಇಲ್ಲ.
