[IRV | KN | OT | Proverbs | Chapter 8 | Verse 1] ಜ್ಞಾನವೆಂಬಾಕೆಯು ಕರೆಯುತ್ತಾಳಲ್ಲವೇ? ವಿವೇಕವೆಂಬ ಆಕೆಯು ಧ್ವನಿಗೈಯುತ್ತಾಳಲ್ಲವೇ?
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 2] ಆಕೆಯು ರಾಜಮಾರ್ಗಗಳ ಮುಖ್ಯಸ್ಥಾನದಲ್ಲಿ, ದಾರಿಯ ಪಕ್ಕದಲ್ಲಿ, ನಡುಬೀದಿಯಲ್ಲಿ ನಿಂತುಕೊಳ್ಳುತ್ತಾಳೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 3] ಆಕೆ ಪಟ್ಟಣದ ಪ್ರವೇಶ ದ್ವಾರದಲ್ಲಿ, ಬಾಗಿಲುಗಳೊಳಗೆ ಜನಸೇರುವ ಸ್ಥಳದಲ್ಲಿ ಹೀಗೆ ಕೂಗುತ್ತಾಳೆ,
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 4] “ಜನರೇ, ನಿಮ್ಮನ್ನೇ ಕರೆಯುತ್ತೇನೆ, ಮಾನವರಿಗಾಗಿಯೇ ಧ್ವನಿಗೈಯುತ್ತೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 5] ಮೂಢರೇ, ಜಾಣತನವನ್ನು ಕಲಿತುಕೊಳ್ಳಿರಿ, ಜ್ಞಾನಹೀನರೇ, ಬುದ್ಧಿಯನ್ನು ಗ್ರಹಿಸಿಕೊಳ್ಳಿರಿ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 6] ಕೇಳಿರಿ, ನಾನು ಶ್ರೇಷ್ಠವಾದ ಸಂಗತಿಗಳನ್ನು ಹೇಳುವೆನು, ಯಥಾರ್ಥಕ್ಕಾಗಿಯೇ ತುಟಿಗಳನ್ನು ತೆರೆಯುವೆನು,
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 7] ನನ್ನ ಬಾಯಿ ಸತ್ಯವನ್ನೇ ಆಡುವುದು, ದುಷ್ಟತನವು ನನ್ನ ತುಟಿಗಳಿಗೆ ಅಸಹ್ಯವಾಗಿದೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 8] ನನ್ನ ಮಾತುಗಳೆಲ್ಲಾ ನೀತಿಭರಿತವಾಗಿವೆ, ಅವುಗಳಲ್ಲಿ ಕಪಟವೂ, ವಕ್ರತೆಯೂ ಇಲ್ಲ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 9] ಅವೆಲ್ಲಾ ಗ್ರಹಿಕೆಯುಳ್ಳವನಿಗೆ ನ್ಯಾಯವಾಗಿಯೂ, ತಿಳಿವಳಿಕೆಯನ್ನು ಪಡೆದವರಿಗೆ ಯಥಾರ್ಥವಾಗಿಯೂ ತೋರುವವು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 10] ನನ್ನ ಬೋಧನೆಯನ್ನು ಬೆಳ್ಳಿಗಿಂತಲೂ ಮತ್ತು ಜ್ಞಾನೋಪದೇಶವನ್ನು ಅಪರಂಜಿಗಿಂತಲೂ ಉತ್ತಮವೆಂದು ಹೊಂದಿಕೊಳ್ಳಿರಿ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 11] ಜ್ಞಾನವು ಹವಳಕ್ಕಿಂತಲೂ ಶ್ರೇಷ್ಠ, ಇಷ್ಟವಸ್ತುಗಳೆಲ್ಲವೂ ಅದಕ್ಕೆ ಸಮವಲ್ಲ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 12] ಜ್ಞಾನವೆಂಬ ನನಗೆ ಜಾಣ್ಮೆಯೇ ನಿವಾಸ, ಯುಕ್ತಿಗಳ ತಿಳಿವಳಿಕೆಯನ್ನು ಹೊಂದಿದ್ದೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 13] ಯೆಹೋವನ ಭಯವು ಪಾಪದ್ವೇಷವನ್ನು ಹುಟ್ಟಿಸುತ್ತದೆ; ಗರ್ವ, ಅಹಂಭಾವ, ದುರ್ಮಾರ್ಗತನ, ಕುಟಿಲ ಭಾಷಣ ಇವುಗಳನ್ನು ಹಗೆಮಾಡುತ್ತೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 14] ಸದ್ಯೋಚನೆಯೂ, ಸುಜ್ಞಾನವೂ, ಸಾಮರ್ಥ್ಯವೂ ನನ್ನಲ್ಲಿವೆ, ವಿವೇಕವೂ ನಾನೇ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 15] ನನ್ನ ಸಹಾಯದಿಂದ ರಾಜರು ಆಳುವರು, ಅಧಿಪತಿಗಳು ಸಹ ನ್ಯಾಯತೀರಿಸುವರು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 16] ನನ್ನ ಮೂಲಕ ಪ್ರಭುಗಳು, ನಾಯಕರು ಅಂತು ಭೂಪತಿಗಳೆಲ್ಲರೂ ದೊರೆತನ ಮಾಡುವರು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 17] ನನ್ನನ್ನು ಪ್ರೀತಿಸುವವರನ್ನು ನಾನು ಪ್ರೀತಿಸುತ್ತೇನೆ, ಆತುರದಿಂದ ಹುಡುಕುವವರು ನನ್ನನ್ನು ಕಂಡುಕೊಳ್ಳುವರು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 18] ನನ್ನಲ್ಲಿ ಧನ, ಘನತೆ, ಶ್ರೇಷ್ಠಸಂಪತ್ತೂ, ನೀತಿಯೂ ಇರುತ್ತವೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 19] ನನ್ನಿಂದಾಗುವ ಫಲವು ಬಂಗಾರಕ್ಕಿಂತಲೂ ಹೌದು ಅಪರಂಜಿಗಿಂತಲೂ ಉತ್ತಮ. ನನ್ನ ಮೂಲಕವಾದ ಆದಾಯವು ಚೊಕ್ಕ ಬೆಳ್ಳಿಗಿಂತಲೂ ಅಮೂಲ್ಯವಾಗಿದೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 20] ನಾನು ಹಿಡಿದಿರುವ ದಾರಿಯು ನೀತಿಯೇ, ನ್ಯಾಯಮಾರ್ಗಗಳಲ್ಲಿ ನಡೆಯುತ್ತೇನೆ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 21] ಹೀಗಿರಲು ನನ್ನನ್ನು ಪ್ರೀತಿಸುವವರಿಗೆ ಧನದ ಬಾಧ್ಯತೆಯನ್ನು ಅನುಗ್ರಹಿಸಿ, ಅವರ ಬೊಕ್ಕಸಗಳನ್ನು ತುಂಬಿಸುವೆನು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 22] ಯೆಹೋವನು ತನ್ನ ಸೃಷ್ಟಿಕ್ರಮದಲ್ಲಿ ಮೊದಲು ನನ್ನನ್ನು ನಿರ್ಮಿಸಿದನು; ಆತನ ಪುರಾತನಕಾರ್ಯಗಳಲ್ಲಿ ನಾನೇ ಪ್ರಥಮ.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 23] ಪ್ರಾರಂಭದಲ್ಲಿ, ಭೂಮಿಯು ಹುಟ್ಟುವುದಕ್ಕಿಂತ ಮುಂಚೆ, ಅನಾದಿಕಾಲದಲ್ಲಿ ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟೆನು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 24] ಜಲನಿಧಿಗಳಾಗಲಿ, ನೀರು ತುಂಬಿದ ಬುಗ್ಗೆಗಳಾಗಲಿ ಇಲ್ಲದಿರುವಾಗ ನಾನು ಹುಟ್ಟಿದೆನು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 25] ಬೆಟ್ಟಗುಡ್ಡಗಳು ಬೇರೂರಿ ನಿಲ್ಲುವುದಕ್ಕೆ ಮುಂಚೆ ಆತನು ಭೂಲೋಕವನ್ನಾಗಲಿ, ಬಯಲನ್ನಾಗಲಿ,
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 26] ಭೂಮಿಯ ಮೊದಲನೆಯ ಅಣುರೇಣನ್ನಾಗಲಿ ನಿರ್ಮಿಸದೆ ಇರುವಾಗ ನಾನು ಹುಟ್ಟಿದೆನು.
[IRV | KN | OT | Proverbs | Chapter 8 | Verse 27] ಆತನು ಸಾಗರದ ಮೇಲೆ ಚಕ್ರಾಕಾರವಾದ ಗೆರೆಯನ್ನು ಎಳೆದು, ಆಕಾಶಮಂಡಲವನ್ನು ಸ್ಥಾಪಿಸುವಾಗ ಅಲ್ಲಿದ್ದೆನು.
