[IRV | KN | OT | Proverbs | Chapter 16 | Verse 1] ಹೃದಯದ ಸಂಕಲ್ಪವು ಮನುಷ್ಯನ ವಶವು, ತಕ್ಕ ಉತ್ತರಕೊಡುವ ಶಕ್ತಿಯು ಯೆಹೋವನಿಂದಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 2] ಮನುಷ್ಯನ ನಡತೆಯೆಲ್ಲಾ ಸ್ವಂತ ದೃಷ್ಟಿಗೆ ಶುದ್ಧವಾಗಿದೆ, ಯೆಹೋವನು ಅಂತರಂಗವನ್ನೇ ಪರೀಕ್ಷಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 3] ನಿನ್ನ ಕಾರ್ಯಭಾರವನ್ನು ಯೆಹೋವನಿಗೆ ವಹಿಸಿದರೆ, ನಿನ್ನ ಉದ್ದೇಶಗಳು ಸಫಲವಾಗುವವು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 4] ಯೆಹೋವನು ಒಂದೊಂದನ್ನೂ ತಕ್ಕ ಗುರಿಯಿಂದ ಸೃಷ್ಟಿಸಿದ್ದಾನೆ, ಹೌದು, ಕೇಡಿನ ದಿನಕ್ಕಾಗಿ ಕೆಡುಕರನ್ನು ಉಂಟುಮಾಡಿದ್ದಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 5] ಅಹಂಕಾರಿಗಳೆಲ್ಲಾ ಯೆಹೋವನಿಗೆ ಅಸಹ್ಯ, ಅವರಿಗೆ ದಂಡನೆ ಖಂಡಿತ.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 6] ಕೃಪಾಸತ್ಯತೆಗಳಿಂದ ಪಾಪನಿವಾರಣೆ, ಯೆಹೋವನ ಭಯಭಕ್ತಿಯಿಂದ ಹಾನಿನಿವಾರಣೆ.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 7] ಯೆಹೋವನು ಒಬ್ಬನ ನಡತೆಗೆ ಮೆಚ್ಚಿದರೆ, ಅವನ ಶತ್ರುಗಳನ್ನೂ ಮಿತ್ರರನ್ನಾಗಿ ಮಾಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 8] ಅನ್ಯಾಯದಿಂದ ಗಳಿಸಿದ ಬಹು ಧನಕ್ಕಿಂತಲೂ, ನ್ಯಾಯದಿಂದ ಕೂಡಿಸಿದ ಅಲ್ಪ ಧನವೇ ಲೇಸು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 9] ಮನುಷ್ಯನು ತನ್ನ ಮನದಂತೆ ದಾರಿಯನ್ನು ಆರಿಸಿಕೊಂಡರೂ, ಯೆಹೋವನೇ ಅವನಿಗೆ ಗತಿಯನ್ನು ಏರ್ಪಡಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 10] ರಾಜನ ತುಟಿಗಳಲ್ಲಿ ದೈವೋಕ್ತಿ, ನ್ಯಾಯತೀರಿಸುವುದರಲ್ಲಿ ಅವನ ಬಾಯಿ ತಪ್ಪಿಹೋಗದು.
[IRV | KN | OT | Proverbs | Chapter 16 | Verse 11] ನ್ಯಾಯದ ಅಳತೆ ಮತ್ತು ತಕ್ಕಡಿಗಳು ಯೆಹೋವನ ಏರ್ಪಾಡು, ಚೀಲದಲ್ಲಿನ ತೂಕದಕಲ್ಲುಗಳೆಲ್ಲಾ ಆತನ ಕೈಕೆಲಸವೇ.
