[IRV | KN | OT | Proverbs | Chapter 6 | Verse 1] ಮಗನೇ, ನೀನು ನೆರೆಯವನ ಸಾಲಕ್ಕೆ ಹೊಣೆಯಾಗಿದ್ದರೆ, ಪರನೊಂದಿಗೆ ಪ್ರಮಾಣ ಮಾಡಿಕೊಂಡಿದ್ದರೆ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 2] ನೀನು ಮಾತುಕೊಟ್ಟು ಪಾಶಕ್ಕೆ ಸಿಕ್ಕಿಕೊಂಡಿದ್ದೀ, ನಿನ್ನ ವಾಗ್ದಾನವು ನಿನ್ನನ್ನು ಹಿಡಿದಿದೆ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 3] ಹೀಗಿರಲು, ಮಗನೇ, ನೀನು ನೆರೆಯವನ ಕೈಗೆ ಸಿಕ್ಕಿಕೊಂಡದ್ದರಿಂದ ತಪ್ಪಿಸಿಕೊಳ್ಳುವ ಒಂದು ಕೆಲಸ ಮಾಡು, ನಡೆ, ತ್ವರೆಪಡು, ಆ ನೆರೆಯವನನ್ನು ಅಂಗಲಾಚಿ ಬೇಡಿಕೋ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 4] ನಿನ್ನ ಕಣ್ಣುಗಳಿಗೆ ನಿದ್ರೆಕೊಡಬೇಡ, ನಿನ್ನ ರೆಪ್ಪೆಗಳನ್ನು ಮುಚ್ಚಬೇಡ;
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 5] ಬೇಟೆಗಾರನ ಕೈಯಿಂದ ಜಿಂಕೆಯು ಓಡುವಂತೆಯೂ, ಪಕ್ಷಿಯು ಹಾರಿ ಹೋಗುವ ಹಾಗೂ ತಪ್ಪಿಸಿಕೋ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 6] ಸೋಮಾರಿಯೇ, ಇರುವೆಯ ಹತ್ತಿರ ಹೋಗಿ, ಅದರ ನಡವಳಿಕೆಯನ್ನು ನೋಡಿ ಜ್ಞಾನವನ್ನು ಪಡೆದುಕೋ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 7] ಅದಕ್ಕೆ ನಾಯಕ, ಅಧಿಕಾರಿ ಹಾಗೂ ಪ್ರಭುಗಳಿಲ್ಲದಿದ್ದರೂ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 8] ಬೇಸಿಗೆಯಲ್ಲಿ ತನ್ನ ತೀನಿಯನ್ನು ಸಿದ್ಧಮಾಡುವುದು, ಸುಗ್ಗಿಯ ಕಾಲದಲ್ಲಿ ತನಗೆ ಬೇಕಾದಷ್ಟು ಆಹಾರವನ್ನು ಸಂಗ್ರಹಿಸಿಟ್ಟುಕೊಳ್ಳುವುದು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 9] ಸೋಮಾರಿಯೇ, ಎಷ್ಟು ಹೊತ್ತು ನಿದ್ರೆ? ನಿದ್ರೆಯಿಂದ ಯಾವಾಗ ಎಚ್ಚರಗೊಳ್ಳುವಿ?
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 10] “ಇನ್ನು ಸ್ವಲ್ಪ ನಿದ್ದೆ, ಇನ್ನು ಸ್ವಲ್ಪ ತೂಕಡಿಕೆ, ಇನ್ನೂ ಕೊಂಚ ನಿದ್ದೆಗಾಗಿ ಕೈಮುದುರಿಕೊಳ್ಳುವೆ” ಅಂದುಕೊಳ್ಳುವಿಯಾ?
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 11] ಬಡತನವು ದಾರಿಗಳ್ಳನ ಹಾಗೂ ಕೊರತೆಯು ಪಂಜುಗಳ್ಳನಂತೆಯೂ ನಿನ್ನ ಮೇಲೆ ಬೀಳುವವು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 12] ನೀಚನೂ, ದುಷ್ಟನೂ ಆಗಿರುವ ಮನುಷ್ಯನ ನಡತೆಯನ್ನು ನೋಡು, ಅವನು ವಕ್ರ ಮಾತಿನವನಾಗಿದ್ದಾನೆ,
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 13] ಕಣ್ಣನ್ನು ಮಿಟಕಿಸುತ್ತಾನೆ, ಕಾಲಿನಿಂದ ಕೆರೆಯುತ್ತಾನೆ, ಬೆರಳ ಸನ್ನೆಮಾಡುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 14] ಅವನ ಮನಸ್ಸಿನಲ್ಲಿರುವುದು ದ್ರೋಹವೇ; ಯಾವಾಗಲೂ ಕೇಡನ್ನು ಕಲ್ಪಿಸುತ್ತಾನೆ, ಜಗಳದ ಬೀಜವನ್ನು ಬಿತ್ತುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 15] ಆದಕಾರಣ ಅವನಿಗೆ ತಟ್ಟನೆ ವಿಪತ್ತು ಸಂಭವಿಸುವುದು, ಏಳದ ಹಾಗೆ ಫಕ್ಕನೆ ಮುರಿಯಲ್ಪಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 6 | Verse 16] ಯೆಹೋವನು ಹಗೆಮಾಡುವ ವಿಷಯಗಳು ಆರು ಇವೆ, ಹೌದು, ಏಳು ಸಂಗತಿಗಳು ಆತನಿಗೆ ಅಸಹ್ಯವಾಗಿ ತೋರುತ್ತವೆ.
