[IRV | KN | OT | Proverbs | Chapter 31 | Verse 1] ಅರಸನಾದ ಲೆಮೂವೇಲನ ಮಾತುಗಳು, ಅಂದರೆ ಅವನ ತಾಯಿಯು ಅವನಿಗೆ ಉಪದೇಶಿಸಿದ ದೈವೋಕ್ತಿಯು,
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 2] ಏನು, ಕಂದಾ? ನನ್ನ ಗರ್ಭಪುತ್ರನೇ, ಏನು, ನನ್ನ ಹರಕೆಯ ಮಗುವೇ, ನಾನು ಏನು ಹೇಳಲಿ?
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 3] ನಿನ್ನ ತ್ರಾಣವನ್ನು ಸ್ತ್ರೀಯರಿಗೆ ಒಪ್ಪಿಸಬೇಡ, ರಾಜರಿಗೆ ವಿನಾಶಕರವಾದ ದಾರಿಗೆ ತಿರುಗಬೇಡ.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 4] ದ್ರಾಕ್ಷಾರಸವನ್ನು ಕುಡಿಯುವುದು ರಾಜರಿಗೆ ಯೋಗ್ಯವಲ್ಲ, ಲೆಮೂವೇಲನೇ, ಅದು ರಾಜರಿಗೆ ಯೋಗ್ಯವಲ್ಲ, “ಮದ್ಯವೆಲ್ಲಿ?” ಎನ್ನುವುದು ಪ್ರಭುಗಳಿಗೆ ವಿಹಿತವಲ್ಲ.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 5] ಕುಡಿದರೆ ಅವರು ಧರ್ಮನಿಯಮಗಳನ್ನು ಮರೆತುಬಿಟ್ಟು, ಬಾಧೆಪಡುವವರೆಲ್ಲರ ನ್ಯಾಯವನ್ನು ವ್ಯತ್ಯಾಸಮಾಡುವರು.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 6] ಮದ್ಯವನ್ನು ಗತಿಯಿಲ್ಲದವನಿಗೂ, ದ್ರಾಕ್ಷಾರಸವನ್ನು ಮನೋವ್ಯಥೆಪಡುವವನಿಗೂ ಕೊಟ್ಟರೆ ಕೊಡು.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 7] ಕುಡಿದು ಬಡತನವನ್ನು ಮರೆತುಬಿಡಲಿ, ಶ್ರಮೆಯನ್ನು ಇನ್ನೂ ಜ್ಞಾಪಕಕ್ಕೆ ತಾರದಿರಲಿ.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 8] ಬಾಯಿಲ್ಲದವರಿಗೂ, ಹಾಳಾಗಿ ಹೋಗುತ್ತಿರುವವರೆಲ್ಲರಿಗೂ, ನ್ಯಾಯವಾಗುವಂತೆ ಬಾಯಿ ತೆರೆ.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 9] ಬಾಯನ್ನು ತೆರೆದು ನ್ಯಾಯವನ್ನು ತೀರಿಸು, ದೀನದರಿದ್ರರ ವ್ಯಾಜ್ಯ ಮಾಡು.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 10] ಗುಣವತಿಯಾದ ಸತಿಯು ಎಲ್ಲಿ ಸಿಕ್ಕುವಳು? ಆಕೆಯು ಹವಳಕ್ಕಿಂತಲೂ ಬಹೂ ಅಮೂಲ್ಯಳು.
[IRV | KN | OT | Proverbs | Chapter 31 | Verse 11] ಪತಿಯ ಹೃದಯವು ಆಕೆಯಲ್ಲಿ ಭರವಸವಿಡುವುದು, ಅವನು ಕೊಳ್ಳೆ ಕೊಳ್ಳೆಯಾಗಿ ಸಂಪಾದಿಸುವನು.
