[IRV | KN | OT | Proverbs | Chapter 14 | Verse 1] ಜ್ಞಾನವಂತೆಯು ತನ್ನ ಮನೆಯನ್ನು ಕಟ್ಟಿಕೊಳ್ಳುವಳು, ಜ್ಞಾನಹೀನಳು ಅದನ್ನು ಸ್ವಂತ ಕೈಯಿಂದ ನಾಶಮಾಡುವಳು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 2] ಸರಳಮಾರ್ಗಿಯು ಯೆಹೋವನಿಗೆ ಭಯಪಡುವನು, ವಕ್ರಮಾರ್ಗಿಯು ಆತನನ್ನು ಅಸಡ್ಡೆಮಾಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 3] ಮೂರ್ಖನ ಮಾತುಗಳು ಅವನ ಬೆನ್ನಿಗೆ ಬೆತ್ತ, ಜ್ಞಾನಿಗಳ ತುಟಿಗಳು ಅವರನ್ನು ಕಾಯುವವು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 4] ಎತ್ತುಗಳಿಲ್ಲದಿರುವಾಗ ಗೋದಲಿಯು ಶುದ್ಧ, ಆದರೆ ಎತ್ತಿನ ಶಕ್ತಿಯಿಂದಲೇ ಬೆಳೆಯ ವೃದ್ಧಿಯಾಗುವುದು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 5] ಸತ್ಯಸಾಕ್ಷಿಯು ಸುಳ್ಳಾಡನು, ಸುಳ್ಳುಸಾಕ್ಷಿಯು ಅಸತ್ಯವನ್ನೇ ಆಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 6] ಧರ್ಮನಿಂದಕನಲ್ಲಿ ಹುಡುಕಿದರೂ ಜ್ಞಾನವು ಸಿಕ್ಕದು, ವಿವೇಕಿಗೆ ತಿಳಿವಳಿಕೆಯು ಸುಲಭವಾಗಿ ದೊರೆಯುವುದು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 7] ನೀನು ಜ್ಞಾನಹೀನನ ಬಳಿಗೆ ಹೋದರೆ ಅವನ ತುಟಿಗಳಲ್ಲಿ ಯಾವ ತಿಳಿವಳಿಕೆಯನ್ನೂ ಕಾಣಲಾರೆ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 8] ಸನ್ಮಾರ್ಗವನ್ನು ಗ್ರಹಿಸಿಕೊಳ್ಳುವುದೇ ಜಾಣನ ಜ್ಞಾನ, ಮೂಢರ ಮೂರ್ಖತನ ಮೋಸಕರ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 9] ಮೂರ್ಖರನ್ನು ಅವರ ದೋಷವೇ ಹಾಸ್ಯಮಾಡುವುದು, ಯಥಾರ್ಥವಂತರಲ್ಲಿ (ದೇವರ) ದಯೆಯಿರುವುದು.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 10] ಪ್ರತಿಯೊಬ್ಬನು ತನ್ನ ಹೃದಯದ ವ್ಯಾಕುಲವನ್ನು ತಾನು ಗ್ರಹಿಸಿಕೊಳ್ಳುವನು, ಅವನ ಆನಂದದಲ್ಲಿಯೂ ಬೇರೆಯವರು ಪಾಲುಗಾರರಾಗುವುದಿಲ್ಲ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 11] ದುಷ್ಟರ ಮನೆಗೆ ನಾಶನ, ಶಿಷ್ಟರ ಗುಡಾರಕ್ಕೆ ಏಳಿಗೆ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 12] ಮನುಷ್ಯನ ದೃಷ್ಟಿಗೆ ಸರಳವಾಗಿ ತೋರುವ ಒಂದು ದಾರಿಯುಂಟು. ಅದು ಕಟ್ಟಕಡೆಗೆ ಮರಣಮಾರ್ಗವೇ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 13] ನಗುವವನಿಗೂ ಮನೋವ್ಯಥೆಯುಂಟು, ಉಲ್ಲಾಸದ ಅಂತ್ಯವು ವ್ಯಾಕುಲವೇ.
[IRV | KN | OT | Proverbs | Chapter 14 | Verse 14] ಭ್ರಷ್ಟನು ಕರ್ಮಫಲವನ್ನು ತಿಂದು ತಿಂದು ದಣಿಯುವನು, ಶಿಷ್ಟನು ತನ್ನಲ್ಲಿ ತಾನೇ ತೃಪ್ತನಾಗುವನು.
