[IRV | KN | OT | Proverbs | Chapter 10 | Verse 1] ಜ್ಞಾನಿಯಾದ ಮಗನಿಂದ ತಂದೆಗೆ ಆನಂದ, ಅಜ್ಞಾನಿಯಾದ ಮಗನಿಂದ ತಾಯಿಗೆ ದುಃಖ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 2] ಅನ್ಯಾಯದ ಸಂಪತ್ತು ವ್ಯರ್ಥ, ಧರ್ಮವು ಮೃತ್ಯುವಿನಿಂದ ರಕ್ಷಿಸುವಂತದ್ದು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 3] ಯೆಹೋವನು ನೀತಿವಂತರನ್ನು ಹಸಿವೆಗೊಳಿಸನು, ದುಷ್ಟನ ಆಶೆಯನ್ನು ಭಂಗಪಡಿಸುತ್ತಾನೆ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 4] ಜೋಲುಗೈ ದಾರಿದ್ರ್ಯ, ಚುರುಕು ಕೈ ತರುವುದು ಐಶ್ವರ್ಯ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 5] ಸುಗ್ಗಿಯಲ್ಲಿ ಕೂಡಿಸುವವನು ಬುದ್ಧಿವಂತನು, ಕೊಯ್ಲಿನಲ್ಲಿ ತೂಕಡಿಸುವವನು ನಾಚಿಕೆಗೆಟ್ಟವನು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 6] ಶಿಷ್ಟನ ತಲೆ ಆಶೀರ್ವಾದದ ನೆಲೆ, ದುಷ್ಟನ ಬಾಯಿಗೆ ಬಲಾತ್ಕಾರವೇ ಮುಚ್ಚಳ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 7] ಶಿಷ್ಟರ ಸ್ಮರಣೆಯು ಆಶೀರ್ವಾದಕ್ಕಾಸ್ಪದ, ದುಷ್ಟರ ನಾಮವು ನಿರ್ನಾಮಕಾಸ್ಪದ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 8] ಜ್ಞಾನಹೃದಯನು ಆಜ್ಞೆಗಳನ್ನು ಪಾಲಿಸುವನು, ಹರಟೆಯ ಮೂರ್ಖನು ಕೆಡವಲ್ಪಡುವನು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 9] ನಿರ್ದೋಷದ ನಡತೆಯವನು ನಿರ್ಭಯವಾಗಿ ನಡೆಯುವನು, ವಕ್ರಮಾರ್ಗಿಯು ಬೈಲಿಗೆ ಬೀಳುವನು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 10] ಕಣ್ಣು ಮಿಟಕಿಸುವವನು ಕಷ್ಟಕ್ಕೆ ಕಾರಣನು, ಧೈರ್ಯದಿಂದ ಗದರಿಸುವವನು ಸಮಾಧಾನಕರನು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 11] ಶಿಷ್ಟನ ಬಾಯಿ ಜೀವದ ಬುಗ್ಗೆ, ದುಷ್ಟನ ಬಾಯಲ್ಲಿ ಬಲಾತ್ಕಾರವು ತುಂಬಿ ತುಳುಕುತ್ತದೆ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 12] ದ್ವೇಷವು ಜಗಳಗಳನ್ನೆಬ್ಬಿಸುತ್ತದೆ, ಪ್ರೀತಿಯು ಪಾಪಗಳನ್ನೆಲ್ಲಾ ಮುಚ್ಚುತ್ತದೆ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 13] ವಿವೇಕಿಯ ತುಟಿಗಳಿಂದ ಜ್ಞಾನ, ಬುದ್ಧಿಹೀನನ ಬೆನ್ನಿಗೆ ಬೆತ್ತ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 14] ಜ್ಞಾನಿಗಳು ತಿಳಿದ ಸಂಗತಿಯನ್ನು ಹೊರಪಡಿಸುವುದಿಲ್ಲ, ಮೂರ್ಖನ ಭಾಷಣ ನಾಶನಕ್ಕೆ ಸಮೀಪ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 15] ಐಶ್ವರ್ಯವಂತನಿಗೆ ಐಶ್ವರ್ಯವು ಬಲವಾದ ಕೋಟೆ, ಬಡವನಿಗೆ ಅವನ ಬಡತನವೇ ನಾಶನ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 16] ಶಿಷ್ಟನ ದುಡಿತ ಜೀವಾಸ್ಪದ, ದುಷ್ಟನ ಆದಾಯ ಪಾಪಾಸ್ಪದ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 17] ಶಿಕ್ಷೆಯನ್ನು ಕೈಕೊಳ್ಳುವವನು ಜೀವದ ಮಾರ್ಗವನ್ನು ತೋರಿಸುವನು, ಗದರಿಕೆಯನ್ನು ಕೈಕೊಳ್ಳದವನು ಸನ್ಮಾರ್ಗದಿಂದ ತಪ್ಪಿಸುವನು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 18] ಹೊಟ್ಟೆಯಲ್ಲಿ ಹಗೆಯನ್ನಿಟ್ಟುಕೊಂಡವನು ಸುಳ್ಳುಗಾರ, ಚಾಡಿಗಾರನು ಜ್ಞಾನಹೀನ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 19] ಮಾತಾಳಿಗೆ ಪಾಪ ತಪ್ಪದು, ಮೌನಿಯು ವಿವೇಕಿ.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 20] ಶಿಷ್ಟರ ನಾಲಿಗೆ ಚೊಕ್ಕ ಬೆಳ್ಳಿ, ದುಷ್ಟನ ಹೃದಯ ಮೌಲ್ಯವಿಲ್ಲದ್ದು.
[IRV | KN | OT | Proverbs | Chapter 10 | Verse 21] ಶಿಷ್ಟರ ಭಾಷಣ ಬಹುಜನ ಪೋಷಣ, ಬುದ್ಧಿಯ ಕೊರತೆ ಮೂರ್ಖರ ನಾಶನ.
