[GNV | EN | NT | Acts | Chapter 2 | Verse 1] And when the day of Pentecost was come, they were al with one accord in one place.
[GNV | EN | NT | Acts | Chapter 2 | Verse 2] And suddenly there came a sounde from heauen, as of a russhing and mightie winde, and it filled all the house where they sate.
[GNV | EN | NT | Acts | Chapter 2 | Verse 3] And there appeared vnto them clouen tongues, like fire, and it sate vpon eche of them.
[GNV | EN | NT | Acts | Chapter 2 | Verse 4] And they were all filled with the holy Ghost, and began to speake with other tongues, as the Spirit gaue them vtterance.
[GNV | EN | NT | Acts | Chapter 2 | Verse 5] And there were dwelling at Hierusalem Iewes, men that feared God, of euery nation vnder heauen.
[GNV | EN | NT | Acts | Chapter 2 | Verse 6] Nowe when this was noised, the multitude came together and were astonied, because that euery man heard them speake his owne language.
[GNV | EN | NT | Acts | Chapter 2 | Verse 7] And they wondered al, and marueiled, saying among themselues, Beholde, are not all these which speake, of Galile?
[GNV | EN | NT | Acts | Chapter 2 | Verse 8] How then heare we euery man our owne language, wherein we were borne?
[GNV | EN | NT | Acts | Chapter 2 | Verse 9] Parthians, and Medes, and Elamites, and the inhabitants of Mesopotamia, and of Iudea, and of Cappadocia, of Pontus, and Asia,
[GNV | EN | NT | Acts | Chapter 2 | Verse 10] And of Phrygia, and Pamphylia, of Egypt, and of the partes of Libya, which is beside Cyrene, and strangers of Rome, and Iewes, and Proselytes,
[GNV | EN | NT | Acts | Chapter 2 | Verse 11] Creetes, and Arabians: wee hearde them speake in our owne tongues the wonderful works of God.
[GNV | EN | NT | Acts | Chapter 2 | Verse 12] They were all then amased, and douted, saying one to another, What may this be?
[GNV | EN | NT | Acts | Chapter 2 | Verse 13] And others mocked, and saide, They are full of newe wine.
[GNV | EN | NT | Acts | Chapter 2 | Verse 14] But Peter standing with ye Eleuen, lift vp his voice, and said vnto them, Ye men of Iudea, and ye all that inhabite Hierusalem, be this knowen vnto you, and hearken vnto my woordes.
[GNV | EN | NT | Acts | Chapter 2 | Verse 15] For these are not drunken, as yee suppose, since it is but the third houre of the day.
[GNV | EN | NT | Acts | Chapter 2 | Verse 16] But this is that, which was spoken by the Prophet Ioel,
[GNV | EN | NT | Acts | Chapter 2 | Verse 17] And it shalbe in the last daies, saith God, I wil powre out of my Spirite vpon al flesh, and your sonnes, and your daughters shall prophecie, and your yong men shall see visions, and your old men shall dreame dreames.
[GNV | EN | NT | Acts | Chapter 2 | Verse 18] And on my seruauntes, and on mine handmaides I will powre out of my Spirite in those daies, and they shall prophecie.
[GNV | EN | NT | Acts | Chapter 2 | Verse 19] And I wil shew wonders in heauen aboue, and tokens in the earth beneath, blood, and fire, and the vapour of smoke.
[GNV | EN | NT | Acts | Chapter 2 | Verse 20] The Sunne shalbe turned into darkenesse, and the moone into blood, before that great and notable day of the Lord come.
[GNV | EN | NT | Acts | Chapter 2 | Verse 21] And it shalbe, that whosoeuer shall call on the Name of the Lord, shalbe saued.
[GNV | EN | NT | Acts | Chapter 2 | Verse 22] Yee men of Israel, heare these woordes, JESUS of Nazareth, a man approued of God among you with great workes, and wonders, and signes, which God did by him in the middes of you, as yee your selues also knowe:
[GNV | EN | NT | Acts | Chapter 2 | Verse 23] Him, I say, being deliuered by the determinate counsell, and foreknowledge of God, after you had taken, with wicked handes you haue crucified and slaine.
[GNV | EN | NT | Acts | Chapter 2 | Verse 24] Whome God hath raised vp, and loosed the sorrowes of death, because it was vnpossible that he should be holden of it.
[GNV | EN | NT | Acts | Chapter 2 | Verse 25] For Dauid sayeth concerning him, I beheld the Lord alwaies before me: for hee is at my right hand, that I should not be shaken.
[GNV | EN | NT | Acts | Chapter 2 | Verse 26] Therefore did mine heart reioyce, and my tongue was glad, and moreouer also my flesh shall rest in hope,
[GNV | EN | NT | Acts | Chapter 2 | Verse 27] Because thou wilt not leaue my soule in graue, neither wilt suffer thine Holy one to see corruption.
[GNV | EN | NT | Acts | Chapter 2 | Verse 28] Thou hast shewed me the waies of life, and shalt make me full of ioy with thy countenance.
