[GNV | EN | NT | Acts | Chapter 7 | Verse 1] Then sayd the chiefe Priest, Are these things so?
[GNV | EN | NT | Acts | Chapter 7 | Verse 2] And he sayd, Ye men, brethren and Fathers, hearken. That God of glory appeared vnto our father Abraham, while he was in Mesopotamia, before he dwelt in Charran,
[GNV | EN | NT | Acts | Chapter 7 | Verse 3] And said vnto him, Come out of thy countrey, and from thy kindred, and come into the land, which I shall shewe thee.
[GNV | EN | NT | Acts | Chapter 7 | Verse 4] Then came he out of the land of the Chaldeans, and dwelt in Charran. And after that his father was dead, God brought him from thence into this land, wherein ye now dwell,
[GNV | EN | NT | Acts | Chapter 7 | Verse 5] And hee gaue him none inheritance in it, no, not the bredth of a foote: yet he promised that he would giue it to him for a possession, and to his seede after him, when as yet hee had no childe.
[GNV | EN | NT | Acts | Chapter 7 | Verse 6] But God spake thus, that his seede should be a soiourner in a strange land: and that they should keepe it in bondage, and entreate it euill foure hundreth yeeres.
[GNV | EN | NT | Acts | Chapter 7 | Verse 7] But the nation to whome they shall be in bondage, will I iudge, sayth God: and after that, they shall come forth and serue me in this place.
[GNV | EN | NT | Acts | Chapter 7 | Verse 8] Hee gaue him also the couenant of circumcision: and so Abraham begate Isaac, and circumcised him the eight day: and Isaac begate Iacob, and Iacob the twelue Patriarkes.
[GNV | EN | NT | Acts | Chapter 7 | Verse 9] And the Patriarkes moued with enuie, solde Ioseph into Egypt: but God was with him,
[GNV | EN | NT | Acts | Chapter 7 | Verse 10] And deliuered him out of all his afflictions, and gaue him fauour and wisdome in the sight of Pharao King of Egypt, who made him gouernour ouer Egypt, and ouer his whole house.
[GNV | EN | NT | Acts | Chapter 7 | Verse 11] Then came there a famine ouer all the land of Egypt and Chanaan, and great affliction, that our fathers found no sustenance.
[GNV | EN | NT | Acts | Chapter 7 | Verse 12] But when Iacob heard that there was corne in Egypt, he sent our fathers first:
[GNV | EN | NT | Acts | Chapter 7 | Verse 13] And at the second time, Ioseph was knowen of his brethren, and Iosephs kindred was made knowen vnto Pharao.
[GNV | EN | NT | Acts | Chapter 7 | Verse 14] Then sent Ioseph and caused his father to be brought, and all his kindred, euen threescore and fifteene soules.
[GNV | EN | NT | Acts | Chapter 7 | Verse 15] So Iacob went downe into Egypt, and he dyed, and our fathers,
[GNV | EN | NT | Acts | Chapter 7 | Verse 16] And were remoued into Sychem, and were put in the sepulchre, that Abraham had bought for money of the sonnes of Emor, sonne of Sychem.
[GNV | EN | NT | Acts | Chapter 7 | Verse 17] But when the time of the promise drewe neere, which God had sworne to Abraham, the people grewe and multiplied in Egypt,
[GNV | EN | NT | Acts | Chapter 7 | Verse 18] Till another King arose, which knewe not Ioseph.
[GNV | EN | NT | Acts | Chapter 7 | Verse 19] The same dealt subtilly with our kindred, and euill entreated our fathers, and made them to cast out their yong children, that they should not remaine aliue.
[GNV | EN | NT | Acts | Chapter 7 | Verse 20] The same time was Moses borne, and was acceptable vnto God, which was nourished vp in his fathers house three moneths.
[GNV | EN | NT | Acts | Chapter 7 | Verse 21] And when he was cast out, Pharaohs daughter tooke him vp, and nourished him for her owne sonne.
[GNV | EN | NT | Acts | Chapter 7 | Verse 22] And Moses was learned in all the wisdome of the Egyptians, and was mightie in wordes and in deedes.
[GNV | EN | NT | Acts | Chapter 7 | Verse 23] Nowe when he was full fourtie yeere olde, it came into his heart to visite his brethren, the children of Israel.
[GNV | EN | NT | Acts | Chapter 7 | Verse 24] And whe he saw one of them suffer wrong, he defended him, and auenged his quarell that had the harme done to him, and smote the Egyptian.
