[GNV | EN | NT | Acts | Chapter 24 | Verse 1] Now after fiue dayes, Ananias the hie Priest came downe with the Elders, and with Tertullus a certaine oratour, which appeared before the Gouernour against Paul.
[GNV | EN | NT | Acts | Chapter 24 | Verse 2] And when he was called foorth, Tertullus began to accuse him, saying, Seeing that we haue obtained great quietnesse through thee, and that many worthy things are done vnto this nation through thy prouidence,
[GNV | EN | NT | Acts | Chapter 24 | Verse 3] We acknowledge it wholy, and in all places most noble Felix, with all thankes,
[GNV | EN | NT | Acts | Chapter 24 | Verse 4] But that I be not tedious vnto thee, I pray thee, that thou wouldest heare vs of thy courtesie a fewe wordes.
[GNV | EN | NT | Acts | Chapter 24 | Verse 5] Certainely we haue found this man a pestilent fellowe, and a moouer of sedition among all the Iewes throughout the world, and a chiefe maintainer of the secte of the Nazarites:
[GNV | EN | NT | Acts | Chapter 24 | Verse 6] And hath gone about to pollute the Temple: therefore wee tooke him, and woulde haue iudged him according to our Lawe:
[GNV | EN | NT | Acts | Chapter 24 | Verse 7] But the chiefe captaine Lysias came vpon vs, and with great violence tooke him out of our handes,
[GNV | EN | NT | Acts | Chapter 24 | Verse 8] Commanding his accusers to come to thee: of whom thou mayest (if thou wilt inquire) know all these things whereof we accuse him.
[GNV | EN | NT | Acts | Chapter 24 | Verse 9] And the Iewes likewise affirmed, saying that it was so.
[GNV | EN | NT | Acts | Chapter 24 | Verse 10] Then Paul, after that the gouernour had beckened vnto him that hee shoulde speake, answered, I do the more gladly answere for my selfe, for as much as I knowe that thou hast bene of many yeres a iudge vnto this nation,
[GNV | EN | NT | Acts | Chapter 24 | Verse 11] Seeing that thou mayest knowe, that there are but twelue dayes since I came vp to worship in Hierusalem.
[GNV | EN | NT | Acts | Chapter 24 | Verse 12] And they neither found mee in the Temple disputing with any man, neither making vproare among the people, neither in the Synagogues, nor in the citie.
[GNV | EN | NT | Acts | Chapter 24 | Verse 13] Neither can they proue the things, whereof they now accuse me.
[GNV | EN | NT | Acts | Chapter 24 | Verse 14] But this I confesse vnto thee, that after the way (which they call heresie) so worship I the God of my fathers, beleeuing all things which are written in the Lawe and the Prophets,
[GNV | EN | NT | Acts | Chapter 24 | Verse 15] And haue hope towardes God, that the resurrection of the dead, which they themselues looke for also, shalbe both of iust and vniust.
[GNV | EN | NT | Acts | Chapter 24 | Verse 16] And herein I endeuour my selfe to haue alway a cleare conscience towarde God, and toward men.
[GNV | EN | NT | Acts | Chapter 24 | Verse 17] Now after many yeres, I came and brought almes to my nation and offerings.
[GNV | EN | NT | Acts | Chapter 24 | Verse 18] At what time, certaine Iewes of Asia founde mee purified in the Temple, neither with multitude, nor with tumult.
[GNV | EN | NT | Acts | Chapter 24 | Verse 19] Who ought to haue bene present before thee, and accuse me, if they had ought against me.
[GNV | EN | NT | Acts | Chapter 24 | Verse 20] Or let these themselues say, if they haue found any vniust thing in mee, while I stoode in the Council,
[GNV | EN | NT | Acts | Chapter 24 | Verse 21] Except it be for this one voyce, that I cried standing among them, Of the resurrection of the dead am I accused of you this day.
[GNV | EN | NT | Acts | Chapter 24 | Verse 22] Nowe when Felix heard these things, he deferred them, and said, When I shall more perfectly know the things which concerne this way, by the comming of Lysias the chiefe Captaine, I will decise your matter.
[GNV | EN | NT | Acts | Chapter 24 | Verse 23] Then hee commanded a Centurion to keepe Paul, and that he should haue ease, and that he should forbid none of his acquaintance to minister vnto him, or to come vnto him.
[GNV | EN | NT | Acts | Chapter 24 | Verse 24] And after certaine dayes, came Felix with his wife Drusilla, which was a Iewesse, and he called foorth Paul, and heard him of the faith in Christ.
[GNV | EN | NT | Acts | Chapter 24 | Verse 25] And as he disputed of righteousnes and temperance, and of the iudgement to come, Felix trembled, and answered, Go thy way for this time, and when I haue conuenient time, I will call for thee.
[GNV | EN | NT | Acts | Chapter 24 | Verse 26] Hee hoped also that money shoulde haue bene giuen him of Paul, that he might loose him: wherefore hee sent for him the oftner, and communed with him.
[GNV | EN | NT | Acts | Chapter 24 | Verse 27] When two yeeres were expired, Porcius Festus came into Felix roume: and Felix willing to get fauour of the Iewes, left Paul bound.
