[GNV | EN | NT | Acts | Chapter 26 | Verse 1] Then Agrippa sayd vnto Paul, Thou art permitted to speake for thy selfe. So Paul stretched forth the hand, and answered for himselfe.
[GNV | EN | NT | Acts | Chapter 26 | Verse 2] I thinke my selfe happy, King Agrippa, because I shall answere this day before thee of all the things whereof I am accused of the Iewes.
[GNV | EN | NT | Acts | Chapter 26 | Verse 3] Chiefly, because thou hast knowledge of all customes, and questions which are among the Iewes: wherefore I beseech thee, to heare me patiently.
[GNV | EN | NT | Acts | Chapter 26 | Verse 4] As touching my life from my childhood, and what it was from the beginning among mine owne nation at Hierusalem, know all the Iewes,
[GNV | EN | NT | Acts | Chapter 26 | Verse 5] Which knewe me heretofore, euen from my elders (if they would testifie) that after the most straite sect of our religion I liued a Pharise.
[GNV | EN | NT | Acts | Chapter 26 | Verse 6] And now I stand and am accused for the hope of the promise made of God vnto our fathers.
[GNV | EN | NT | Acts | Chapter 26 | Verse 7] Whereunto our twelue tribes instantly seruing God day and night, hope to come: for the which hopes sake, O King Agrippa, I am accused of the Iewes.
[GNV | EN | NT | Acts | Chapter 26 | Verse 8] Why should it be thought a thing incredible vnto you, that God should raise againe the dead?
[GNV | EN | NT | Acts | Chapter 26 | Verse 9] I also verely thought in my selfe, that I ought to doe many contrarie things against the Name of Iesus of Nazareth.
[GNV | EN | NT | Acts | Chapter 26 | Verse 10] Which thing I also did in Hierusalem: for many of the Saints I shut vp in prison, hauing receiued authoritie of the hie Priests, and when they were put to death, I gaue my sentence.
[GNV | EN | NT | Acts | Chapter 26 | Verse 11] And I punished them throughout all the Synagogues, and compelled them to blaspheme, and being more mad against them, I persecuted them, euen vnto strange cities.
[GNV | EN | NT | Acts | Chapter 26 | Verse 12] At which time, euen as I went to Damascus with authoritie, and commission from the hie Priests,
[GNV | EN | NT | Acts | Chapter 26 | Verse 13] At midday, O King, I sawe in the way a light from heauen, passing the brightnes of the sunne, shine round about mee, and them which went with me.
[GNV | EN | NT | Acts | Chapter 26 | Verse 14] So when we were all fallen to the earth, I heard a voyce speaking vnto me, and saying in the Hebrew tongue, Saul, Saul, why persecutest thou me? It is hard for thee to kicke against pricks.
[GNV | EN | NT | Acts | Chapter 26 | Verse 15] Then I sayd, Who art thou, Lord? And he sayd, I am Iesus whom thou persecutest.
[GNV | EN | NT | Acts | Chapter 26 | Verse 16] But rise and stand vp on thy feete: for I haue appeared vnto thee for this purpose, to appoint thee a minister and a witnesse, both of the things which thou hast seene, and of the things in the which I will appeare vnto thee,
[GNV | EN | NT | Acts | Chapter 26 | Verse 17] Deliuering thee from this people, and from the Gentiles, vnto whom now I send thee,
[GNV | EN | NT | Acts | Chapter 26 | Verse 18] To open their eyes, that they may turne from darknes to light, and from the power of Satan vnto God, that they may receiue forgiuenes of sinnes, and inheritance among them, which are sanctified by fayth in me.
[GNV | EN | NT | Acts | Chapter 26 | Verse 19] Wherefore, King Agrippa, I was not disobedient vnto the heauenly vision,
[GNV | EN | NT | Acts | Chapter 26 | Verse 20] But shewed first vnto them of Damascus, and at Hierusalem, and throughout all the coasts of Iudea, and then to the Gentiles, that they should repent and turne to God, and doe workes worthy amendment of life.
[GNV | EN | NT | Acts | Chapter 26 | Verse 21] For this cause the Iewes caught me in the Temple, and went about to kill me.
[GNV | EN | NT | Acts | Chapter 26 | Verse 22] Neuertheles, I obteined helpe of God, and continue vnto this day, witnessing both to small and to great, saying none other things, then those which the Prophets and Moses did say should come,
[GNV | EN | NT | Acts | Chapter 26 | Verse 23] To wit, that Christ should suffer, and that he should be the first that should rise from the dead, and should shew light vnto this people, and to the Gentiles.
[GNV | EN | NT | Acts | Chapter 26 | Verse 24] And as he thus answered for himselfe, Festus said with a loude voyce, Paul, thou art besides thy selfe: much learning doeth make thee mad.
[GNV | EN | NT | Acts | Chapter 26 | Verse 25] But he said, I am not mad, O noble Festus, but I speake the wordes of trueth and sobernes.
[GNV | EN | NT | Acts | Chapter 26 | Verse 26] For the King knoweth of these things, before whom also I speake boldly: for I am perswaded that none of these things are hidden from him: for this thing was not done in a corner.
[GNV | EN | NT | Acts | Chapter 26 | Verse 27] O King Agrippa, beleeuest thou the Prophets? I know that thou beleeuest.
[GNV | EN | NT | Acts | Chapter 26 | Verse 28] Then Agrippa said vnto Paul, Almost thou perswadest me to become a Christian.
[GNV | EN | NT | Acts | Chapter 26 | Verse 29] Then Paul sayd, I would to God that not onely thou, but also all that heare me to day, were both almost, and altogether such as I am, except these bonds.
[GNV | EN | NT | Acts | Chapter 26 | Verse 30] And when he had thus spoken, the King rose vp, and the gouernour, and Bernice, and they that sate with them.
[GNV | EN | NT | Acts | Chapter 26 | Verse 31] And when they were gone apart, they talked betweene themselues, saying, This man doeth nothing worthy of death, nor of bonds.
[GNV | EN | NT | Acts | Chapter 26 | Verse 32] Then sayd Agrippa vnto Festus, This man might haue bene loosed, if hee had not appealed vnto Cesar.
