[GNV | EN | NT | Acts | Chapter 12 | Verse 1] Nowe about that time, Herod the King stretched forth his hands to vexe certaine of the Church,
[GNV | EN | NT | Acts | Chapter 12 | Verse 2] And he killed Iames the brother of Iohn with the sword.
[GNV | EN | NT | Acts | Chapter 12 | Verse 3] And when he sawe that it pleased the Iewes, he proceeded further, to take Peter also (then were the dayes of vnleauened bread.)
[GNV | EN | NT | Acts | Chapter 12 | Verse 4] And when he had caught him, he put him in prison, and deliuered him to foure quaternions of souldiers to be kept, intending after the Passeouer to bring him foorth to the people.
[GNV | EN | NT | Acts | Chapter 12 | Verse 5] So Peter was kept in prison, but earnest prayer was made of ye Church vnto God for him.
[GNV | EN | NT | Acts | Chapter 12 | Verse 6] And when Herod woulde haue brought him out vnto the people, the same night slept Peter betweene two souldiers, bound with two chaines, and the keepers before the doore, kept the prison.
[GNV | EN | NT | Acts | Chapter 12 | Verse 7] And behold the Angel of the Lord came vpon them, and a light shined in the house, and he smote Peter on the side, and raysed him vp, saying, Arise quickely. And his chaines fell off from his handes.
[GNV | EN | NT | Acts | Chapter 12 | Verse 8] And the Angel saide vnto him, Girde thy selfe, and binde on thy sandales. And so he did. Then he said vnto him, Cast thy garment about thee, and follow me.
[GNV | EN | NT | Acts | Chapter 12 | Verse 9] So Peter came out and followed him, and knewe not that it was true, which was done by the Angel, but thought he had seene a vision.
[GNV | EN | NT | Acts | Chapter 12 | Verse 10] Nowe when they were past the first and the second watch, they came vnto the yron gate, that leadeth vnto the citie, which opened to them by it owne accord, and they went out, and passed through one streete, and by and by the Angel departed from him.
[GNV | EN | NT | Acts | Chapter 12 | Verse 11] And when Peter was come to himselfe, he said, Nowe I know for a trueth, that the Lord hath sent his Angel, and hath deliuered me out of the hand of Herod, and from all the wayting for of the people of the Iewes.
[GNV | EN | NT | Acts | Chapter 12 | Verse 12] And as he considered the thing, he came to the house of Marie, the mother of Iohn, whose surname was Marke, where many were gathered together, and prayed.
[GNV | EN | NT | Acts | Chapter 12 | Verse 13] And when Peter knocked at the entrie doore, a maide came foorth to hearken, named Rhode,
[GNV | EN | NT | Acts | Chapter 12 | Verse 14] But when she knew Peters voyce, she opened not the entrie doore for gladnesse, but ranne in, and tolde howe Peter stood before the entrie.
[GNV | EN | NT | Acts | Chapter 12 | Verse 15] But they said vnto her, Thou art mad. Yet she affirmed it constantly, that it was so. Then said they, It is his Angel.
[GNV | EN | NT | Acts | Chapter 12 | Verse 16] But Peter continued knocking, and when they had opened it, and sawe him, they were astonied.
[GNV | EN | NT | Acts | Chapter 12 | Verse 17] And he beckened vnto them with the hand, to hold their peace, and told them how the Lord had brought him out of the prison. And he saide, Goe shewe these things vnto Iames and to the brethren: and he departed and went into an other place.
[GNV | EN | NT | Acts | Chapter 12 | Verse 18] Nowe assoone as it was day, there was no small trouble among the souldiers, what was become of Peter.
[GNV | EN | NT | Acts | Chapter 12 | Verse 19] And when Herod had sought for him, and found him not, he examined the keepers, and commanded them to be led to be punished. And he went downe from Iudea to Cesarea, and there abode.
[GNV | EN | NT | Acts | Chapter 12 | Verse 20] Then Herod was angrie with them of Tyrus and Sidon, but they came all with one accord vnto him, and perswaded Blastus the Kings Chamberlaine, and they desired peace, because their countrey was nourished by the Kings land.
[GNV | EN | NT | Acts | Chapter 12 | Verse 21] And vpon a day appointed, Herod arayed himselfe in royall apparell, and sate on the iudgement seate, and made an oration vnto them.
[GNV | EN | NT | Acts | Chapter 12 | Verse 22] And the people gaue a shoute, saying, The voyce of God, and not of man.
[GNV | EN | NT | Acts | Chapter 12 | Verse 23] But immediatly the Angel of the Lord smote him, because he gaue not glorie vnto God, so that he was eaten of wormes, and gaue vp the ghost.
[GNV | EN | NT | Acts | Chapter 12 | Verse 24] And the worde of God grewe, and multiplied.
[GNV | EN | NT | Acts | Chapter 12 | Verse 25] So Barnabas and Saul returned from Hierusalem, when they had fulfilled their office, and tooke with them Iohn, whose surname was Marke.
