[GNV | EN | NT | Acts | Chapter 21 | Verse 1] And as we launched forth, and were departed from them, we came with a straight course vnto Coos, and the day following vnto the Rhodes, and from thence vnto Patara.
[GNV | EN | NT | Acts | Chapter 21 | Verse 2] And we found a ship that went ouer vnto Phenice, and went aboard, and set forth.
[GNV | EN | NT | Acts | Chapter 21 | Verse 3] And whe we had discouered Cyprus, we left it on the left hand, and sailed toward Syria, and arriued at Tyrus: for there the ship vnladed ye burden.
[GNV | EN | NT | Acts | Chapter 21 | Verse 4] And when we had found disciples, we taried there seuen dayes. And they told Paul through the Spirit, that he should not goe vp to Hierusalem.
[GNV | EN | NT | Acts | Chapter 21 | Verse 5] But when the dayes were ended, we departed and went our way, and they all accompanied vs with their wiues and children, euen out of the citie: and we kneeling downe on the shore, prayed.
[GNV | EN | NT | Acts | Chapter 21 | Verse 6] Then when we had embraced one another, we tooke ship, and they returned home.
[GNV | EN | NT | Acts | Chapter 21 | Verse 7] And when we had ended the course from Tyrus, we arriued at Ptolemais, and saluted the brethren, and abode with them one day.
[GNV | EN | NT | Acts | Chapter 21 | Verse 8] And the next day, Paul and we that were with him, departed, and came vnto Cesarea: and we entred into the house of Philippe the Euangelist, which was one of the seuen Deacons, and abode with him.
[GNV | EN | NT | Acts | Chapter 21 | Verse 9] Now he had foure daughters virgins, which did prophecie.
[GNV | EN | NT | Acts | Chapter 21 | Verse 10] And as we taried there many dayes, there came a certaine Prophet from Iudea, named Agabus.
[GNV | EN | NT | Acts | Chapter 21 | Verse 11] And when he was come vnto vs, he tooke Pauls girdle, and bound his owne hands and feete, and sayd, Thus sayth the holy Ghost, So shall the Iewes at Hierusalem binde the man that oweth this girdle, and shall deliuer him into the hands of the Gentiles.
[GNV | EN | NT | Acts | Chapter 21 | Verse 12] And when we had heard these things, both we and other of the same place besought him that he would not go vp to Hierusalem.
[GNV | EN | NT | Acts | Chapter 21 | Verse 13] Then Paul answered, and sayd, What doe ye weeping and breaking mine heart? For I am ready not to be bound onely, but also to die at Hierusalem for the Name of the Lord Iesus.
[GNV | EN | NT | Acts | Chapter 21 | Verse 14] So when he would not be perswaded, we ceased, saying, The will of the Lord be done.
[GNV | EN | NT | Acts | Chapter 21 | Verse 15] And after those dayes we trussed vp our fardels, and went vp to Hierusalem.
[GNV | EN | NT | Acts | Chapter 21 | Verse 16] There went with vs also certaine of the disciples of Cesarea, and brought with them one Mnason of Cyprus, an olde disciple, with whome we should lodge.
[GNV | EN | NT | Acts | Chapter 21 | Verse 17] And when we were come to Hierusalem, the brethren receiued vs gladly.
[GNV | EN | NT | Acts | Chapter 21 | Verse 18] And the next day Paul went in with vs vnto Iames: and all the Elders were there assembled.
[GNV | EN | NT | Acts | Chapter 21 | Verse 19] And when he had embraced them, hee tolde by order all things, that God had wrought among the Gentiles by his ministration.
[GNV | EN | NT | Acts | Chapter 21 | Verse 20] So when they heard it, they glorified God, and sayd vnto him, Thou seest, brother, how many thousand Iewes there are which beleeue, and they are all zealous of the Law:
[GNV | EN | NT | Acts | Chapter 21 | Verse 21] Now they are informed of thee, that thou teachest all the Iewes, which are among the Gentiles, to forsake Moses, and sayest that they ought not to circumcise their sonnes, neither to liue after the customes.
[GNV | EN | NT | Acts | Chapter 21 | Verse 22] What is then to be done? the multitude must needes come together: for they shall heare that thou art come.
[GNV | EN | NT | Acts | Chapter 21 | Verse 23] Doe therefore this that we say to thee. We haue foure men, which haue made a vowe,
[GNV | EN | NT | Acts | Chapter 21 | Verse 24] Them take, and purifie thy selfe with them, and contribute with them, that they may shaue their heads: and all shall knowe, that those things, whereof they haue bene informed concerning thee, are nothing, but that thou thy selfe also walkest and keepest the Lawe.
