[GNV | EN | NT | Acts | Chapter 14 | Verse 1] And it came to passe in Iconium, that they went both together into the Synagogue of the Iewes, and so spake, that a great multitude both of the Iewes and of the Grecians beleeued.
[GNV | EN | NT | Acts | Chapter 14 | Verse 2] And the vnbeleeuing Iewes stirred vp, and corrupted the mindes of the Gentiles against the brethren.
[GNV | EN | NT | Acts | Chapter 14 | Verse 3] So therefore they abode there a long time, and spake boldly in the Lord, which gaue testimonie vnto the woord of his grace, and caused signes and woders to be done by their hands.
[GNV | EN | NT | Acts | Chapter 14 | Verse 4] But the multitude of the city was deuided: and some were with the Iewes, and some with the Apostles.
[GNV | EN | NT | Acts | Chapter 14 | Verse 5] And when there was an assault made both of the Gentiles, and of the Iewes with their rulers, to doe them violence, and to stone them,
[GNV | EN | NT | Acts | Chapter 14 | Verse 6] They were ware of it, and fled vnto Lystra, and Derbe, cities of Lycaonia, and vnto the region round about,
[GNV | EN | NT | Acts | Chapter 14 | Verse 7] And there preached the Gospel.
[GNV | EN | NT | Acts | Chapter 14 | Verse 8] Nowe there sate a certaine man at Lystra, impotent in his feete, which was a creeple from his mothers wombe, who had neuer walked.
[GNV | EN | NT | Acts | Chapter 14 | Verse 9] He heard Paul speake: who beholding him, and perceiuing that he had faith to be healed,
[GNV | EN | NT | Acts | Chapter 14 | Verse 10] Said with a loude voyce, Stand vpright on thy feete. And he leaped vp, and walked.
[GNV | EN | NT | Acts | Chapter 14 | Verse 11] Then when the people sawe what Paul had done, they lift vp their voyces, saying in ye speach of Lycaonia, Gods are come downe to vs in the likenesse of men.
[GNV | EN | NT | Acts | Chapter 14 | Verse 12] And they called Barnabas, Iupiter: and Paul, Mercurius, because hee was the chiefe speaker.
[GNV | EN | NT | Acts | Chapter 14 | Verse 13] Then Iupiters priest, which was before their citie, brought bulles with garlands vnto the gates, and would haue sacrificed with the people.
[GNV | EN | NT | Acts | Chapter 14 | Verse 14] But when the Apostles, Barnabas and Paul heard it, they rent their clothes, and ran in among the people, crying,
[GNV | EN | NT | Acts | Chapter 14 | Verse 15] And saying, O men, why doe yee these things? We are euen men subiect to the like passions that yee be, and preache vnto you, that yee shoulde turne from these vaine things vnto the liuing God, which made heauen and earth, and the sea, and all things that in them are:
[GNV | EN | NT | Acts | Chapter 14 | Verse 16] Who in times past suffered all the Gentiles to walke in their owne waies.
[GNV | EN | NT | Acts | Chapter 14 | Verse 17] Neuerthelesse, hee left not him selfe without witnes, in that hee did good and gaue vs raine from heauen, and fruitful seasons, filling our hearts with foode, and gladnesse.
[GNV | EN | NT | Acts | Chapter 14 | Verse 18] And speaking these things, scarce appeased they the multitude, that they had not sacrificed vnto them.
[GNV | EN | NT | Acts | Chapter 14 | Verse 19] Then there came certaine Iewes from Antiochia and Iconium, which when they had persuaded the people, stoned Paul, and drewe him out of the citie, supposing he had bene dead.
[GNV | EN | NT | Acts | Chapter 14 | Verse 20] Howbeit, as the disciples stoode rounde about him, hee arose vp, and came into the citie, and the next day hee departed with Barnabas to Derbe.
[GNV | EN | NT | Acts | Chapter 14 | Verse 21] And after they had preached the glad tidings of the Gospel to that citie, and had taught many, they returned to Lystra, and to Iconium, and to Antiochia,
[GNV | EN | NT | Acts | Chapter 14 | Verse 22] Confirming the disciples hearts, and exhorting them to continue in the faith, affirming that we must through many afflictions enter into the kingdome of God.
[GNV | EN | NT | Acts | Chapter 14 | Verse 23] And when they had ordeined them Elders by election in euery Church, and prayed, and fasted, they commended them to the Lord in whome they beleeued.
[GNV | EN | NT | Acts | Chapter 14 | Verse 24] Thus they went throughout Pisidia, and came to Pamphylia.
[GNV | EN | NT | Acts | Chapter 14 | Verse 25] And when they had preached the woorde in Perga, they came downe to Attalia,
[GNV | EN | NT | Acts | Chapter 14 | Verse 26] And thence sailed to Antiochia, from whence they had bene comended vnto the grace of God, to the woorke, which they had fulfilled.
[GNV | EN | NT | Acts | Chapter 14 | Verse 27] And when they were come and had gathered the Church together, they rehearsed all the things that God had done by them, and howe he had opened the doore of faith vnto the Gentiles.
[GNV | EN | NT | Acts | Chapter 14 | Verse 28] So there they abode a long time with the disciples.
