[GNV | EN | NT | Acts | Chapter 16 | Verse 1] Then came he to Derbe and to Lystra: and beholde, a certaine disciple was there named Timotheus, a womans sonne, which was a Iewesse and beleeued, but his father was a Grecian,
[GNV | EN | NT | Acts | Chapter 16 | Verse 2] Of whom the brethren which were at Lystra and Iconium, reported well.
[GNV | EN | NT | Acts | Chapter 16 | Verse 3] Therefore Paul would that he should go forth with him, and tooke and circumcised him, because of ye Iewes, which were in those quarters: for they knewe all, that his father was a Grecian.
[GNV | EN | NT | Acts | Chapter 16 | Verse 4] And as they went through the cities, they deliuered them the decrees to keepe, ordeined of the Apostles and Elders, which were at Hierusalem.
[GNV | EN | NT | Acts | Chapter 16 | Verse 5] And so were the Churches stablished in the faith, and encreased in number daily.
[GNV | EN | NT | Acts | Chapter 16 | Verse 6] Nowe when they had gone throughout Phrygia, and the region of Galatia, they were forbidden of the holy Ghost to preache the worde in Asia.
[GNV | EN | NT | Acts | Chapter 16 | Verse 7] Then came they to Mysia, and sought to go into Bithynia: but the Spirit suffered them not.
[GNV | EN | NT | Acts | Chapter 16 | Verse 8] Therefore they passed through Mysia, and came downe to Troas,
[GNV | EN | NT | Acts | Chapter 16 | Verse 9] Where a vision appeared to Paul in the night. There stoode a man of Macedonia, and prayed him, saying, Come into Macedonia, and helpe vs.
[GNV | EN | NT | Acts | Chapter 16 | Verse 10] And after he had seene the vision, immediatly we prepared to goe into Macedonia, being assured that the Lord had called vs to preache the Gospel vnto them.
[GNV | EN | NT | Acts | Chapter 16 | Verse 11] Then went we forth from Troas, and with a straight course came to Samothracia, and the next day to Neapolis,
[GNV | EN | NT | Acts | Chapter 16 | Verse 12] And from thence to Philippi, which is the chiefe citie in ye partes of Macedonia, and whose inhabitants came from Rome to dwell there, and we were in that citie abiding certaine dayes.
[GNV | EN | NT | Acts | Chapter 16 | Verse 13] And on the Sabbath day, we went out of the citie, besides a Riuer, where they were wont to pray: and we sate downe, and spake vnto the women, which were come together.
[GNV | EN | NT | Acts | Chapter 16 | Verse 14] And a certaine woman named Lydia, a seller of purple, of the citie of the Thyatirians, which worshipped God, heard vs: whose heart the Lord opened, that she attended vnto the things, which Paul spake.
[GNV | EN | NT | Acts | Chapter 16 | Verse 15] And when she was baptized, and her houshold, she besought vs, saying, If ye haue iudged me to be faithfull to ye Lord, come into mine house, and abide there: and she constrained vs.
[GNV | EN | NT | Acts | Chapter 16 | Verse 16] And it came to passe that as we went to prayer, a certaine maide hauing a spirit of diuination, mette vs, which gate her masters much vantage with diuining.
[GNV | EN | NT | Acts | Chapter 16 | Verse 17] She followed Paul and vs, and cryed, saying, These men are the seruants of the most high God, which shewe vnto you the way of saluation.
[GNV | EN | NT | Acts | Chapter 16 | Verse 18] And this did she many dayes: but Paul being grieued, turned about, and said to the spirit, I commaund thee in the Name of Iesus Christ, that thou come out of her. And he came out the same houre.
[GNV | EN | NT | Acts | Chapter 16 | Verse 19] Nowe when her masters sawe that the hope of their gaine was gone, they caught Paul and Silas, and drewe them into the market place vnto the Magistrates,
[GNV | EN | NT | Acts | Chapter 16 | Verse 20] And brought them to the gouernours, saying, These men which are Iewes, trouble our citie,
[GNV | EN | NT | Acts | Chapter 16 | Verse 21] And preache ordinances, which are not lawfull for vs to receiue, neither to obserue, seeing we are Romanes.
[GNV | EN | NT | Acts | Chapter 16 | Verse 22] The people also rose vp together against them, and the gouernours rent their clothes, and commanded them to be beaten with roddes.
[GNV | EN | NT | Acts | Chapter 16 | Verse 23] And when they had beaten them sore, they cast them into prison, commaunding the Iayler to keepe them surely.
[GNV | EN | NT | Acts | Chapter 16 | Verse 24] Who hauing receiued such commandement, cast them into the inner prison, and made their feete fast in the stockes.
[GNV | EN | NT | Acts | Chapter 16 | Verse 25] Nowe at midnight Paul and Silas prayed, and sung Psalmes vnto God: and the prisoners heard them.
[GNV | EN | NT | Acts | Chapter 16 | Verse 26] And suddenly there was a great earthquake, so that the foundation of the prison was shaken: and by and by all the doores opened, and euery mans bands were loosed.
[GNV | EN | NT | Acts | Chapter 16 | Verse 27] Then the keeper of the prison waked out of his sleepe, and when he sawe the prison doores open, he drewe out his sword and would haue killed himselfe, supposing the prisoners had bin fled.
[GNV | EN | NT | Acts | Chapter 16 | Verse 28] But Paul cryed with a loude voyce, saying, Doe thy selfe no harme: for we are all here.
[GNV | EN | NT | Acts | Chapter 16 | Verse 29] Then he called for a light, and leaped in, and came trembling, and fell downe before Paul and Silas,
[GNV | EN | NT | Acts | Chapter 16 | Verse 30] And brought them out, and said, Syrs, what must I doe to be saued?
[GNV | EN | NT | Acts | Chapter 16 | Verse 31] And they saide, Beleeue in the Lord Iesus Christ, and thou shalt be saued, and thine houshold.
[GNV | EN | NT | Acts | Chapter 16 | Verse 32] And they preached vnto him the worde of the Lord, and to all that were in the house.
[GNV | EN | NT | Acts | Chapter 16 | Verse 33] Afterwarde he tooke them the same houre of the night, and washed their stripes, and was baptized with all that belonged vnto him, straigthway.
[GNV | EN | NT | Acts | Chapter 16 | Verse 34] And when he had brought them into his house, he set meate before them, and reioyced that he with all his houshold beleeued in God.
[GNV | EN | NT | Acts | Chapter 16 | Verse 35] And when it was day, the gouernours sent the sergeants, saying, Let those men goe.
[GNV | EN | NT | Acts | Chapter 16 | Verse 36] Then the keeper of the prison tolde these woordes vnto Paul, saying, The gouerness haue sent to loose you: nowe therefore get you hence, and goe in peace.
[GNV | EN | NT | Acts | Chapter 16 | Verse 37] Then sayde Paul vnto them, After that they haue beaten vs openly vncodemned, which are Romanes, they haue cast vs into prison, and nowe would they put vs out priuily? nay verely: but let them come and bring vs out.
[GNV | EN | NT | Acts | Chapter 16 | Verse 38] And the sergeants tolde these woordes vnto the gouernours, who feared whe they heard that they were Romanes.
[GNV | EN | NT | Acts | Chapter 16 | Verse 39] Then came they and praied them, and brought them out, and desired them to depart out of the citie.
[GNV | EN | NT | Acts | Chapter 16 | Verse 40] And they went out of the prison, and entred into the house of Lydia: and when they had seene the brethren, they comforted them, and departed.
