[YLT | EN | NT | John | Chapter 2 | Verse 1] And the third day a marriage happened in Cana of Galilee, and the mother of Jesus was there,
[YLT | EN | NT | John | Chapter 2 | Verse 2] and also Jesus was called, and his disciples, to the marriage;
[YLT | EN | NT | John | Chapter 2 | Verse 3] and wine having failed, the mother of Jesus saith unto him, 'Wine they have not;'
[YLT | EN | NT | John | Chapter 2 | Verse 4] Jesus saith to her, 'What — to me and to thee, woman? not yet is mine hour come.'
[YLT | EN | NT | John | Chapter 2 | Verse 5] His mother saith to the ministrants, 'Whatever he may say to you — do.'
[YLT | EN | NT | John | Chapter 2 | Verse 6] And there were there six water-jugs of stone, placed according to the purifying of the Jews, holding each two or three measures.
[YLT | EN | NT | John | Chapter 2 | Verse 7] Jesus saith to them, 'Fill the water-jugs with water;' and they filled them — unto the brim;
[YLT | EN | NT | John | Chapter 2 | Verse 8] and he saith to them, 'Draw out, now, and bear to the director of the apartment;' and they bare.
[YLT | EN | NT | John | Chapter 2 | Verse 9] And as the director of the apartment tasted the water become wine, and knew not whence it is, (but the ministrants knew, who have drawn the water,) the director of the feast doth call the bridegroom,
[YLT | EN | NT | John | Chapter 2 | Verse 10] and saith to him, 'Every man, at first, the good wine doth set forth; and when they may have drunk freely, then the inferior; thou didst keep the good wine till now.'
[YLT | EN | NT | John | Chapter 2 | Verse 11] This beginning of the signs did Jesus in Cana of Galilee, and manifested his glory, and his disciples believed in him;
[YLT | EN | NT | John | Chapter 2 | Verse 12] after this he went down to Capernaum, he, and his mother, and his brethren, and his disciples; and there they remained not many days.
[YLT | EN | NT | John | Chapter 2 | Verse 13] And the passover of the Jews was nigh, and Jesus went up to Jerusalem,
[YLT | EN | NT | John | Chapter 2 | Verse 14] and he found in the temple those selling oxen, and sheep, and doves, and the money-changers sitting,
[YLT | EN | NT | John | Chapter 2 | Verse 15] and having made a whip of small cords, he put all forth out of the temple, also the sheep, and the oxen; and of the money-changers he poured out the coins, and the tables he overthrew,
[YLT | EN | NT | John | Chapter 2 | Verse 16] and to those selling the doves he said, 'Take these things hence; make not the house of my Father a house of merchandise.'
[YLT | EN | NT | John | Chapter 2 | Verse 17] And his disciples remembered that it is written, 'The zeal of Thy house did eat me up;'
[YLT | EN | NT | John | Chapter 2 | Verse 18] the Jews then answered and said to him, 'What sign dost thou shew to us — that thou dost these things?'
[YLT | EN | NT | John | Chapter 2 | Verse 19] Jesus answered and said to them, 'Destroy this sanctuary, and in three days I will raise it up.'
[YLT | EN | NT | John | Chapter 2 | Verse 20] The Jews, therefore, said, 'Forty and six years was this sanctuary building, and wilt thou in three days raise it up?'
[YLT | EN | NT | John | Chapter 2 | Verse 21] but he spake concerning the sanctuary of his body;
[YLT | EN | NT | John | Chapter 2 | Verse 22] when, then, he was raised out of the dead, his disciples remembered that he said this to them, and they believed the Writing, and the word that Jesus said.
[YLT | EN | NT | John | Chapter 2 | Verse 23] And as he was in Jerusalem, in the passover, in the feast, many believed in his name, beholding his signs that he was doing;
[YLT | EN | NT | John | Chapter 2 | Verse 24] and Jesus himself was not trusting himself to them, because of his knowing all [men],
[YLT | EN | NT | John | Chapter 2 | Verse 25] and because he had no need that any should testify concerning man, for he himself was knowing what was in man.
