[YLT | EN | NT | John | Chapter 16 | Verse 1] 'These things I have spoken to you, that ye may not be stumbled,
[YLT | EN | NT | John | Chapter 16 | Verse 2] out of the synagogues they will put you; but an hour doth come, that every one who hath killed you, may think to offer service unto God;
[YLT | EN | NT | John | Chapter 16 | Verse 3] and these things they will do to you, because they did not know the Father, nor me.
[YLT | EN | NT | John | Chapter 16 | Verse 4] 'But these things I have spoken to you, that when the hour may come, ye may remember them, that I said [them] to you, and these things to you from the beginning I did not say, because I was with you;
[YLT | EN | NT | John | Chapter 16 | Verse 5] and now I go away to Him who sent me, and none of you doth ask me, Whither dost thou go?
[YLT | EN | NT | John | Chapter 16 | Verse 6] but because these things I have said to you, the sorrow hath filled your heart.
[YLT | EN | NT | John | Chapter 16 | Verse 7] 'But I tell you the truth; it is better for you that I go away, for if I may not go away, the Comforter will not come unto you, and if I go on, I will send Him unto you;
[YLT | EN | NT | John | Chapter 16 | Verse 8] and having come, He will convict the world concerning sin, and concerning righteousness, and concerning judgment;
[YLT | EN | NT | John | Chapter 16 | Verse 9] concerning sin indeed, because they do not believe in me;
[YLT | EN | NT | John | Chapter 16 | Verse 10] and concerning righteousness, because unto my Father I go away, and no more do ye behold me;
[YLT | EN | NT | John | Chapter 16 | Verse 11] and concerning judgment, because the ruler of this world hath been judged.
[YLT | EN | NT | John | Chapter 16 | Verse 12] 'I have yet many things to say to you, but ye are not able to bear [them] now;
[YLT | EN | NT | John | Chapter 16 | Verse 13] and when He may come — the Spirit of truth — He will guide you to all the truth, for He will not speak from Himself, but as many things as He will hear He will speak, and the coming things He will tell you;
[YLT | EN | NT | John | Chapter 16 | Verse 14] He will glorify me, because of mine He will take, and will tell to you.
[YLT | EN | NT | John | Chapter 16 | Verse 15] 'All things, as many as the Father hath, are mine; because of this I said, That of mine He will take, and will tell to you;
[YLT | EN | NT | John | Chapter 16 | Verse 16] a little while, and ye do not behold me, and again a little while, and ye shall see me, because I go away unto the Father.'
[YLT | EN | NT | John | Chapter 16 | Verse 17] Therefore said [some] of his disciples one to another, 'What is this that he saith to us, A little while, and ye do not behold me, and again a little while, and ye shall see me, and, Because I go away unto the Father?'
[YLT | EN | NT | John | Chapter 16 | Verse 18] they said then, 'What is this he saith — the little while? we have not known what he saith.'
[YLT | EN | NT | John | Chapter 16 | Verse 19] Jesus, therefore, knew that they were wishing to ask him, and he said to them, 'Concerning this do ye seek one with another, because I said, A little while, and you do not behold me, and again a little while, and ye shall see me?
[YLT | EN | NT | John | Chapter 16 | Verse 20] verily, verily, I say to you, that ye shall weep and lament, and the world will rejoice; and ye shall be sorrowful, but your sorrow joy will become.
[YLT | EN | NT | John | Chapter 16 | Verse 21] 'The woman, when she may bear, hath sorrow, because her hour did come, and when she may bear the child, no more doth she remember the anguish, because of the joy that a man was born to the world.
[YLT | EN | NT | John | Chapter 16 | Verse 22] 'And ye, therefore, now, indeed, have sorrow; and again I will see you, and your heart shall rejoice, and your joy no one doth take from you,
[YLT | EN | NT | John | Chapter 16 | Verse 23] and in that day ye will question me nothing; verily, verily, I say to you, as many things as ye may ask of the Father in my name, He will give you;
[YLT | EN | NT | John | Chapter 16 | Verse 24] till now ye did ask nothing in my name; ask, and ye shall receive, that your joy may be full.
[YLT | EN | NT | John | Chapter 16 | Verse 25] 'These things in similitudes I have spoken to you, but there cometh an hour when no more in similitudes will I speak to you, but freely of the Father, will tell you.
[YLT | EN | NT | John | Chapter 16 | Verse 26] 'In that day, in my name ye will make request, and I do not say to you that I will ask the Father for you,
[YLT | EN | NT | John | Chapter 16 | Verse 27] for the Father himself doth love you, because me ye have loved, and ye have believed that I from God came forth;
[YLT | EN | NT | John | Chapter 16 | Verse 28] I came forth from the Father, and have come to the world; again I leave the world, and go on unto the Father.'
[YLT | EN | NT | John | Chapter 16 | Verse 29] His disciples say to him, 'Lo, now freely thou dost speak, and no similitude speakest thou;
[YLT | EN | NT | John | Chapter 16 | Verse 30] now we have known that thou hast known all things, and hast no need that any one do question thee; in this we believe that from God thou didst come forth.'
[YLT | EN | NT | John | Chapter 16 | Verse 31] Jesus answered them, 'Now do ye believe? lo, there doth come an hour,
[YLT | EN | NT | John | Chapter 16 | Verse 32] and now it hath come, that ye may be scattered, each to his own things, and me ye may leave alone, and I am not alone, because the Father is with me;
[YLT | EN | NT | John | Chapter 16 | Verse 33] these things I have spoken to you, that in me ye may have peace, in the world ye shall have tribulation, but take courage — I have overcome the world.'
