[YLT | EN | NT | John | Chapter 4 | Verse 1] When therefore the Lord knew that the Pharisees heard that Jesus more disciples doth make and baptize than John,
[YLT | EN | NT | John | Chapter 4 | Verse 2] (though indeed Jesus himself was not baptizing, but his disciples,)
[YLT | EN | NT | John | Chapter 4 | Verse 3] he left Judea and went away again to Galilee,
[YLT | EN | NT | John | Chapter 4 | Verse 4] and it was behoving him to go through Samaria.
[YLT | EN | NT | John | Chapter 4 | Verse 5] He cometh, therefore, to a city of Samaria, called Sychar, near to the place that Jacob gave to Joseph his son;
[YLT | EN | NT | John | Chapter 4 | Verse 6] and there was there a well of Jacob. Jesus therefore having been weary from the journeying, was sitting thus on the well; it was as it were the sixth hour;
[YLT | EN | NT | John | Chapter 4 | Verse 7] there cometh a woman out of Samaria to draw water. Jesus saith to her, 'Give me to drink;'
[YLT | EN | NT | John | Chapter 4 | Verse 8] for his disciples were gone away to the city, that they may buy victuals;
[YLT | EN | NT | John | Chapter 4 | Verse 9] the Samaritan woman therefore saith to him, 'How dost thou, being a Jew, ask drink from me, being a Samaritan woman?' for Jews have no dealing with Samaritans.
[YLT | EN | NT | John | Chapter 4 | Verse 10] Jesus answered and said to her, 'If thou hadst known the gift of God, and who it is who is saying to thee, Give me to drink, thou wouldest have asked him, and he would have given thee living water.'
[YLT | EN | NT | John | Chapter 4 | Verse 11] The woman saith to him, 'Sir, thou hast not even a vessel to draw with, and the well is deep; whence, then, hast thou the living water?
[YLT | EN | NT | John | Chapter 4 | Verse 12] Art thou greater than our father Jacob, who did give us the well, and himself out of it did drink, and his sons, and his cattle?'
[YLT | EN | NT | John | Chapter 4 | Verse 13] Jesus answered and said to her, 'Every one who is drinking of this water shall thirst again;
[YLT | EN | NT | John | Chapter 4 | Verse 14] but whoever may drink of the water that I will give him, may not thirst — to the age; and the water that I will give him shall become in him a well of water, springing up to life age-during.'
[YLT | EN | NT | John | Chapter 4 | Verse 15] The woman saith unto him, 'Sir, give me this water, that I may not thirst, nor come hither to draw.'
[YLT | EN | NT | John | Chapter 4 | Verse 16] Jesus saith to her, 'Go, call thy husband, and come hither;'
[YLT | EN | NT | John | Chapter 4 | Verse 17] the woman answered and said, 'I have not a husband.' Jesus saith to her, 'Well didst thou say — A husband I have not;
[YLT | EN | NT | John | Chapter 4 | Verse 18] for five husbands thou hast had, and, now, he whom thou hast is not thy husband; this hast thou said truly.'
[YLT | EN | NT | John | Chapter 4 | Verse 19] The woman saith to him, 'Sir, I perceive that thou art a prophet;
[YLT | EN | NT | John | Chapter 4 | Verse 20] our fathers in this mountain did worship, and ye — ye say that in Jerusalem is the place where it behoveth to worship.'
[YLT | EN | NT | John | Chapter 4 | Verse 21] Jesus saith to her, 'Woman, believe me, that there doth come an hour, when neither in this mountain, nor in Jerusalem, shall ye worship the Father;
[YLT | EN | NT | John | Chapter 4 | Verse 22] ye worship what ye have not known; we worship what we have known, because the salvation is of the Jews;
[YLT | EN | NT | John | Chapter 4 | Verse 23] but, there cometh an hour, and it now is, when the true worshippers will worship the Father in spirit and truth, for the Father also doth seek such to worship him;
[YLT | EN | NT | John | Chapter 4 | Verse 24] God [is] a Spirit, and those worshipping Him, in spirit and truth it doth behove to worship.'
[YLT | EN | NT | John | Chapter 4 | Verse 25] The woman saith to him, 'I have known that Messiah doth come, who is called Christ, when that one may come, he will tell us all things;'
[YLT | EN | NT | John | Chapter 4 | Verse 26] Jesus saith to her, 'I am [he], who am speaking to thee.'
[YLT | EN | NT | John | Chapter 4 | Verse 27] And upon this came his disciples, and were wondering that with a woman he was speaking, no one, however, said, 'What seekest thou?' or 'Why speakest thou with her?'
[YLT | EN | NT | John | Chapter 4 | Verse 28] The woman then left her water-jug, and went away to the city, and saith to the men,
[YLT | EN | NT | John | Chapter 4 | Verse 29] 'Come, see a man, who told me all things — as many as I did; is this the Christ?'
[YLT | EN | NT | John | Chapter 4 | Verse 30] They went forth therefore out of the city, and were coming unto him.
[YLT | EN | NT | John | Chapter 4 | Verse 31] And in the meanwhile his disciples were asking him, saying, 'Rabbi, eat;'
[YLT | EN | NT | John | Chapter 4 | Verse 32] and he said to them, 'I have food to eat that ye have not known.'
[YLT | EN | NT | John | Chapter 4 | Verse 33] The disciples then said one to another, 'Did any one bring him anything to eat?'
[YLT | EN | NT | John | Chapter 4 | Verse 34] Jesus saith to them, 'My food is, that I may do the will of Him who sent me, and may finish His work;
[YLT | EN | NT | John | Chapter 4 | Verse 35] do not say that it is yet four months, and the harvest cometh; lo, I say to you, Lift up your eyes, and see the fields, that they are white unto harvest already.
[YLT | EN | NT | John | Chapter 4 | Verse 36] 'And he who is reaping doth receive a reward, and doth gather fruit to life age-during, that both he who is sowing and he who is reaping may rejoice together;
[YLT | EN | NT | John | Chapter 4 | Verse 37] for in this the saying is the true one, that one is the sower and another the reaper.
[YLT | EN | NT | John | Chapter 4 | Verse 38] I sent you to reap that on which ye have not laboured; others laboured, and ye into their labour have entered.
