[YLT | EN | NT | John | Chapter 7 | Verse 1] And Jesus was walking after these things in Galilee, for he did not wish to walk in Judea, because the Jews were seeking to kill him,
[YLT | EN | NT | John | Chapter 7 | Verse 2] and the feast of the Jews was nigh — that of tabernacles —
[YLT | EN | NT | John | Chapter 7 | Verse 3] his brethren, therefore, said unto him, 'Remove hence, and go away to Judea, that thy disciples also may behold thy works that thou dost;
[YLT | EN | NT | John | Chapter 7 | Verse 4] for no one in secret doth anything, and himself seeketh to be in public; if thou dost these things — manifest thyself to the world;'
[YLT | EN | NT | John | Chapter 7 | Verse 5] for not even were his brethren believing in him.
[YLT | EN | NT | John | Chapter 7 | Verse 6] Jesus, therefore, saith to them, 'My time is not yet present, but your time is always ready;
[YLT | EN | NT | John | Chapter 7 | Verse 7] the world is not able to hate you, but me it doth hate, because I testify concerning it that its works are evil.
[YLT | EN | NT | John | Chapter 7 | Verse 8] Ye — go ye up to this feast; I do not yet go up to this feast, because my time hath not yet been fulfilled;'
[YLT | EN | NT | John | Chapter 7 | Verse 9] and saying these things to them, he remained in Galilee.
[YLT | EN | NT | John | Chapter 7 | Verse 10] And when his brethren went up, then also he himself went up to the feast, not manifestly, but as in secret;
[YLT | EN | NT | John | Chapter 7 | Verse 11] the Jews, therefore, were seeking him, in the feast, and said, 'Where is that one?'
[YLT | EN | NT | John | Chapter 7 | Verse 12] and there was much murmuring about him among the multitudes, some indeed said — 'He is good;' and others said, 'No, but he leadeth astray the multitude;'
[YLT | EN | NT | John | Chapter 7 | Verse 13] no one, however, was speaking freely about him, through fear of the Jews.
[YLT | EN | NT | John | Chapter 7 | Verse 14] And it being now the middle of the feast, Jesus went up to the temple, and he was teaching,
[YLT | EN | NT | John | Chapter 7 | Verse 15] and the Jews were wondering, saying, 'How hath this one known letters — not having learned?'
[YLT | EN | NT | John | Chapter 7 | Verse 16] Jesus answered them and said, 'My teaching is not mine, but His who sent me;
[YLT | EN | NT | John | Chapter 7 | Verse 17] if any one may will to do His will, he shall know concerning the teaching, whether it is of God, or — I do speak from myself.
[YLT | EN | NT | John | Chapter 7 | Verse 18] 'He who is speaking from himself his own glory doth seek, but he who is seeking the glory of him who sent him, this one is true, and unrighteousness is not in him;
[YLT | EN | NT | John | Chapter 7 | Verse 19] hath not Moses given you the law? and none of you doth the law; why me do ye seek to kill?'
[YLT | EN | NT | John | Chapter 7 | Verse 20] The multitude answered and said, 'Thou hast a demon, who doth seek to kill thee?'
[YLT | EN | NT | John | Chapter 7 | Verse 21] Jesus answered and said to them, 'One work I did, and ye all wonder,
[YLT | EN | NT | John | Chapter 7 | Verse 22] because of this, Moses hath given you the circumcision — not that it is of Moses, but of the fathers — and on a sabbath ye circumcise a man;
[YLT | EN | NT | John | Chapter 7 | Verse 23] if a man doth receive circumcision on a sabbath that the law of Moses may not be broken, are ye wroth with me that I made a man all whole on a sabbath?
[YLT | EN | NT | John | Chapter 7 | Verse 24] judge not according to appearance, but the righteous judgment judge.'
[YLT | EN | NT | John | Chapter 7 | Verse 25] Certain, therefore, of the Jerusalemites said, 'Is not this he whom they are seeking to kill?
[YLT | EN | NT | John | Chapter 7 | Verse 26] and, lo, he doth speak freely, and they say nothing to him; did the rulers at all know truly that this is truly the Christ?
[YLT | EN | NT | John | Chapter 7 | Verse 27] but this one — we have known whence he is; and the Christ, when he doth come, no one doth know whence he is.'
[YLT | EN | NT | John | Chapter 7 | Verse 28] Jesus cried, therefore, in the temple, teaching and saying, 'Ye have both known me, and ye have known whence I am; and I have not come of myself, but He who sent me is true, whom ye have not known;
[YLT | EN | NT | John | Chapter 7 | Verse 29] and I have known Him, because I am from Him, and He did send me.'
