[KJV | EN | OT | Judith | Chapter 14 | Verse 1] Then said Judith unto them, Hear me now, my brethren, and take this head, and hang it upon the highest place of your walls.
[KJV | EN | OT | Judith | Chapter 14 | Verse 2] And so soon as the morning shall appear, and the sun shall come forth upon the earth, take you every one his weapons, and go forth every valiant man out of the city, and set you a captain over them, as though you would go down into the field toward the watch of the Assyrians; but go not down.
[KJV | EN | OT | Judith | Chapter 14 | Verse 3] Then they shall take their armour, and shall go into their camp, and raise up the captains of the army of Assur, and they shall run to the tent of Olofernes, but shall not find him: then fear shall fall upon them, and they shall flee before your face.
[KJV | EN | OT | Judith | Chapter 14 | Verse 4] So you, and all that inhabit the coast of Israel, shall pursue them, and overthrow them as they go.
[KJV | EN | OT | Judith | Chapter 14 | Verse 5] But before you do these things, call me Achior the Ammonite, that he may see and know him that despised the house of Israel, and that sent him to us, as it were to his death.
[KJV | EN | OT | Judith | Chapter 14 | Verse 6] Then they called Achior out of the house of Ozias; and when he was come, and saw the head of Olofernes in a man’s hand in the assembly of the people, he fell down on his face, and his spirit failed.
[KJV | EN | OT | Judith | Chapter 14 | Verse 7] But when they had recovered him, he fell at Judith’s feet, and reverenced her, and said, Blessed art thou in all the tabernacle of Juda, and in all nations, which hearing thy name shall be astonished.
[KJV | EN | OT | Judith | Chapter 14 | Verse 8] Now therefore tell me all the things that thou hast done in these days. Then Judith declared unto him in the midst of the people all that she had done, from the day that she went forth until that hour she spake unto them.
[KJV | EN | OT | Judith | Chapter 14 | Verse 9] And when she had left off speaking, the people shouted with a loud voice, and made a joyful noise in their city.
[KJV | EN | OT | Judith | Chapter 14 | Verse 10] And when Achior had seen all that the God of Israel had done, he believed in God greatly, and circumcised the flesh of his foreskin, and was joined unto the house of Israel unto this day.
[KJV | EN | OT | Judith | Chapter 14 | Verse 11] And as soon as the morning arose, they hanged the head of Olofernes upon the wall, and every man took his weapons, and they went forth by bands unto the straits of the mountain.
[KJV | EN | OT | Judith | Chapter 14 | Verse 12] But when the Assyrians saw them, they sent to their leaders, which came to their captains and tribunes, and to every one of their rulers.
[KJV | EN | OT | Judith | Chapter 14 | Verse 13] So they came to Olofernes’ tent, and said to him that had the charge of all his things, Waken now our lord: for the slaves have been bold to come down against us to battle, that they may be utterly destroyed.
[KJV | EN | OT | Judith | Chapter 14 | Verse 14] Then went in Bagoas, and knocked at the door of the tent; for he thought that he had slept with Judith.
[KJV | EN | OT | Judith | Chapter 14 | Verse 15] But because none answered, he opened it, and went into the bedchamber, and found him cast upon the floor dead, and his head was taken from him.
[KJV | EN | OT | Judith | Chapter 14 | Verse 16] Therefore he cried with a loud voice, with weeping, and sighing, and a mighty cry, and rent his garments.
[KJV | EN | OT | Judith | Chapter 14 | Verse 17] After, he went into the tent where Judith lodged: and when he found her not, he leaped out to the people, and cried,
[KJV | EN | OT | Judith | Chapter 14 | Verse 18] These slaves have dealt treacherously; one woman of the Hebrews hath brought shame upon the house of king Nabuchodonosor: for behold, Olofernes lieth upon the ground without a head.
[KJV | EN | OT | Judith | Chapter 14 | Verse 19] When the captains of the Assyrians’ army heard these words, they rent their coats, and their minds were wonderfully troubled, and there was a cry and a very great noise throughout the camp.
