[KJV | EN | OT | Judith | Chapter 6 | Verse 1] And when the tumult of men that were about the council was ceased, Olofernes the chief captain of the army of Assur said unto Achior and all the Moabites before all the company of other nations,
[KJV | EN | OT | Judith | Chapter 6 | Verse 2] And who art thou, Achior, and the hirelings of Ephraim, that thou hast prophesied amongst us as to day, and hast said, that we should not make war with the people of Israel, because their God will defend them? and who is God but Nabuchodonosor?
[KJV | EN | OT | Judith | Chapter 6 | Verse 3] He will send his power, and will destroy them from the face of the earth, and their God shall not deliver them: but we his servants will destroy them as one man; for they are not able to sustain the power of our horses.
[KJV | EN | OT | Judith | Chapter 6 | Verse 4] For with them we will tread them under foot, and their mountains shall be drunken with their blood, and their fields shall be filled with their dead bodies, and their footsteps shall not be able to stand before us, for they shall utterly perish, saith king Nabuchodonosor, lord of all the earth; for he said, None of my words shall be in vain.
[KJV | EN | OT | Judith | Chapter 6 | Verse 5] And thou, Achior, a hireling of Ammon, which hast spoken these words in the day of thine iniquity, shalt see my face no more from this day, until I take vengeance of this nation that came out of Egypt.
[KJV | EN | OT | Judith | Chapter 6 | Verse 6] And then shall the sword of mine army, and the multitude of them that serve me, pass through thy sides, and thou shalt fall among their slain, when I return.
[KJV | EN | OT | Judith | Chapter 6 | Verse 7] Now therefore my servants shall bring thee back into the hill country, and shall set thee in one of the cities of the passages:
[KJV | EN | OT | Judith | Chapter 6 | Verse 8] and thou shalt not perish, till thou be destroyed with them.
[KJV | EN | OT | Judith | Chapter 6 | Verse 9] And if thou persuade thyself in thy mind that they shall not be taken, let not thy countenance fall: I have spoken it, and none of my words shall be in vain.
[KJV | EN | OT | Judith | Chapter 6 | Verse 10] Then Olofernes commanded his servants, that waited in his tent, to take Achior, and bring him to Bethulia, and deliver him into the hands of the children of Israel.
[KJV | EN | OT | Judith | Chapter 6 | Verse 11] So his servants took him, and brought him out of the camp into the plain, and they went from the midst of the plain into the hill country, and came unto the fountains that were under Bethulia.
[KJV | EN | OT | Judith | Chapter 6 | Verse 12] And when the men of the city saw them, they took up their weapons, and went out of the city to the top of the hill: and every man that used a sling kept them from coming up by casting of stones against them.
[KJV | EN | OT | Judith | Chapter 6 | Verse 13] Nevertheless having gotten privily under the hill, they bound Achior, and cast him down, and left him at the foot of the hill, and returned to their lord.
[KJV | EN | OT | Judith | Chapter 6 | Verse 14] But the Israelites descended from their city, and came unto him, and loosed him, and brought him into Bethulia, and presented him to the governors of the city:
[KJV | EN | OT | Judith | Chapter 6 | Verse 15] which were in those days Ozias the son of Micha, of the tribe of Simeon, and Chabris the son of Gothoniel, and Charmis the son of Melchiel.
[KJV | EN | OT | Judith | Chapter 6 | Verse 16] And they called together all the ancients of the city, and all their youth ran together, and their women, to the assembly, and they set Achior in the midst of all their people. Then Ozias asked him of that which was done.
[KJV | EN | OT | Judith | Chapter 6 | Verse 17] And he answered and declared unto them the words of the council of Olofernes, and all the words that he had spoken in the midst of the princes of Assur, and whatsoever Olofernes had spoken proudly against the house of Israel.
[KJV | EN | OT | Judith | Chapter 6 | Verse 18] Then the people fell down and worshipped God, and cried unto God, saying,
[KJV | EN | OT | Judith | Chapter 6 | Verse 19] O Lord God of heaven, behold their pride, and pity the low estate of our nation, and look upon the face of those that are sanctified unto thee this day.
[KJV | EN | OT | Judith | Chapter 6 | Verse 20] Then they comforted Achior, and praised him greatly.
[KJV | EN | OT | Judith | Chapter 6 | Verse 21] And Ozias took him out of the assembly unto his house, and made a feast to the elders; and they called on the God of Israel all that night for help.
