[IRV | PA | OT | Psalms | Chapter 147 | Verse 1] ਹਲਲੂਯਾਹ! ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਭਜਨ ਗਾਉਣਾ ਤਾਂ ਭਲਾ ਹੈ, ਉਸਤਤ ਕਰਨਾ ਮਨ ਭਾਉਣਾ ਤੇ ਸੋਹਣਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 147 | Verse 2] ਯਹੋਵਾਹ ਯਰੂਸ਼ਲਮ ਨੂੰ ਉਸਾਰਦਾ ਹੈ, ਉਹ ਇਸਰਾਏਲ ਦੇ ਦੇਸੋਂ ਕੱਢਿਆਂ ਨੂੰ ਇਕੱਠਾ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 3] ਉਹ ਟੁੱਟੇ ਦਿਲਾਂ ਨੂੰ ਚੰਗਾ ਕਰਦਾ ਹੈ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਸੋਗਾਂ ਉੱਤੇ ਪੱਟੀ ਬੰਨ੍ਹਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 4] ਉਹ ਤਾਰਿਆਂ ਦੀ ਗਿਣਤੀ ਕਰਦਾ ਹੈ, ਅਤੇ ਉਨ੍ਹਾਂ ਸਾਰਿਆਂ ਦੇ ਨਾਮ ਬੁਲਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 5] ਸਾਡਾ ਪ੍ਰਭੂ ਮਹਾਨ ਅਤੇ ਬਹੁਤ ਸ਼ਕਤੀਮਾਨ ਹੈ, ਉਹ ਦੀ ਸਮਝ ਦਾ ਕੋਈ ਪਾਰਾਵਾਰ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 6] ਯਹੋਵਾਹ ਮਸਕੀਨਾਂ ਨੂੰ ਸੰਭਾਲਦਾ ਹੈ, ਉਹ ਦੁਸ਼ਟਾਂ ਨੂੰ ਧਰਤੀ ਤੱਕ ਨਿਵਾ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 7] ਯਹੋਵਾਹ ਨੂੰ ਧੰਨਵਾਦ ਨਾਲ ਉੱਤਰ ਦਿਓ, ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਬਰਬਤ ਨਾਲ ਭਜਨ ਗਾਓ,
[IRV | PA | OT | Psalms | Chapter 147 | Verse 8] ਜਿਹੜਾ ਅਕਾਸ਼ ਨੂੰ ਬੱਦਲਾਂ ਨਾਲ ਢੱਕਦਾ ਹੈ, ਅਤੇ ਧਰਤੀ ਲਈ ਮੀਂਹ ਤਿਆਰ ਕਰਦਾ ਹੈ, ਅਤੇ ਪਹਾੜਾਂ ਉੱਤੇ ਘਾਹ ਉਗਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 9] ਉਹ ਡੰਗਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦਾ ਅਹਾਰ ਦਿੰਦਾ ਹੈ, ਨਾਲੇ ਕਾਂਵਾਂ ਦੇ ਬੱਚਿਆਂ ਨੂੰ ਜਦ ਉਹ ਪੁਕਾਰਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 10] ਨਾ ਘੋੜੇ ਦੇ ਜ਼ੋਰ ਵਿੱਚ ਉਹ ਖੁਸ਼ ਹੁੰਦਾ ਹੈ, ਨਾ ਮਨੁੱਖ ਦੀਆਂ ਲੱਤਾਂ ਉੱਤੇ ਰੀਝਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 11] ਯਹੋਵਾਹ ਆਪਣੇ ਭੈਅ ਮੰਨਣ ਵਾਲਿਆਂ ਉੱਤੇ ਰੀਝਦਾ ਹੈ, ਅਤੇ ਆਪਣੀ ਦਯਾ ਦੀ ਆਸਵੰਦਾਂ ਉੱਤੇ ਵੀ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 12] ਹੇ ਯਰੂਸ਼ਲਮ, ਯਹੋਵਾਹ ਦਾ ਜਸ ਗਾ, ਹੇ ਸੀਯੋਨ, ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਉਸਤਤ ਕਰ!
[IRV | PA | OT | Psalms | Chapter 147 | Verse 13] ਉਹ ਨੇ ਤਾਂ ਤੇਰੇ ਫਾਟਕਾਂ ਦੇ ਅਰਲਾਂ ਨੂੰ ਤਕੜਾ ਕੀਤਾ, ਉਹ ਨੇ ਤੇਰੇ ਵਿੱਚ ਤੇਰੇ ਬੱਚਿਆਂ ਨੂੰ ਬਰਕਤ ਦਿੱਤੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 147 | Verse 14] ਉਹ ਤੇਰੀਆਂ ਹੱਦਾਂ ਵਿੱਚ ਸੁਲਾਹ ਰੱਖਦਾ ਹੈ, ਉਹ ਤੈਨੂੰ ਮੈਦੇ ਵਾਲੀ ਕਣਕ ਨਾਲ ਰਜਾਉਂਦਾ ਹੈ।
