[IRV | PA | OT | Psalms | Chapter 16 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੀ ਰੱਖਿਆ ਕਰ, ਕਿਉਂ ਜੋ ਮੈਂ ਤੇਰੀ ਹੀ ਸ਼ਰਨ ਆਇਆ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 2] ਮੈਂ ਯਹੋਵਾਹ ਨੂੰ ਆਖਿਆ ਹੈ ਕਿ ਤੂੰ ਹੀ ਮੇਰਾ ਪ੍ਰਭੂ ਹੈ, ਤੇਰੇ ਤੋਂ ਬਿਨ੍ਹਾਂ ਮੇਰੀ ਕਿਤੇ ਵੀ ਭਲਿਆਈ ਨਹੀਂ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 3] ਪਵਿੱਤਰ ਜਨ ਜਿਹੜੇ ਧਰਤੀ ਉੱਤੇ ਹਨ, ਉਹ ਆਦਰਯੋਗ ਹਨ, ਉਨ੍ਹਾਂ ਵਿੱਚ ਮੇਰੀ ਖੁਸ਼ੀ ਪੂਰੀ ਹੁੰਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 4] ਜਿਹੜੇ ਦੂਜੇ ਦੇਵਤਿਆਂ ਦੇ ਪਿੱਛੇ ਭੱਜਦੇ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਦੁੱਖ ਵੱਧ ਜਾਣਗੇ, ਮੈਂ ਉਨ੍ਹਾਂ ਦੀਆਂ ਲਹੂ ਵਾਲੀਆਂ ਭੇਟਾਂ ਨਹੀਂ ਡੋਲ੍ਹਾਂਗਾ, ਅਤੇ ਨਾ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਉੱਤੇ ਉਨ੍ਹਾਂ ਦੇਵਤਿਆਂ ਦਾ ਨਾਮ ਲਿਆਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 5] ਯਹੋਵਾਹ ਮੇਰੀ ਵਿਰਾਸਤ ਅਤੇ ਮੇਰੇ ਕਟੋਰੇ ਦਾ ਭਾਗ ਹੈ। ਤੂੰ ਮੇਰੇ ਹਿੱਸੇ ਦਾ ਰਖਵਾਲਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 6] ਮਨਭਾਉਂਦੇ ਥਾਵਾਂ ਵਿੱਚ ਮੇਰੇ ਲਈ ਮਿਣਤੀ ਕੀਤੀ ਗਈ, ਮੈਨੂੰ ਮਨ ਭਾਉਂਦਾ ਹਿੱਸਾ ਮਿਲਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 7] ਮੈਂ ਯਹੋਵਾਹ ਨੂੰ ਧੰਨ ਆਖਾਂਗਾ ਜਿਸ ਨੇ ਮੈਨੂੰ ਸਲਾਹ ਦਿੱਤੀ ਹੈ, ਰਾਤ ਦੇ ਸਮੇਂ ਮੇਰਾ ਦਿਲ ਸਿਖਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 8] ਮੈਂ ਸਦਾ ਹੀ ਯਹੋਵਾਹ ਨੂੰ ਆਪਣੇ ਅੱਗੇ ਰੱਖਿਆ ਹੈ, ਉਹ ਮੇਰੇ ਸੱਜੇ ਪਾਸੇ ਜੋ ਹੈ ਇਸ ਲਈ ਮੈਂ ਨਾ ਡੋਲਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 9] ਇਸ ਕਾਰਨ ਮੇਰਾ ਦਿਲ ਅਨੰਦ ਹੋਇਆ ਅਤੇ ਮੇਰੀ ਰੂਹ ਨਿਹਾਲ ਹੋਈ, ਮੇਰਾ ਸਰੀਰ ਵੀ ਚੈਨ ਵਿੱਚ ਵੱਸੇਗਾ,
[IRV | PA | OT | Psalms | Chapter 16 | Verse 10] ਕਿਉਂ ਜੋ ਤੂੰ ਮੇਰੀ ਜਾਨ ਨੂੰ ਪਤਾਲ ਵਿੱਚ ਨਾ ਛੱਡੇਂਗਾ, ਨਾ ਆਪਣੇ ਪਵਿੱਤਰ ਪੁਰਖ ਨੂੰ ਕਬਰ ਵੇਖਣ ਦੇਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 16 | Verse 11] ਤੂੰ ਮੈਨੂੰ ਜੀਵਨ ਦਾ ਮਾਰਗ ਵਿਖਾਵੇਂਗਾ, ਤੇਰੇ ਹਜ਼ੂਰ ਅਨੰਦ ਦੀ ਭਰਪੂਰੀ ਹੈ, ਤੇਰੇ ਸੱਜੇ ਹੱਥ ਸਦਾ ਖੁਸ਼ੀਆਂ ਹਨ।
