[IRV | PA | OT | Psalms | Chapter 73 | Verse 1] ਸੱਚ-ਮੁੱਚ ਇਸਰਾਏਲ ਲਈ ਅਰਥਾਤ ਖਾਲ਼ਸ ਦਿਲ ਵਾਲਿਆਂ ਦੇ ਲਈ ਪਰਮੇਸ਼ੁਰ ਭਲਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 2] ਪਰ ਮੈਂ ਜੋ ਹਾਂ, ਮੇਰੇ ਪੈਰ ਫਿਸਲਣ, ਅਤੇ ਮੇਰੇ ਕਦਮ ਤਿਲਕਣ ਲੱਗੇ ਸਨ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 3] ਜਦ ਮੈਂ ਦੁਸ਼ਟਾਂ ਦਾ ਸੁਲੱਖਪੁਣਾ ਡਿੱਠਾ, ਤਾਂ ਮੈਂ ਉਨ੍ਹਾਂ ਹੰਕਾਰੀਆਂ ਦੇ ਉੱਤੇ ਖੁਣਸ ਕੀਤੀ ਸੀ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 4] ਉਨ੍ਹਾਂ ਦੀ ਮੌਤ ਵਿੱਚ ਤਾਂ ਪੀੜ ਨਹੀਂ ਹੁੰਦੀ, ਸਗੋਂ ਉਨ੍ਹਾਂ ਦਾ ਸਰੀਰ ਮੋਟਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 5] ਓਹ ਹੋਰਨਾਂ ਮਨੁੱਖਾਂ ਵਾਂਗੂੰ ਔਖੇ ਨਹੀਂ ਹੁੰਦੇ, ਨਾ ਹੋਰਨਾਂ ਆਦਮੀਆਂ ਵਾਂਗੂੰ ਉਨ੍ਹਾਂ ਉੱਤੇ ਬਿਪਤਾ ਪੈਂਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 6] ਇਸ ਲਈ ਘਮੰਡ ਉਨ੍ਹਾਂ ਦੇ ਗਲੇ ਦੀ ਜੰਜ਼ੀਰ ਹੈ, ਅਤੇ ਅਨ੍ਹੇਰ ਦਾ ਲੀੜਾ ਉਨ੍ਹਾਂ ਨੂੰ ਕੱਜਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 7] ਉਨ੍ਹਾਂ ਦੀਆਂ ਅੱਖੀਆਂ ਚਿਕਨਾਈ ਨਾਲ ਫੁੱਲੀਆਂ ਹੋਈਆਂ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਮਨ ਦੇ ਵਿਚਾਰ ਛਲਕਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 8] ਓਹ ਠੱਠਾ ਮਾਰਦੇ ਅਤੇ ਬਦੀ ਨਾਲ ਅਨ੍ਹੇਰ ਦੀਆਂ ਗੱਲਾਂ ਕਰਦੇ ਹਨ, ਓਹ ਹੰਕਾਰ ਨਾਲ ਬੋਲਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 9] ਉਨ੍ਹਾਂ ਨੇ ਆਪਣਾ ਮੂੰਹ ਅਕਾਸ਼ ਵਿੱਚ ਧਰਿਆ, ਪਰ ਉਨ੍ਹਾਂ ਦੀ ਜੀਭ ਧਰਤੀ ਉੱਤੇ ਫਿਰਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 10] ਇਸ ਲਈ ਉਹ ਲੋਕ ਇੱਧਰ ਮੁੜਨਗੇ ਅਤੇ ਭਰੇ ਹੋਏ ਛੰਨ ਦਾ ਪਾਣੀ ਉਨ੍ਹਾਂ ਤੋਂ ਡੱਫਿਆ ਜਾਂਦਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 73 | Verse 11] ਅਤੇ ਓਹ ਆਖਦੇ ਹਨ, ਪਰਮੇਸ਼ੁਰ ਕਿਸ ਤਰ੍ਹਾਂ ਜਾਣਦਾ ਹੈ? ਭਲਾ, ਅੱਤ ਮਹਾਨ ਨੂੰ ਕੁਝ ਪਤਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 73 | Verse 12] ਵੇਖੋ, ਦੁਸ਼ਟ ਇਹ ਹਨ, ਅਤੇ ਓਹ ਸਦਾ ਸੁੱਖ ਵਿੱਚ ਰਹਿ ਕੇ ਧੰਨ ਜੋੜਦੇ ਹਨ!।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 13] ਸੱਚ-ਮੁੱਚ ਮੈਂ ਅਵਿਰਥਾ ਆਪਣੇ ਦਿਲ ਨੂੰ ਸ਼ੁੱਧ ਕੀਤਾ ਹੈ, ਅਤੇ ਨਿਰਮਲਤਾਈ ਵਿੱਚ ਆਪਣੇ ਹੱਥ ਧੋਤੇ ਹਨ,
[IRV | PA | OT | Psalms | Chapter 73 | Verse 14] ਕਿਉਂ ਜੋ ਸਾਰਾ ਦਿਨ ਮੈਂ ਮਾਰ ਖਾਂਦਾ ਰਿਹਾ, ਅਤੇ ਹਰ ਸਵੇਰ ਨੂੰ ਮੇਰੀ ਤਾੜਨਾ ਹੋਈ।
[IRV | PA | OT | Psalms | Chapter 73 | Verse 15] ਜੇ ਮੈਂ ਆਖਦਾ ਕਿ ਮੈਂ ਇਸੇ ਤਰ੍ਹਾਂ ਦੱਸਾਂਗਾ, ਤਾਂ ਵੇਖੋ, ਮੈਂ ਤੇਰੇ ਬੱਚਿਆਂ ਦੀ ਪੀੜ੍ਹੀ ਨੂੰ ਧੋਖਾ ਦਿੰਦਾ।
