[IRV | PA | OT | Psalms | Chapter 59 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੇ ਵੈਰੀਆਂ ਤੋਂ ਮੈਨੂੰ ਛੁਡਾ, ਮੇਰੇ ਵਿਰੋਧੀਆਂ ਤੋਂ ਮੈਨੂੰ ਉਚਿਆਈ ਤੇ ਰੱਖ!
[IRV | PA | OT | Psalms | Chapter 59 | Verse 2] ਮੈਨੂੰ ਬਦਕਾਰਾਂ ਤੋਂ ਛੁਡਾ, ਅਤੇ ਖੂਨੀ ਮਨੁੱਖਾਂ ਤੋਂ ਮੈਨੂੰ ਬਚਾ!
[IRV | PA | OT | Psalms | Chapter 59 | Verse 3] ਵੇਖ ਤਾਂ, ਓਹ ਮੇਰੀ ਜਾਨ ਦੀ ਘਾਤ ਵਿੱਚ ਲੱਗੇ ਹੋਏ ਹਨ, ਬਲਵੰਤ ਮੇਰੇ ਵਿਰੁੱਧ ਇਕੱਠੇ ਹੋਏ ਹਨ। ਹੇ ਯਹੋਵਾਹ, ਨਾ ਮੇਰਾ ਕੁਝ ਅਪਰਾਧ ਨਾ ਮੇਰਾ ਕੁਝ ਪਾਪ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 59 | Verse 4] ਮੇਰੀ ਬਦੀ ਤੋਂ ਬਿਨ੍ਹਾਂ ਓਹ ਭੱਜ ਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਤਿਆਰ ਕਰਦੇ ਹਨ, ਮੇਰੀ ਸਹਾਇਤਾ ਲਈ ਜਾਗ ਅਤੇ ਵੇਖ!
[IRV | PA | OT | Psalms | Chapter 59 | Verse 5] ਹੇ ਯਹੋਵਾਹ, ਸੈਨਾਂ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਸਾਰੀਆਂ ਕੌਮਾਂ ਦੀ ਖ਼ਬਰ ਲੈਣ ਨੂੰ ਜਾਗ ਉੱਠ! ਕਿਸੇ ਖੋਟੇ ਬਦਕਾਰ ਉੱਤੇ ਦਯਾ ਨਾ ਕਰ! ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 59 | Verse 6] ਓਹ ਸ਼ਾਮ ਵੇਲੇ ਨੂੰ ਮੁੜ ਆਣ ਕੇ ਕੁੱਤੇ ਵਾਂਗੂੰ ਭੌਂਕਦੇ ਹਨ, ਅਤੇ ਨਗਰ ਵਿੱਚ ਘੁੰਮਦੇ ਫਿਰਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 59 | Verse 7] ਵੇਖ, ਓਹ ਆਪਣੇ ਮੂੰਹੋਂ ਡਕਾਰਦੇ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਬੁੱਲ੍ਹਾਂ ਉੱਤੇ ਤਲਵਾਰਾਂ ਹਨ, ਕਿਉਂ ਜੋ ਓਹ ਆਖਦੇ ਹਨ, ਕੌਣ ਸੁਣਦਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 59 | Verse 8] ਪਰ ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਉਨ੍ਹਾਂ ਉੱਤੇ ਹੱਸੇਂਗਾ, ਤੂੰ ਸਾਰੀਆਂ ਕੌਮਾਂ ਨੂੰ ਠੱਠੇ ਵਿੱਚ ਉਡਾਵੇਂਗਾ!।
[IRV | PA | OT | Psalms | Chapter 59 | Verse 9] ਹੇ ਮੇਰੇ ਬਲ, ਮੈਂ ਤੇਰੀ ਵੱਲ ਗੌਰ ਕਰਾਂਗਾ, ਪਰਮੇਸ਼ੁਰ ਮੇਰਾ ਉੱਚਾ ਗੜ੍ਹ ਜੋ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 59 | Verse 10] ਮੇਰਾ ਦਯਾਵਾਨ ਪਰਮੇਸ਼ੁਰ ਮੈਨੂੰ ਮਿਲੇਗਾ, ਪਰਮੇਸ਼ੁਰ ਮੈਨੂੰ ਮੇਰੇ ਘਾਤੀਆਂ ਉੱਤੇ ਮੇਰੀ ਫਤਹ ਵਿਖਾਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 59 | Verse 11] ਉਨ੍ਹਾਂ ਨੂੰ ਨਾ ਵੱਢ, ਮਤੇ ਮੇਰੀ ਪਰਜਾ ਭੁੱਲ ਜਾਵੇ, ਹੇ ਪ੍ਰਭੂ, ਸਾਡੀ ਢਾਲ਼, ਆਪਣੀ ਸ਼ਕਤੀ ਨਾਲ, ਉਨ੍ਹਾਂ ਨੂੰ ਭੁਆਂ ਕੇ ਹੇਠਾਂ ਕਰ ਦੇ!
