[IRV | PA | OT | Psalms | Chapter 62 | Verse 1] ਮੇਰੀ ਜਾਨ ਪਰਮੇਸ਼ੁਰ ਦੇ ਹੀ ਅੱਗੇ ਚੁੱਪ-ਚਾਪ ਹੈ, ਮੇਰਾ ਬਚਾਓ ਉਸੇ ਵੱਲੋਂ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 2] ਉਹੋ ਮੇਰੀ ਚੱਟਾਨ ਅਤੇ ਮੇਰਾ ਬਚਾਓ ਹੈ, ਉਹ ਮੇਰਾ ਉੱਚਾ ਗੜ੍ਹ ਹੈ, ਮੈਂ ਬਹੁਤਾ ਨਾ ਡੋਲਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 3] ਤੁਸੀਂ ਕਦ ਤੋੜੀ ਇੱਕ ਮਨੁੱਖ ਉੱਤੇ ਹੱਲਾ ਕਰਦੇ ਰਹੋਗੇ, ਤਾਂ ਜੋ ਤੁਸੀਂ ਸਭ ਮਿਲ ਕੇ ਉਸ ਨੂੰ ਵੱਢ ਸੁੱਟੋ, ਜੋ ਝੁਕੀ ਹੋਈ ਕੰਧ ਤੇ ਹਿੱਲਦੀ ਹੋਈ ਵਾੜ ਵਰਗਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 62 | Verse 4] ਓਹ ਮਤਾ ਪਕਾਉਂਦੇ ਹਨ ਨਿਰਾ ਇਸੇ ਲਈ ਕਿ ਉਹ ਨੂੰ ਉਹ ਦੀ ਪਦਵੀ ਤੋਂ ਡੇਗ ਦੇਣ, ਓਹ ਝੂਠ ਨੂੰ ਪਸੰਦ ਕਰਦੇ ਹਨ, ਮੂੰਹੋਂ ਤਾਂ ਓਹ ਅਸੀਸ ਦਿੰਦੇ ਹਨ ਪਰ ਅੰਦਰੋਂ ਸਰਾਪ ਦਿੰਦੇ ਹਨ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 5] ਹੇ ਮੇਰੀ ਜਾਨ, ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਹੀ ਦੇ ਅੱਗੇ ਚੁੱਪ-ਚਾਪ ਰਹਿ, ਕਿਉਂ ਜੋ ਮੇਰੀ ਤਾਂਘ ਉਸੇ ਵੱਲੋਂ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 6] ਉਹੋ ਮੇਰੀ ਚੱਟਾਨ ਅਤੇ ਮੇਰਾ ਬਚਾਓ ਹੈ, ਉਹੋ ਮੇਰਾ ਉੱਚਾ ਗੜ੍ਹ ਹੈ, ਮੈਂ ਨਾ ਡੋਲਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 7] ਮੇਰਾ ਬਚਾਓ ਅਤੇ ਮੇਰਾ ਪਰਤਾਪ ਪਰਮੇਸ਼ੁਰ ਉੱਤੇ ਕਾਇਮ ਹੈ, ਮੇਰੇ ਬਲ ਦੀ ਚੱਟਾਨ ਅਤੇ ਮੇਰੀ ਪਨਾਹ ਪਰਮੇਸ਼ੁਰ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 8] ਹੇ ਪਰਜਾ, ਹਰ ਵੇਲੇ ਉਸ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖੋ, ਆਪਣਾ ਮਨ ਉਹ ਦੇ ਅੱਗੇ ਖੋਲ੍ਹ ਦਿਓ, ਪਰਮੇਸ਼ੁਰ ਸਾਡੀ ਪਨਾਹ ਹੈ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 9] ਨੀਚ ਲੋਕ ਸਾਹ ਹੀ ਹਨ, ਅਤੇ ਉੱਚੀ ਪਦਵੀ ਵਾਲੇ ਮਿਥਿਆ ਹਨ, ਤੱਕੜੀ ਵਿੱਚ ਉਹ ਉਤਾਹਾਂ ਚੜ੍ਹ ਜਾਂਦੇ ਹਨ, ਓਹ ਸਾਹ ਨਾਲੋਂ ਹਲਕੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 10] ਅਨ੍ਹੇਰ ਉੱਤੇ ਭਰੋਸਾ ਨਾ ਰੱਖੋ, ਨਾ ਲੁੱਟ ਮਾਰ ਕਰ ਕੇ ਫੂੰ-ਫੂੰ ਕਰੋ, ਧਨ ਸੰਪਤੀ ਜੇ ਵਧ ਜਾਵੇ ਤਾਂ ਉਸ ਉੱਤੇ ਮਨ ਨਾ ਲਾਓ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 11] ਪਰਮੇਸ਼ੁਰ ਇੱਕੋ ਵਾਰ ਬੋਲਿਆ, ਸਗੋਂ ਦੋ ਵਾਰੀ ਮੈਂ ਇਹ ਸੁਣਿਆ, ਕਿ ਸਮਰੱਥਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 62 | Verse 12] ਹੇ ਪ੍ਰਭੂ, ਦਯਾ ਵੀ ਤੇਰੀ ਹੀ ਹੈ, ਕਿਉਂ ਜੋ ਤੂੰ ਹਰ ਮਨੁੱਖ ਨੂੰ ਉਹ ਦੀਆਂ ਕੀਤੀਆਂ ਅਨੁਸਾਰ ਫਲ ਦਿੰਦਾ ਹੈਂ।
