[IRV | PA | OT | Psalms | Chapter 148 | Verse 1] ਹਲਲੂਯਾਹ! ਅਕਾਸ਼ੋਂ ਯਹੋਵਾਹ ਦੀ ਉਸਤਤ ਕਰੋ, ਉਚਿਆਈਆਂ ਵਿੱਚ ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 148 | Verse 2] ਹੇ ਉਹ ਦੇ ਸਾਰੇ ਦੂਤੋ, ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ, ਹੇ ਉਹ ਦੀਓ ਸਾਰੀਓ ਸੈਨਾਵੋ, ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 148 | Verse 3] ਹੇ ਸੂਰਜ ਤੇ ਚੰਦ, ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ, ਹੇ ਸਾਰੇ ਰੌਸ਼ਨ ਤਾਰਿਓ, ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 148 | Verse 4] ਹੇ ਅਕਾਸ਼ਾਂ ਦੇ ਅਕਾਸ਼ੋ, ਉਹ ਦੀ ਉਸਤਤ ਕਰੋ, ਨਾਲੇ ਪਾਣੀ ਜਿਹੜੇ ਅਕਾਸ਼ਾਂ ਦੇ ਉੱਤੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 148 | Verse 5] ਇਹ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦੀ ਉਸਤਤ ਕਰਨ, ਕਿਉਂ ਜੋ ਉਸ ਹੁਕਮ ਦਿੱਤਾ ਅਤੇ ਓਹ ਉਤਪੰਨ ਹੋਏ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 6] ਅਤੇ ਉਸ ਉਨ੍ਹਾਂ ਨੂੰ ਸਦਾ ਲਈ ਸਥਿਰ ਕੀਤਾ, ਉਸ ਨੇ ਇੱਕ ਬਿਧੀ ਦਿੱਤੀ ਜਿਹੜੀ ਅਟੱਲ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 148 | Verse 7] ਹੇ ਜਲ ਜੰਤੂਓ ਤੇ ਸਾਰੀਓ ਡੁੰਘਿਆਈਓ, ਪ੍ਰਿਥਵੀ ਤੋਂ ਯਹੋਵਾਹ ਦੀ ਉਸਤਤ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 148 | Verse 8] ਅੱਗ ਅਤੇ ਗੜ੍ਹੇ, ਬਰਫ਼ ਤੇ ਧੁੰਦ, ਤੂਫਾਨੀ ਹਵਾ ਜਿਹੜੀ ਉਹ ਦਾ ਹੁਕਮ ਪੂਰਾ ਕਰਦੀ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 9] ਪਰਬਤ ਤੇ ਸਾਰੇ ਟਿੱਬੇ, ਫਲਦਾਰ ਬਿਰਛ ਤੇ ਸਾਰੇ ਦਿਆਰ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 10] ਦਰਿੰਦੇ ਤੇ ਸਾਰੇ ਡੰਗਰ, ਘਿੱਸਰਨ ਵਾਲੇ ਤੇ ਪੰਖ ਪੰਛੀ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 11] ਧਰਤੀ ਦੇ ਰਾਜੇ ਤੇ ਸਾਰੀਆਂ ਉੱਮਤਾਂ, ਸਰਦਾਰ ਤੇ ਧਰਤੀ ਦੇ ਨਿਆਈਂ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 12] ਗੱਭਰੂ ਤੇ ਕੁਆਰੀਆਂ, ਬੁੱਢੇ ਤੇ ਜੁਆਨ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 13] ਇਹ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦੀ ਉਸਤਤ ਕਰਨ! ਕਿਉਂ ਜੋ ਇਕੱਲਾ ਉਸੇ ਦਾ ਨਾਮ ਮਹਾਨ ਹੈ, ਉਹ ਦਾ ਤੇਜ ਧਰਤੀ ਤੇ ਅਕਾਸ਼ ਦੇ ਉੱਪਰ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 148 | Verse 14] ਅਤੇ ਉਹ ਨੇ ਆਪਣੀ ਪਰਜਾ ਦੇ ਸਿੰਗ ਨੂੰ ਉੱਚਾ ਕੀਤਾ, ਇਹ ਉਹ ਦੇ ਸਾਰੇ ਸੰਤਾਂ ਲਈ ਉਸਤਤ ਦਾ ਕਾਰਨ ਹੈ, ਅਰਥਾਤ ਇਸਰਾਏਲੀਆਂ ਲਈ, ਜਿਹੜੇ ਉਹ ਦੇ ਨੇੜੇ ਦੇ ਲੋਕ ਹਨ, - ਹਲਲੂਯਾਹ!
