[IRV | PA | OT | Psalms | Chapter 139 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਮੈਨੂੰ ਪਰਖ ਲਿਆ ਤੇ ਜਾਣ ਲਿਆ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 2] ਤੂੰ ਮੇਰਾ ਬੈਠਣਾ ਉੱਠਣਾ ਜਾਣਦਾ ਹੈਂ, ਤੂੰ ਮੇਰੀ ਵਿਚਾਰ ਨੂੰ ਦੂਰ ਤੋਂ ਹੀ ਸਮਝ ਲੈਂਦਾ ਹੈਂ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 3] ਤੂੰ ਮੇਰੇ ਚੱਲਣੇ ਅਤੇ ਲੇਟਣੇ ਦੀ ਛਾਣਬੀਣ ਕਰਦਾ ਹੈਂ, ਅਤੇ ਮੇਰੀਆਂ ਸਾਰੀਆਂ ਚਾਲਾਂ ਤੋਂ ਵਾਕਫ਼ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 4] ਮੇਰੀ ਜੀਭ ਉੱਤੇ ਇੱਕ ਗੱਲ ਵੀ ਨਹੀਂ, ਵੇਖ, ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਉਹ ਨੂੰ ਪੂਰੇ ਤੌਰ ਨਾਲ ਜਾਣਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 5] ਤੂੰ ਮੈਨੂੰ ਅੱਗੋਂ ਪਿੱਛੋਂ ਘੇਰ ਰੱਖਿਆ ਹੈ, ਤੂੰ ਆਪਣਾ ਹੱਥ ਮੇਰੇ ਉੱਤੇ ਧਰਿਆ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 6] ਇਹ ਗਿਆਨ ਮੇਰੇ ਲਈ ਅਚਰਜ਼ ਹੈ, ਉਹ ਉੱਚਾ ਹੈ, ਮੈਂ ਉਹ ਦੇ ਜੋਗ ਨਹੀਂ!।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 7] ਮੈਂ ਤੇਰੇ ਆਤਮਾ ਤੋਂ ਕਿੱਧਰ ਜਾਂਵਾਂ, ਅਤੇ ਤੇਰੀ ਹਜ਼ੂਰੀ ਤੋਂ ਕਿੱਧਰ ਨੱਠਾਂ?
[IRV | PA | OT | Psalms | Chapter 139 | Verse 8] ਜੇ ਮੈਂ ਅਕਾਸ਼ ਉੱਤੇ ਚੜ੍ਹ ਜਾਂਵਾਂ, ਤੂੰ ਉੱਥੇ ਹੈਂ, ਜੇ ਮੈਂ ਪਤਾਲ ਵਿੱਚ ਬਿਸਤਰਾ ਵਿਛਾਵਾਂ, ਵੇਖ, ਤੂੰ ਉੱਥੇ ਹੈਂ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 9] ਜੇ ਮੈਂ ਫਜ਼ਰ ਦੇ ਖੰਭ ਲਾ ਲਵਾਂ, ਅਤੇ ਸਮੁੰਦਰ ਦੇ ਆਖਿਰ ਵਿੱਚ ਜਾ ਵੱਸਾਂ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 10] ਉੱਥੇ ਵੀ ਤੇਰਾ ਹੱਥ ਮੇਰੀ ਅਗਵਾਈ ਕਰੇਗਾ, ਅਤੇ ਤੇਰਾ ਸੱਜਾ ਹੱਥ ਮੈਨੂੰ ਫੜ ਲਵੇਗਾ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 11] ਜੇ ਮੈਂ ਆਖਾਂ ਕਿ ਅਨ੍ਹੇਰਾ ਮੈਨੂੰ ਜ਼ਰੂਰ ਢੱਕ ਲਵੇਗਾ, ਅਤੇ ਮੇਰੇ ਇਰਦ-ਗਿਰਦ ਦਾ ਚਾਨਣ ਰਾਤ ਹੋ ਜਾਵੇਗਾ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 12] ਫੇਰ ਵੀ ਅਨ੍ਹੇਰਾ ਤੈਥੋਂ ਨਾ ਛਿਪਾਵੇਗਾ, ਅਤੇ ਰਾਤ-ਦਿਨ ਵਾਂਗੂੰ ਚਮਕੇਗੀ, ਸੋ ਅਨ੍ਹੇਰਾ ਤੇ ਚਾਨਣ ਇੱਕੋ ਜਿਹੇ ਹਨ!।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 13] ਤੂੰ ਤਾਂ ਮੇਰੇ ਅੰਦਰਲੇ ਅੰਗ ਰਚੇ, ਤੂੰ ਮੇਰੀ ਮਾਂ ਦੀ ਕੁੱਖ ਵਿੱਚ ਮੈਨੂੰ ਢੱਕਿਆ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 14] ਮੈਂ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ, ਕਿਉਂ ਜੋ ਮੈਂ ਭਿਆਨਕ ਰੀਤੀ ਤੇ ਅਚਰਜ਼ ਹਾਂ, ਤੇਰੇ ਕੰਮ ਅਚਰਜ਼ ਹਨ, ਅਤੇ ਮੈਂ ਇਸ ਨੂੰ ਖੂਬ ਜਾਣਦਾ ਹਾਂ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 15] ਮੇਰੀਆਂ ਹੱਡੀਆਂ ਤੈਥੋਂ ਲੁੱਕੀਆਂ ਨਹੀਂ ਸਨ, ਜਦ ਮੈਂ ਗੁਪਤ ਵਿੱਚ ਬਣਾਇਆ ਜਾਂਦਾ, ਅਤੇ ਧਰਤੀ ਦਿਆਂ ਹੇਠਲਿਆਂ ਥਾਵਾਂ ਵਿੱਚ ਮੇਰਾ ਰਸੀਦਾ ਕੱਢੀਦਾ ਸੀ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 16] ਤੇਰੀਆਂ ਅੱਖਾਂ ਨੇ ਮੇਰੇ ਬੇਡੌਲ ਮਲਬੇ ਨੂੰ ਵੇਖਿਆ, ਅਤੇ ਤੇਰੀ ਪੋਥੀ ਵਿੱਚ ਸਭ ਲਿਖੇ ਗਏ, ਦਿਨ ਮਿਥੇ ਗਏ, ਜਦ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਵੀ ਨਹੀਂ ਸੀ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 17] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਤੇਰੇ ਵਿਚਾਰ ਮੇਰੇ ਲਈ ਕੇਡੇ ਬਹੁਮੁੱਲੇ ਹਨ, ਉਨ੍ਹਾਂ ਦਾ ਜੋੜ ਕੇਡਾ ਵੱਡਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 18] ਜੇ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਗਿਣਾ, ਓਹ ਰੇਤ ਦੇ ਦਾਣਿਆਂ ਨਾਲੋਂ ਵੀ ਵੱਧ ਹਨ, ਜਦ ਮੈਂ ਜਾਗ ਉੱਠਦਾ ਹਾਂ, ਮੈਂ ਤੇਰੇ ਨਾਲ ਹੁੰਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 19] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਜ਼ਰੂਰ ਦੁਸ਼ਟਾਂ ਨੂੰ ਵੱਢ ਸੁੱਟੇਂਗਾ, ਹੇ ਖੂਨੀਓ, ਮੈਥੋਂ ਦੂਰ ਹੋ ਜਾਓ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 20] ਜਿਹੜੇ ਤੇਰੇ ਵਿਖੇ ਬੁਰੀ ਚਰਚਾ ਕਰਦੇ ਹਨ, ਓਹ ਤੇਰੇ ਵੈਰੀ ਆਪਣੇ ਆਪ ਨੂੰ ਵਿਅਰਥ ਉੱਚਾ ਕਰਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 139 | Verse 21] ਹੇ ਯਹੋਵਾਹ, ਕੀ ਮੈਂ ਤੇਰੇ ਵੈਰੀਆਂ ਨਾਲ ਵੈਰ ਨਹੀਂ ਰੱਖਦਾ? ਅਤੇ ਤੇਰੇ ਵਿਰੋਧੀਆਂ ਤੋਂ ਗਰੰਜ ਨਹੀਂ ਹੁੰਦਾ?
[IRV | PA | OT | Psalms | Chapter 139 | Verse 22] ਮੈਂ ਉਨ੍ਹਾਂ ਨਾਲ ਪੂਰਾ ਪੂਰਾ ਵੈਰ ਰੱਖਦਾ ਹਾਂ, ਓਹ ਮੇਰੇ ਵੈਰੀ ਹੋ ਗਏ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 139 | Verse 23] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਨੂੰ ਪਰਖ ਅਤੇ ਮੇਰੇ ਦਿਲ ਨੂੰ ਜਾਣ, ਮੈਨੂੰ ਜਾਚ ਅਤੇ ਮੇਰੇ ਖਿਆਲਾਂ ਨੂੰ ਜਾਣ,
[IRV | PA | OT | Psalms | Chapter 139 | Verse 24] ਅਤੇ ਵੇਖ ਕਿਤੇ ਮੇਰੇ ਵਿੱਚ ਕੋਈ ਭੈੜੀ ਚਾਲ ਤਾਂ ਨਹੀਂ? ਅਤੇ ਸਦੀਪਕ ਰਾਹ ਵਿੱਚ ਮੇਰੀ ਅਗਵਾਈ ਕਰ!
