[IRV | PA | OT | Psalms | Chapter 90 | Verse 1] ਹੇ ਪ੍ਰਭੂ, ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ, ਤੂੰ ਹੀ ਸਾਡੀ ਵੱਸੋਂ ਰਿਹਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 2] ਉਸ ਤੋਂ ਪਹਿਲਾਂ ਕਿ ਪਰਬਤ ਉਤਪਤ ਹੋਏ, ਅਤੇ ਧਰਤੀ ਅਤੇ ਜਗਤ ਨੂੰ ਤੂੰ ਰਚਿਆ, ਆਦ ਤੋਂ ਅੰਤ ਤੱਕ ਤੂੰ ਹੀ ਪਰਮੇਸ਼ੁਰ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 3] ਤੂੰ ਇਨਸਾਨ ਨੂੰ ਖਾਕ ਵੱਲ ਮੋੜ ਦਿੰਦਾ ਹੈਂ, ਅਤੇ ਫਰਮਾਉਂਦਾ ਹੈਂ, ਹੇ ਆਦਮ ਵੰਸ਼ੀਓ, ਮੁੜੋ!
[IRV | PA | OT | Psalms | Chapter 90 | Verse 4] ਤੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਤਾਂ ਹਜ਼ਾਰ ਵਰ੍ਹੇ ਕੱਲ ਦੇ ਦਿਨ ਵਰਗੇ ਜਦ ਕਿ ਉਹ ਬੀਤ ਜਾਵੇ, ਅਤੇ ਇੱਕ ਪਹਿਰ ਰਾਤ ਵਰਗੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 5] ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਹੜ੍ਹ ਨਾਲ ਹੂੰਝ ਲੈ ਜਾਂਦਾ ਹੈਂ, ਓਹ ਨੀਂਦ ਵਰਗੇ ਹਨ, ਸਵੇਰ ਨੂੰ ਓਹ ਉਸ ਘਾਹ ਹਨ ਜਿਹੜਾ ਪੁੰਗਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 6] ਸਵੇਰ ਨੂੰ ਉਹ ਲਹਿ ਲਹਿ ਕਰਦਾ ਅਤੇ ਵਧਦਾ ਹੈ, ਸੰਝ ਨੂੰ ਵੱਢਿਆ ਜਾਂਦਾ ਅਤੇ ਸੁੱਕ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 7] ਅਸੀਂ ਤਾਂ ਤੇਰੇ ਗੁੱਸੇ ਨਾਲ ਮੁੱਕ ਜਾਂਦੇ, ਅਤੇ ਤੇਰੇ ਕਹਿਰ ਨਾਲ ਘਬਰਾ ਜਾਂਦੇ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 8] ਤੂੰ ਸਾਡੀਆਂ ਬਦੀਆਂ ਨੂੰ ਆਪਣੇ ਅੱਗੇ, ਅਤੇ ਸਾਡੇ ਲੁਕੇ ਹੋਏ ਪਾਪਾਂ ਨੂੰ ਆਪਣੇ ਚਿਹਰੇ ਦੇ ਚਾਨਣ ਵਿੱਚ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 9] ਸਾਡੇ ਸਾਰੇ ਦਿਹਾੜੇ ਤਾਂ ਕਹਿਰ ਵਿੱਚ ਬੀਤਦੇ ਹਨ, ਅਸੀਂ ਆਪਣੇ ਵਰ੍ਹਿਆਂ ਨੂੰ ਇੱਕ ਸਾਹ ਵਾਂਗੂੰ ਮੁਕਾਉਂਦੇ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 10] ਸਾਡੀ ਉਮਰ ਦੇ ਦਿਨ ਸੱਤਰ ਵਰ੍ਹੇ ਹਨ, ਪਰ ਜੇ ਸਾਹ ਸੱਚ ਹੋਵੇ ਤਾਂ ਅੱਸੀ ਵਰ੍ਹੇ, ਪਰ ਉਨ੍ਹਾਂ ਦਾ ਬਲ ਕਸ਼ਟ ਅਤੇ ਸੋਗ ਹੀ ਹੈ, ਉਹ ਛੇਤੀ ਬੀਤ ਜਾਂਦੇ ਹਨ ਅਤੇ ਅਸੀਂ ਉਡਾਰੀ ਮਾਰ ਜਾਂਦੇ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 90 | Verse 11] ਤੇਰੇ ਗੁੱਸੇ ਦੇ ਜ਼ੋਰ ਨੂੰ ਅਤੇ ਤੇਰੇ ਕਹਿਰ ਨੂੰ ਤੇਰੇ ਭੈਅ ਅਨੁਸਾਰ ਕੌਣ ਜਾਣਦਾ ਹੈ?
