[IRV | PA | OT | Psalms | Chapter 84 | Verse 1] ਹੇ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ, ਤੇਰੇ ਡੇਰੇ ਕਿਹੇ ਪ੍ਰੇਮ ਰੱਤੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 84 | Verse 2] ਮੇਰਾ ਜੀਅ ਯਹੋਵਾਹ ਦੀਆਂ ਦਰਗਾਹਾਂ ਲਈ ਤਰਸਦਾ ਸਗੋਂ ਖੁੱਸਦਾ ਜਾਂਦਾ ਹੈ, ਮੇਰਾ ਤਨ-ਮਨ ਜਿਉਂਦੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਜੈਕਾਰਾ ਗਜਾਉਂਦਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 84 | Verse 3] ਹੇ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ, ਮੇਰੇ ਪਾਤਸ਼ਾਹ ਅਤੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਤੇਰੀਆਂ ਜਗਵੇਦੀਆਂ ਵਿੱਚ ਚਿੜ੍ਹੀ ਨੇ ਆਪਣੇ ਲਈ ਘਰ ਅਤੇ ਬਾਲਕਟਾਰੇ ਨੇ ਆਪਣੇ ਬੋਟਾਂ ਨੂੰ ਰੱਖਣ ਲਈ ਆਲ੍ਹਣਾ ਪਾਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 4] ਧੰਨ ਓਹ ਹਨ ਜਿਹੜੇ ਭਵਨ ਵਿੱਚ ਵੱਸਦੇ ਹਨ, ਓਹ ਨਿੱਤ ਤੇਰੀ ਉਸਤਤ ਕਰਨਗੇ! ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 5] ਧੰਨ ਓਹ ਆਦਮੀ ਹੈ ਜਿਹ ਦਾ ਬਲ ਤੇਰੀ ਵੱਲੋਂ ਹੈ, ਜਿਹ ਦੇ ਮਨ ਵਿੱਚ ਤੇਰੇ ਮਾਰਗ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 84 | Verse 6] ਓਹ ਬਾਕਾ ਦੀ ਵਾਦੀ ਦੇ ਵਿੱਚ ਦੀ ਲੰਘਦਿਆਂ, ਉੱਥੇ ਪਾਣੀ ਦੇ ਚਸ਼ਮੇ ਵਗਾ ਦਿੰਦੇ ਹਨ, ਸਗੋਂ ਪਹਿਲਾਂ ਮੀਂਹ ਉਸ ਨੂੰ ਬਰਕਤਾਂ ਨਾਲ ਢੱਕ ਲੈਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 7] ਓਹ ਬਲ ਤੇ ਬਲ ਪਾਉਂਦੇ ਚਲੇ ਜਾਂਦੇ ਹਨ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਹਰੇਕ ਸੀਯੋਨ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਅੱਗੇ ਵਿਖਾਈ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 8] ਹੇ ਯਹੋਵਾਹ ਸੈਨਾਂ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੀ ਬੇਨਤੀ ਸੁਣ, ਹੇ ਯਾਕੂਬ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਆਪਣਾ ਕੰਨ ਲਾ! ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 9] ਹੇ ਸਾਡੀ ਢਾਲ਼, ਵੇਖ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਆਪਣੇ ਮਸੀਹ ਦੇ ਮੁੱਖੜੇ ਵੱਲ ਧਿਆਨ ਕਰ!
[IRV | PA | OT | Psalms | Chapter 84 | Verse 10] ਤੇਰੀ ਦਰਗਾਹ ਵਿੱਚ ਤਾਂ ਇੱਕ ਦਿਨ ਹਜ਼ਾਰ ਦਿਨਾਂ ਨਾਲੋਂ ਚੰਗਾ ਹੈ, ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਦਾ ਰਾਖ਼ਾ ਬਣਨਾ ਦੁਸ਼ਟਾਂ ਦੇ ਤੰਬੂ ਵਿੱਚ ਵੱਸਣ ਨਾਲੋਂ ਪਸੰਦ ਕਰਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 11] ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਇੱਕ ਸੂਰਜ ਤੇ ਇੱਕ ਢਾਲ਼ ਹੈ, ਯਹੋਵਾਹ ਦਯਾ ਅਤੇ ਤੇਜ ਦੇਵੇਗਾ, ਉਹ ਸਿਧਿਆਈ ਵਿੱਚ ਚੱਲਣ ਵਾਲਿਆਂ ਤੋਂ ਕੋਈ ਚੰਗੀ ਚੀਜ਼ ਨਹੀਂ ਰੋਕੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 84 | Verse 12] ਹੇ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ, ਧੰਨ ਹੈ ਉਹ ਆਦਮੀ ਜਿਹੜਾ ਤੇਰੇ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਦਾ ਹੈ!
