[IRV | PA | OT | Psalms | Chapter 140 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਬੁਰੇ ਆਦਮੀ ਤੋਂ ਛੁਡਾ, ਜ਼ਾਲਮ ਮਨੁੱਖ ਤੋਂ ਮੇਰੀ ਰਾਖੀ ਕਰ,
[IRV | PA | OT | Psalms | Chapter 140 | Verse 2] ਜਿਹੜੇ ਆਪਣੇ ਦਿਲਾਂ ਵਿੱਚ ਬੁਰੇ ਉਪੱਦਰ ਸੋਚਦੇ ਹਨ, ਅਤੇ ਸਾਰਾ ਦਿਨ ਲੜਾਈਆਂ ਛੇੜਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 3] ਉਨ੍ਹਾਂ ਨੇ ਨਾਗ ਵਾਂਗੂੰ ਆਪਣੀਆਂ ਜੀਭਾਂ ਨੂੰ ਤਿੱਖਿਆਂ ਕੀਤਾ, ਸੱਪਾਂ ਦੀ ਵਿੱਸ ਉਨ੍ਹਾਂ ਦੇ ਬੁੱਲ੍ਹਾਂ ਦੇ ਹੇਠ ਹੈ!।
[IRV | PA | OT | Psalms | Chapter 140 | Verse 4] ਹੇ ਯਹੋਵਾਹ, ਦੁਸ਼ਟ ਦੇ ਹੱਥੋਂ ਮੈਨੂੰ ਸਾਂਭ, ਜ਼ਾਲਮ ਮਨੁੱਖ ਤੋਂ ਮੇਰੀ ਰਾਖੀ ਕਰ, ਜਿਨ੍ਹਾਂ ਨੇ ਮੇਰੇ ਪੈਰਾਂ ਦੇ ਔਕੜਨ ਦੀ ਜੁਗਤੀ ਕੀਤੀ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 5] ਹੰਕਾਰੀਆਂ ਨੇ ਮੇਰੇ ਲਈ ਫੰਦਾ ਤੇ ਰੱਸੀਆਂ ਲੁਕਾ ਛੱਡੀਆਂ ਹਨ, ਉਨ੍ਹਾਂ ਨੇ ਰਾਹ ਦੇ ਲਾਗੇ ਜਾਲ਼ ਵਿਛਾਇਆ, ਉਨ੍ਹਾਂ ਨੇ ਮੇਰੇ ਲਈ ਫੰਦੇ ਲਾਏ ਹਨ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 140 | Verse 6] ਮੈਂ ਯਹੋਵਾਹ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰਾ ਪਰਮੇਸ਼ੁਰ ਹੈਂ, ਹੇ ਯਹੋਵਾਹ, ਮੇਰੀਆਂ ਅਰਜੋਈਆਂ ਦੀ ਅਵਾਜ਼ ਉੱਤੇ ਕੰਨ ਲਾ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 7] ਹੇ ਪ੍ਰਭੂ, ਮੇਰੇ ਬਲਵਾਨ ਬਚਾਓ, ਰਣ ਦੇ ਦਿਨ ਮੈਂ ਸਿਰ ਨੂੰ ਬਚਾਏ ਰੱਖਦਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 8] ਹੇ ਯਹੋਵਾਹ, ਦੁਸ਼ਟਾਂ ਦੀਆਂ ਇੱਛਿਆਂ ਪੂਰੀਆਂ ਨਾ ਕਰ, ਉਹ ਦੇ ਉਪੱਦਰਾਂ ਨੂੰ ਤਰੱਕੀ ਨਾ ਦੇ, ਓਹ ਘਮੰਡ ਨਾ ਕਰਨ!। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 140 | Verse 9] ਜਿਹੜੇ ਮੇਰੇ ਆਲੇ-ਦੁਆਲੇ ਹਨ, ਉਨ੍ਹਾਂ ਦੇ ਬੁੱਲ੍ਹਾਂ ਦੀ ਸ਼ਰਾਰਤ ਉਨ੍ਹਾਂ ਦੇ ਹੀ ਸਿਰ ਤੇ ਪਵੇ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 10] ਉਨ੍ਹਾਂ ਉੱਤੇ ਅੰਗਿਆਰੇ ਪਾਏ ਜਾਣ, ਓਹ ਅੱਗ ਵਿੱਚ ਸੁੱਟੇ ਜਾਣ, ਅਤੇ ਡੂੰਘੇ ਟੋਇਆਂ ਵਿੱਚ ਕਿ ਫੇਰ ਨਾ ਉੱਠਣ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 11] ਬਕਵਾਦੀ ਧਰਤੀ ਉੱਤੇ ਕਾਇਮ ਨਾ ਰਹੇ, ਬੁਰਿਆਈ ਉਹ ਦੇ ਢਾਉਣ ਨੂੰ ਜ਼ਾਲਮ ਦਾ ਹੀ ਸ਼ਿਕਾਰ ਕਰੇ!
[IRV | PA | OT | Psalms | Chapter 140 | Verse 12] ਮੈਂ ਜਾਣਦਾ ਹਾਂ ਕਿ ਯਹੋਵਾਹ ਮਸਕੀਨ ਦਾ ਹੱਕ, ਅਤੇ ਕੰਗਾਲ ਦਾ ਨਿਆਂ ਪੂਰਾ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 140 | Verse 13] ਧਰਮੀ ਤੇਰੇ ਨਾਮ ਦਾ ਧੰਨਵਾਦ ਸੱਚ-ਮੁੱਚ ਕਰਨਗੇ, ਸਚਿਆਰ ਤੇਰੇ ਹਜ਼ੂਰ ਵੱਸਣਗੇ।
