[IRV | PA | OT | Psalms | Chapter 27 | Verse 1] ਯਹੋਵਾਹ ਮੇਰਾ ਚਾਨਣ ਅਤੇ ਮੇਰਾ ਬਚਾਓ ਹੈ, ਮੈਂ ਕਿਸ ਤੋਂ ਡਰਾਂ? ਯਹੋਵਾਹ ਮੇਰੇ ਜੀਉਣ ਦਾ ਗੜ੍ਹ ਹੈ, ਮੈਂ ਕਿਸ ਦਾ ਭੈਅ ਖਾਵਾਂ?
[IRV | PA | OT | Psalms | Chapter 27 | Verse 2] ਜਦ ਬੁਰਿਆਰ ਅਰਥਾਤ ਮੇਰੇ ਵਿਰੋਧੀ ਅਤੇ ਵੈਰੀ ਮੇਰਾ ਮਾਸ ਖਾਣ ਨੂੰ ਨੇੜੇ ਆਏ, ਤਾਂ ਓਹ ਠੇਡਾ ਖਾ ਕੇ ਡਿੱਗ ਪਏ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 3] ਭਾਵੇਂ ਇੱਕ ਦਲ ਮੇਰੇ ਵਿਰੁੱਧ ਡੇਰਾ ਲਾ ਲਵੇ, ਤਾਂ ਵੀ ਮੇਰਾ ਦਿਲ ਨਾ ਡਰੇਗਾ। ਭਾਵੇਂ ਮੇਰੇ ਵਿਰੁੱਧ ਯੁੱਧ ਉੱਠੇ, ਇਸ ਵਿੱਚ ਵੀ ਮੈਂ ਆਸਵੰਤ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 4] ਮੈਂ ਯਹੋਵਾਹ ਤੋਂ ਇੱਕ ਗੱਲ ਮੰਗੀ ਹੈ ਅਤੇ ਮੈਂ ਉਹੀ ਭਾਲਾਂਗਾ, ਕਿ ਮੈਂ ਜੀਉਣ ਭਰ ਯਹੋਵਾਹ ਦੇ ਘਰ ਵੱਸਾਂ, ਤਾਂ ਜੋ ਮੈਂ ਯਹੋਵਾਹ ਦੀ ਮਨੋਹਰਤਾ ਨੂੰ ਤੱਕਾਂ, ਅਤੇ ਉਹ ਦੀ ਹੈਕਲ ਵਿੱਚ ਧਿਆਨ ਕਰਾਂ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 5] ਬਿਪਤਾ ਦੇ ਦਿਨ ਉਹ ਤਾਂ ਮੈਨੂੰ ਆਪਣੇ ਮੰਡਪ ਵਿੱਚ ਲੁਕਾਵੇਗਾ, ਅਤੇ ਆਪਣੇ ਤੰਬੂ ਦੇ ਪਰਦੇ ਵਿੱਚ ਮੈਨੂੰ ਛਿਪਾਵੇਗਾ, ਉਹ ਮੈਨੂੰ ਚੱਟਾਨ ਤੇ ਉੱਚਾ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 6] ਹੁਣ ਮੇਰਾ ਸਿਰ ਮੇਰੇ ਆਲੇ-ਦੁਆਲੇ ਦੇ ਵੈਰੀਆਂ ਦੇ ਉੱਤੇ ਉੱਚਾ ਕੀਤਾ ਜਾਵੇਗਾ, ਅਤੇ ਉਹ ਦੇ ਤੰਬੂ ਵਿੱਚ ਮੈਂ ਜੈ-ਜੈਕਾਰ ਦੇ ਚੜਾਵੇ ਚੜ੍ਹਾਵਾਂਗਾ, ਮੈਂ ਗਾਵਾਂਗਾ, ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਜ਼ਬੂਰ ਗਾਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 7] ਹੇ ਯਹੋਵਾਹ, ਮੇਰੀ ਪੁਕਾਰ ਦੀ ਅਵਾਜ਼ ਸੁਣ, ਮੇਰੇ ਉੱਤੇ ਦਯਾ ਕਰ ਅਤੇ ਮੈਨੂੰ ਉੱਤਰ ਦੇ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 8] “ਮੇਰੇ ਦਰਸ਼ਣ ਦੀ ਖੋਜ ਕਰੋ,” ਤਾਂ ਮੇਰੇ ਮਨ ਨੇ ਤੈਨੂੰ ਆਖਿਆ, ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਤੇਰੇ ਦਰਸ਼ਣ ਦੀ ਖੋਜ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 9] ਆਪਣਾ ਮੁੱਖ ਮੇਰੇ ਤੋਂ ਨਾ ਲੁਕਾ, ਆਪਣੇ ਦਾਸ ਨੂੰ ਕ੍ਰੋਧ ਨਾਲ ਦੂਰ ਨਾ ਕਰ, ਤੂੰ ਮੇਰਾ ਸਹਾਇਕ ਰਿਹਾ ਹੈਂ, ਨਾ ਮੈਨੂੰ ਛੱਡ, ਨਾ ਮੈਨੂੰ ਤਿਆਗ, ਹੇ ਮੇਰੇ ਮੁਕਤੀ ਦੇ ਪਰਮੇਸ਼ੁਰ!
[IRV | PA | OT | Psalms | Chapter 27 | Verse 10] ਜਦ ਮੇਰੇ ਮਾਤਾ-ਪਿਤਾ ਮੈਨੂੰ ਤਿਆਗ ਦੇਣ, ਤਦ ਯਹੋਵਾਹ ਮੈਨੂੰ ਸੰਭਾਲੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 27 | Verse 11] ਹੇ ਯਹੋਵਾਹ, ਆਪਣਾ ਰਾਹ ਮੈਨੂੰ ਸਿਖਾ, ਅਤੇ ਮੇਰੇ ਘਾਤੀਆਂ ਦੇ ਕਾਰਨ ਸਿੱਧੇ ਰਾਹ ਉੱਤੇ ਮੇਰੀ ਅਗਵਾਈ ਕਰ।
