[IRV | PA | OT | Psalms | Chapter 96 | Verse 1] ਯਹੋਵਾਹ ਲਈ ਇੱਕ ਨਵਾਂ ਗੀਤ ਲਈ ਗਾਓ, ਹੇ ਸਾਰੀ ਸਰਿਸ਼ਟੀ, ਯਹੋਵਾਹ ਲਈ ਗਾਓ!
[IRV | PA | OT | Psalms | Chapter 96 | Verse 2] ਯਹੋਵਾਹ ਲਈ ਗਾਓ, ਉਹ ਦੇ ਨਾਮ ਨੂੰ ਮੁਬਾਰਕ ਆਖੋ, ਉਹ ਦੀ ਮੁਕਤੀ ਦਾ ਦਿਨੋਂ-ਦਿਨ ਪਰਚਾਰ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 96 | Verse 3] ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਉਹ ਦੇ ਪਰਤਾਪ ਦਾ, ਅਤੇ ਸਾਰੇ ਲੋਕਾਂ ਵਿੱਚ ਉਹ ਦੇ ਅਚਰਜ਼ ਕੰਮਾਂ ਦਾ ਵਰਣਨ ਕਰੋ।
[IRV | PA | OT | Psalms | Chapter 96 | Verse 4] ਯਹੋਵਾਹ ਤਾਂ ਮਹਾਨ ਹੈ ਅਤੇ ਅੱਤ ਉਸਤਤ ਜੋਗ ਵੀ, ਸਾਰੇ ਦੇਵਤਿਆਂ ਨਾਲੋਂ ਉਹ ਭੈਅ ਦਾਇਕ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 96 | Verse 5] ਲੋਕਾਂ ਦੇ ਸਾਰੇ ਦੇਵਤੇ ਤਾਂ ਬੁੱਤ ਹੀ ਹਨ, ਪਰ ਯਹੋਵਾਹ ਨੇ ਅਕਾਸ਼ ਬਣਾਏ।
[IRV | PA | OT | Psalms | Chapter 96 | Verse 6] ਮਾਣ ਅਤੇ ਉਪਮਾ ਉਹ ਦੇ ਹਜ਼ੂਰ ਹਨ, ਸਮਰੱਥਾ ਅਤੇ ਸੁਹੱਪਣ ਉਹ ਦੇ ਪਵਿੱਤਰ ਭਵਨ ਵਿੱਚ।
[IRV | PA | OT | Psalms | Chapter 96 | Verse 7] ਹੇ ਲੋਕਾਂ ਦੇ ਕੁਲੋ, ਯਹੋਵਾਹ ਨੂੰ ਮੰਨੋ, ਹਾਂ, ਪਰਤਾਪ ਅਤੇ ਸਮਰੱਥਾ ਯਹੋਵਾਹ ਦੀ ਮੰਨੋ,
[IRV | PA | OT | Psalms | Chapter 96 | Verse 8] ਪਰਤਾਪ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦਾ ਮੰਨੋ, ਨਜ਼ਰਾਨਾ ਲੈ ਕੇ ਉਹ ਦੇ ਦਰਬਾਰ ਵਿੱਚ ਆਓ!
[IRV | PA | OT | Psalms | Chapter 96 | Verse 9] ਯਹੋਵਾਹ ਨੂੰ ਪਵਿੱਤਰ ਬਸਤਰ ਵਿੱਚ ਮੱਥਾ ਟੇਕੋ। ਹੇ ਸਾਰੀ ਸਰਿਸ਼ਟੀ, ਉਹ ਦੇ ਸਨਮੁਖ ਥਰ-ਥਰ ਕਰੋ!
[IRV | PA | OT | Psalms | Chapter 96 | Verse 10] ਕੌਮਾਂ ਵਿੱਚ ਆਖੋ ਕਿ ਯਹੋਵਾਹ ਰਾਜ ਕਰਦਾ ਹੈ, ਇਸੇ ਲਈ ਜਗਤ ਕਾਇਮ ਹੈ ਕਿ ਉਹ ਨਾ ਹਿੱਲੇ, ਉਹ ਲੋਕਾਂ ਦਾ ਇਨਸਾਫ਼ ਨਾਲ ਨਿਆਂ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 96 | Verse 11] ਅਕਾਸ਼ ਅਨੰਦ ਹੋਵੇ ਅਤੇ ਧਰਤੀ ਖੁਸ਼ੀ ਮਨਾਵੇ, ਸਮੁੰਦਰ ਤੇ ਉਹ ਦੀ ਭਰਪੂਰੀ ਗਰਜੇ,
[IRV | PA | OT | Psalms | Chapter 96 | Verse 12] ਮੈਦਾਨ ਅਤੇ ਜੋ ਕੁਝ ਉਹ ਦੇ ਵਿੱਚ ਹੈ ਬਾਗ-ਬਾਗ ਹੋਵੇ! ਫੇਰ ਜੰਗਲ ਦੇ ਸਾਰੇ ਬਿਰਛ ਜੈਕਾਰਾ ਗਜਾਉਣਗੇ,
[IRV | PA | OT | Psalms | Chapter 96 | Verse 13] ਯਹੋਵਾਹ ਦੇ ਹਜ਼ੂਰ, ਕਿਉਂ ਜੋ ਉਹ ਆ ਰਿਹਾ ਹੈ, ਉਹ ਧਰਤੀ ਦਾ ਨਿਆਂ ਕਰਨ ਲਈ ਆ ਰਿਹਾ ਹੈ, ਉਹ ਜਗਤ ਦਾ ਧਰਮ ਨਾਲ, ਅਤੇ ਲੋਕਾਂ ਦਾ ਆਪਣੀ ਸਚਿਆਈ ਨਾਲ ਨਿਆਂ ਕਰੇਗਾ।
