[IRV | PA | OT | Psalms | Chapter 115 | Verse 1] ਸਾਨੂੰ ਨਹੀਂ, ਹੇ ਯਹੋਵਾਹ, ਸਾਨੂੰ ਨਹੀਂ, ਸਗੋਂ ਆਪਣੇ ਹੀ ਨਾਮ ਨੂੰ ਆਪਣੀ ਦਯਾ ਤੇ ਸਚਿਆਈ ਦੇ ਕਾਰਨ ਵਡਿਆਈ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 115 | Verse 2] ਕੌਮਾਂ ਇਉਂ ਆਖਣ, ਉਨ੍ਹਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਕਿੱਥੇ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 115 | Verse 3] ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਸਵਰਗ ਵਿੱਚ ਹੈ, ਉਹ ਨੇ ਜੋ ਚਾਹਿਆ ਸੋ ਕੀਤਾ।
[IRV | PA | OT | Psalms | Chapter 115 | Verse 4] ਉਨ੍ਹਾਂ ਦੇ ਬੁੱਤ ਸੋਨਾ ਚਾਂਦੀ ਹੀ ਹਨ, ਓਹ ਇਨਸਾਨ ਦੇ ਹੱਥਾਂ ਦੀ ਬਣਾਵਟ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 115 | Verse 5] ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਤਾਂ ਹਨ ਪਰ ਬੋਲਦੇ ਨਹੀਂ, ਉਨ੍ਹਾਂ ਦੀਆਂ ਅੱਖਾਂ ਤਾਂ ਹਨ ਪਰ ਓਹ ਵੇਖਦੇ ਨਹੀਂ,
[IRV | PA | OT | Psalms | Chapter 115 | Verse 6] ਉਨ੍ਹਾਂ ਦੇ ਕੰਨ ਤਾਂ ਹਨ ਪਰ ਓਹ ਸੁਣਦੇ ਨਹੀਂ, ਉਨ੍ਹਾਂ ਦੇ ਨੱਕ ਤਾਂ ਹਨ ਪਰ ਓਹ ਸੁੰਘਦੇ ਨਹੀਂ,
[IRV | PA | OT | Psalms | Chapter 115 | Verse 7] ਉਨ੍ਹਾਂ ਦੇ ਹੱਥ ਵੀ ਹਨ ਪਰ ਓਹ ਫੜ੍ਹਦੇ ਨਹੀਂ, ਉਨ੍ਹਾਂ ਦੇ ਪੈਰ ਵੀ ਹਨ ਪਰ ਓਹ ਚੱਲਦੇ ਨਹੀਂ, ਨਾ ਓਹ ਆਪਣੇ ਸੰਘ ਤੋਂ ਹੁੰਗਾਰਾ ਭਰਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 115 | Verse 8] ਉਨ੍ਹਾਂ ਦੇ ਬਣਾਉਣ ਵਾਲੇ ਉਨ੍ਹਾਂ ਹੀ ਵਰਗੇ ਹੋਣਗੇ, ਨਾਲੇ ਓਹ ਸਾਰੇ ਜਿਹੜੇ ਉਨ੍ਹਾਂ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 115 | Verse 9] ਹੇ ਇਸਰਾਏਲ, ਯਹੋਵਾਹ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ! ਉਹ ਉਹਨਾਂ ਦਾ ਸਹਾਇਕ ਤੇ ਉਹਨਾਂ ਦੀ ਢਾਲ਼ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 115 | Verse 10] ਹੇ ਹਾਰੂਨ ਦੇ ਘਰਾਣੇ, ਯਹੋਵਾਹ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖ! ਉਹ ਉਹਨਾਂ ਦਾ ਸਹਾਇਕ ਤੇ ਉਹਨਾਂ ਦੀ ਢਾਲ਼ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 115 | Verse 11] ਹੇ ਯਹੋਵਾਹ ਤੋਂ ਡਰਨ ਵਾਲਿਓ, ਯਹੋਵਾਹ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖੋ! ਉਹ ਉਹਨਾਂ ਦਾ ਸਹਾਇਕ ਤੇ ਉਹਨਾਂ ਦੀ ਢਾਲ਼ ਹੈ।
