[IRV | PA | OT | Psalms | Chapter 10 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਦੂਰ ਕਿਉਂ ਖੜ੍ਹਾ ਰਹਿੰਦਾ ਹੈ? ਬਿਪਤਾ ਦੇ ਵੇਲੇ ਤੂੰ ਆਪਣੇ ਆਪ ਨੂੰ ਕਿਉਂ ਲੁਕਾਉਂਦਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 10 | Verse 2] ਦੁਸ਼ਟ ਆਪਣੇ ਹੰਕਾਰ ਵਿੱਚ ਮਸਕੀਨਾਂ ਦੇ ਪਿਛੇ ਪੈ ਜਾਂਦਾ ਹੈ, ਜਿਹੜੀਆਂ ਜੁਗਤਾਂ ਉਨ੍ਹਾਂ ਨੇ ਸੋਚੀਆਂ ਉਨ੍ਹਾਂ ਵਿੱਚ ਉਹ ਆਪ ਫਸ ਜਾਣ!
[IRV | PA | OT | Psalms | Chapter 10 | Verse 3] ਕਿਉਂ ਜੋ ਦੁਸ਼ਟ ਆਪਣੇ ਮਨ ਦੀਆਂ ਕਾਮਨਾਂ ਉੱਤੇ ਫੂੰ-ਫੂੰ ਕਰਦਾ ਹੈ, ਅਤੇ ਲੋਭੀ ਯਹੋਵਾਹ ਨੂੰ ਫਿਟਕਾਰਦਾ ਅਤੇ ਤੁੱਛ ਜਾਣਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 4] ਦੁਸ਼ਟ ਆਪਣੇ ਹੰਕਾਰ ਦੇ ਕਾਰਨ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਨਹੀਂ ਭਾਲੇਗਾ, ਉਸ ਦਾ ਵਿਚਾਰ ਇਹ ਹੈ ਕਿ ਪਰਮੇਸ਼ੁਰ ਹੈ ਹੀ ਨਹੀਂ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 5] ਉਸ ਦੀ ਚਾਲ ਹਰ ਵੇਲੇ ਸਥਿਰ ਹੁੰਦੀ ਹੈ ਤੇਰੇ ਨਿਆਂ ਉਸ ਦੀ ਸਮਝ ਤੋਂ ਉੱਚੇ ਹਨ, ਉਹ ਆਪਣੇ ਸਾਰੇ ਵਿਰੋਧੀਆਂ ਉੱਤੇ ਫੁੰਕਾਰੇ ਮਾਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 6] ਉਹ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਕਦੇ ਨਾ ਡੋਲਾਂਗਾ ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ ਮੈਂ ਦੁੱਖ ਵਿੱਚ ਨਾ ਡੋਲਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 7] ਉਹ ਦਾ ਮੂੰਹ ਸਰਾਪ, ਛਲ ਅਤੇ ਅਨ੍ਹੇਰ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ, ਉਹ ਦੀ ਜੀਭ ਦੇ ਹੇਠ ਸ਼ਰਾਰਤ ਅਤੇ ਬਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 8] ਉਹ ਪਿੰਡਾਂ ਦੇ ਓਹਲਿਆਂ ਵਿੱਚ ਬੈਠਦਾ ਹੈ, ਉਹ ਗੁਪਤ ਥਾਵਾਂ ਵਿੱਚ ਨਿਰਦੋਸ਼ਾਂ ਦਾ ਘਾਤ ਕਰਦਾ ਹੈ, ਉਹ ਦੀਆਂ ਅੱਖੀਆਂ ਅਨਾਥਾਂ ਦੀ ਤਾਕ ਵਿੱਚ ਲੱਗੀਆਂ ਹੋਈਆਂ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 9] ਜਿਵੇਂ ਬੱਬਰ ਸ਼ੇਰ ਆਪਣੇ ਘੁਰਨੇ ਵਿੱਚ, ਉਸੇ ਤਰ੍ਹਾਂ ਉਹ ਆਪਣੇ ਗੁਪਤ ਥਾਵਾਂ ਵਿੱਚ ਬੈਠਾ ਰਹਿੰਦਾ ਹੈ, ਉਹ ਮਸਕੀਨਾਂ ਨੂੰ ਫੜ੍ਹਨ ਲਈ ਛਹਿ ਵਿੱਚ ਬੈਠਦਾ ਹੈ, ਉਹ ਮਸਕੀਨ ਨੂੰ ਆਪਣੇ ਜਾਲ਼ ਵਿੱਚ ਫੜ੍ਹ ਲੈਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 10] ਉਹ ਦਾਬਾ ਮਾਰ ਕੇ ਝੁੱਕ ਜਾਂਦਾ ਹੈ, ਅਨਾਥ ਉਹ ਦੇ ਬਲ ਵਾਲੇ ਹੱਥਾਂ ਨਾਲ ਡਿੱਗ ਪੈਂਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 10 | Verse 11] ਉਸ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਿਆ ਹੈ ਜੋ ਪਰਮੇਸ਼ੁਰ ਭੁੱਲ ਗਿਆ ਹੈ, ਉਸ ਨੇ ਆਪਣਾ ਮੂੰਹ ਛਿਪਾਇਆ ਹੈ, ਉਹ ਕਦੀ ਵੀ ਨਾ ਵੇਖੇਗਾ।
