[IRV | PA | OT | Psalms | Chapter 32 | Verse 1] ਧੰਨ ਹੈ ਉਹ ਜਿਸ ਦਾ ਅਪਰਾਧ ਮਾਫ਼ ਹੋ ਗਿਆ, ਜਿਸ ਦਾ ਪਾਪ ਢੱਕਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 2] ਧੰਨ ਹੈ ਉਹ ਮਨੁੱਖ ਜਿਸ ਦੀ ਬਦੀ ਯਹੋਵਾਹ ਉਹ ਦੇ ਲੇਖੇ ਨਹੀਂ ਲਾਉਂਦਾ, ਅਤੇ ਜਿਸ ਦੇ ਆਤਮਾ ਵਿੱਚ ਕਪਟ ਨਹੀਂ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 3] ਜਦੋਂ ਮੈਂ ਚੁੱਪ ਰਿਹਾ ਮੇਰੀਆਂ ਹੱਡੀਆਂ ਸਾਰਾ ਦਿਨ ਹੂੰਗਣ ਨਾਲ ਗਲ਼ ਗਈਆਂ,
[IRV | PA | OT | Psalms | Chapter 32 | Verse 4] ਕਿਉਂ ਜੋ ਤੇਰਾ ਹੱਥ ਦਿਨ ਰਾਤ ਮੇਰੇ ਉੱਤੇ ਭਾਰਾ ਸੀ, ਮੇਰੀ ਤਰੀ ਗਰਮੀ ਦੀ ਔੜ ਵਿੱਚ ਬਦਲ ਗਈ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 5] ਮੈਂ ਤੇਰੇ ਅੱਗੇ ਆਪਣੇ ਪਾਪ ਦਾ ਇਕਰਾਰ ਕੀਤਾ, ਅਤੇ ਆਪਣੀ ਬਦੀ ਨਹੀਂ ਲੁਕਾਈ। ਮੈਂ ਆਖਿਆ ਕਿ ਮੈਂ ਆਪਣੇ ਅਪਰਾਧਾਂ ਨੂੰ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਮੰਨ ਲਵਾਂਗਾ, ਤਾਂ ਤੂੰ ਆਪ ਮੇਰੇ ਪਾਪ ਦੀ ਬਦੀ ਨੂੰ ਚੁੱਕ ਲਿਆ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 6] ਇਸ ਕਰਕੇ ਹਰ ਇੱਕ ਸੰਤ ਦੁੱਖ ਦੇ ਵੇਲੇ ਤੇਰੇ ਅੱਗੇ ਪ੍ਰਾਰਥਨਾ ਕਰੇ, ਸੱਚ-ਮੁੱਚ ਜਦ ਵੱਡੇ ਪਾਣੀਆਂ ਦੇ ਹੜ੍ਹ ਆਉਣ, ਤਾਂ ਓਹ ਉਸ ਤੱਕ ਕਦੇ ਨਹੀਂ ਪਹੁੰਚਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 7] ਤੂੰ ਮੇਰੇ ਲੁੱਕਣ ਦਾ ਥਾਂ ਹੈਂ, ਤੂੰ ਮੈਨੂੰ ਤੰਗੀ ਤੋਂ ਬਚਾ ਰੱਖੇਂਗਾ, ਤੂੰ ਮੈਨੂੰ ਛੁਟਕਾਰੇ ਦੇ ਗੀਤਾਂ ਨਾਲ ਘੇਰੇਂਗਾ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 8] ਮੈਂ ਤੈਨੂੰ ਸਮਝ ਦੇਵਾਂਗਾ, ਅਤੇ ਜਿਸ ਰਾਹ ਉੱਤੇ ਤੂੰ ਚੱਲਣਾ ਹੈ ਤੈਨੂੰ ਸਿਖਾਵਾਂਗਾ, ਤੇਰੇ ਉੱਤੇ ਨਿਗਾਹ ਰੱਖ ਕੇ ਤੈਨੂੰ ਸਲਾਹ ਦਿਆਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 9] ਤੁਸੀਂ ਘੋੜੇ ਅਤੇ ਖੱਚਰ ਵਰਗੇ ਨਾ ਹੋਣਾ ਜਿਹੜੇ ਬੇਸਮਝ ਹਨ, ਲਗਾਮ ਅਤੇ ਵਾਗ ਨਾਲ ਉਨ੍ਹਾਂ ਨੂੰ ਕਾਬੂ ਰੱਖੀਦਾ ਹੈ, ਨਹੀਂ ਤਾਂ ਓਹ ਤੇਰੇ ਨੇੜੇ ਨਾ ਆਉਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 10] ਦੁਸ਼ਟ ਉੱਤੇ ਬਹੁਤ ਸਾਰੀਆਂ ਬਿਪਤਾਵਾਂ ਆਉਂਦੀਆਂ ਹਨ, ਪਰ ਜਿਹੜਾ ਯਹੋਵਾਹ ਤੇ ਭਰੋਸਾ ਕਰਦਾ ਹੈ ਦਯਾ ਉਸ ਨੂੰ ਘੇਰੀਂ ਰੱਖੇਗੀ।
[IRV | PA | OT | Psalms | Chapter 32 | Verse 11] ਹੇ ਧਰਮੀਓ, ਯਹੋਵਾਹ ਵਿੱਚ ਅਨੰਦ ਹੋਵੋ ਅਤੇ ਖੁਸ਼ੀ ਮਨਾਓ, ਹੇ ਸਾਰੇ ਸਿੱਧੇ ਦਿਲ ਵਾਲਿਓ, ਜੈਕਾਰਾ ਗਜਾਓ!
