[IRV | PA | OT | Psalms | Chapter 144 | Verse 1] ਯਹੋਵਾਹ ਮੇਰੀ ਚੱਟਾਨ ਮੁਬਾਰਕ ਹੋਵੇ, ਜੋ ਮੇਰੇ ਹੱਥਾਂ ਨੂੰ ਯੁੱਧ ਕਰਨਾ, ਅਤੇ ਮੇਰੀਆਂ ਉਂਗਲੀਆਂ ਨੂੰ ਲੜਨਾ ਸਿਖਾਉਂਦਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 144 | Verse 2] ਮੇਰੀ ਦਯਾ, ਮੇਰਾ ਗੜ੍ਹ, ਮੇਰਾ ਉੱਚਾ ਸਥਾਨ ਅਤੇ ਮੇਰਾ ਛੁਡਾਉਣ ਵਾਲਾ, ਮੇਰੀ ਢਾਲ਼ ਅਤੇ ਉਹ ਜਿਸ ਦੇ ਵਿੱਚ ਮੈਂ ਪਨਾਹ ਲੈਂਦਾ ਹਾਂ, ਜੋ ਕੌਮਾਂ ਨੂੰ ਮੇਰੇ ਅਧੀਨ ਕਰ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 144 | Verse 3] ਹੇ ਯਹੋਵਾਹ, ਆਦਮੀ ਕੀ ਹੈ ਜੋ ਤੂੰ ਉਹ ਨੂੰ ਸਿਆਣੇਂ, ਤੇ ਆਦਮ ਵੰਸ਼ ਕੀ, ਜੋ ਉਹ ਦਾ ਖਿਆਲ ਕਰੇਂ?
[IRV | PA | OT | Psalms | Chapter 144 | Verse 4] ਆਦਮੀ ਸੁਆਸ ਹੀ ਜਿਹਾ ਹੈ, ਉਹ ਦੇ ਦਿਨ ਢਲਦੇ ਸਾਯੇ ਵਰਗੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 144 | Verse 5] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੇ ਅਕਾਸ਼ਾਂ ਨੂੰ ਝੁਕਾ ਕੇ ਉਤਰ ਆ, ਪਹਾੜਾਂ ਨੂੰ ਛੂਹ ਕਿ ਧੂੰਆਂ ਨਿੱਕਲੇ!
[IRV | PA | OT | Psalms | Chapter 144 | Verse 6] ਬਿਜਲੀ ਲਿਸ਼ਕਾ ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਖਿੰਡਾ ਦੇ, ਆਪਣੇ ਤੀਰ ਚਲਾ ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਘਬਰਾ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 144 | Verse 7] ਆਪਣੇ ਹੱਥ ਉੱਪਰੋਂ ਪਸਾਰ, ਮੈਨੂੰ ਧੂ ਕੇ ਵੱਡੇ ਪਾਣੀਆਂ ਵਿੱਚੋਂ ਛੁਡਾ! ਅਰਥਾਤ ਓਪਰਿਆਂ ਦੇ ਹੱਥੋਂ,
[IRV | PA | OT | Psalms | Chapter 144 | Verse 8] ਜਿਨ੍ਹਾਂ ਦਾ ਮੂੰਹ ਵਿਅਰਥ ਗੱਲਾਂ ਕਰਦਾ ਹੈ, ਅਤੇ ਜਿਨ੍ਹਾਂ ਦਾ ਸੱਜਾ ਹੱਥ ਝੂਠ ਦਾ ਸੱਜਾ ਹੱਥ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 144 | Verse 9] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਤੇਰੇ ਲਈ ਇੱਕ ਨਵਾਂ ਗੀਤ ਗਾਵਾਂਗਾ, ਦਸ ਤਾਰਾਂ ਵਾਲੀ ਸਿਤਾਰ ਉੱਤੇ ਮੈਂ ਤੇਰੇ ਲਈ ਭਜਨ ਗਾਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 144 | Verse 10] ਜਿਹੜਾ ਰਾਜਿਆਂ ਨੂੰ ਛੁਟਕਾਰਾ ਦਿੰਦਾ ਹੈ, ਜਿਹੜਾ ਆਪਣੇ ਦਾਸ ਨੂੰ ਭੈੜੀ ਤਲਵਾਰ ਤੋਂ ਖਿੱਚ ਲੈਂਦਾ ਹੈਂ, ਉਹ ਤੂੰ ਹੀ ਹੈਂ!
[IRV | PA | OT | Psalms | Chapter 144 | Verse 11] ਓਪਰਿਆਂ ਦੇ ਹੱਥੋਂ ਮੈਨੂੰ ਖਿੱਚ ਕੇ ਛੁਡਾ, ਜਿਨ੍ਹਾਂ ਦਾ ਮੂੰਹ ਵਿਅਰਥ ਗੱਲਾਂ ਕਰਦਾ ਹੈ, ਅਤੇ ਜਿਨ੍ਹਾਂ ਦਾ ਸੱਜਾ ਹੱਥ ਝੂਠ ਦਾ ਸੱਜਾ ਹੱਥ ਹੈ!।
