[IRV | PA | OT | Psalms | Chapter 48 | Verse 1] ਯਹੋਵਾਹ ਮਹਾਨ ਹੈ ਅਤੇ ਅੱਤ ਉਸਤਤ ਦੇ ਜੋਗ ਹੈ, ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਗਰ ਵਿੱਚ ਉਹ ਦੇ ਪਰਬਤ ਉੱਤੇ!
[IRV | PA | OT | Psalms | Chapter 48 | Verse 2] ਉਚਿਆਈ ਕਰਕੇ ਸੁੰਦਰ, ਸਾਰੀ ਧਰਤੀ ਦੀ ਖੁਸ਼ੀ, ਸੀਯੋਨ ਪਰਬਤ ਹੈ ਜਿਹੜਾ ਉੱਤਰ ਦੀ ਵੱਲ ਮਹਾਰਾਜਾ ਦਾ ਸ਼ਹਿਰ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 3] ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਦੇ ਮਹਿਲਾਂ ਵਿੱਚ ਇੱਕ ਉੱਚਾ ਗੜ੍ਹ ਹੋ ਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਪਰਗਟ ਕੀਤਾ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 4] ਤਾਂ ਵੇਖੋ, ਰਾਜੇ ਇਕੱਠੇ ਹੋ ਗਏ, ਓਹ ਮਿਲ ਕੇ ਲੰਘ ਗਏ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 5] ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਡਿੱਠਾ, ਫੇਰ ਦੰਗ ਰਹਿ ਗਏ, ਵਿਆਕੁਲ ਹੋ ਕੇ ਉਹ ਉੱਠ ਭੱਜੇ!
[IRV | PA | OT | Psalms | Chapter 48 | Verse 6] ਉੱਥੇ ਕੰਬਣੀ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਫੜ ਲਿਆ, ਅਤੇ ਜੱਚਾ ਵਾਲੀਆਂ ਪੀੜਾਂ ਉਨ੍ਹਾਂ ਨੂੰ ਲੱਗੀਆਂ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 7] ਤੂੰ ਪੁਰੇ ਦੀ ਹਵਾ ਨਾਲ ਤਰਸ਼ੀਸ਼ ਸ਼ਹਿਰ ਦੇ ਜਹਾਜ਼ਾਂ ਨੂੰ ਭੰਨ ਸੁੱਟਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 8] ਜਿਵੇਂ ਅਸੀਂ ਸੁਣਿਆ ਹੈ ਤਿਵੇਂ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦੇ ਸ਼ਹਿਰ ਵਿੱਚ, ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸ਼ਹਿਰ ਵਿੱਚ ਅਸੀਂ ਵੇਖਿਆ ਵੀ ਹੈ। ਪਰਮੇਸ਼ੁਰ ਉਹ ਨੂੰ ਸਦਾ ਤੱਕ ਕਾਇਮ ਰੱਖੇਗਾ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 9] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਅਸੀਂ ਤੇਰੀ ਹੈਕਲ ਦੇ ਵਿੱਚ ਤੇਰੀ ਦਯਾ ਉੱਤੇ ਵਿਚਾਰ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 10] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਜਿਵੇਂ ਤੇਰਾ ਨਾਮ, ਤਿਵੇਂ ਤੇਰੀ ਉਸਤਤ ਧਰਤੀ ਦੇ ਬੰਨਿਆਂ ਤੱਕ ਹੈ, ਤੇਰਾ ਸੱਜਾ ਹੱਥ ਧਰਮ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 11] ਤੇਰੇ ਨਿਆਂਵਾਂ ਦੇ ਕਾਰਨ ਸੀਯੋਨ ਪਰਬਤ ਅਨੰਦ ਹੋਵੇ, ਯਹੂਦਾਹ ਦੇ ਲੋਕ ਖੁਸ਼ੀਆਂ ਮਨਾਉਣ!
[IRV | PA | OT | Psalms | Chapter 48 | Verse 12] ਸੀਯੋਨ ਦੇ ਚੁਫ਼ੇਰੇ ਫਿਰੋ ਅਤੇ ਉਹ ਦੀ ਪਰਦੱਖਣਾ ਕਰੋ, ਉਹ ਦੇ ਬੁਰਜ਼ਾਂ ਨੂੰ ਗਿਣੋ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 13] ਉਹ ਦੇ ਸ਼ਹਿਰਪਨਾਹ ਨੂੰ ਦਿਲ ਲਾ ਕੇ ਵੇਖੋ, ਉਹ ਦੇ ਮਹਿਲਾਂ ਦੇ ਵਿੱਚ ਦੀ ਲੰਘੋ ਕਿ ਤੁਸੀਂ ਆਉਣ ਵਾਲੀ ਪੀੜ੍ਹੀ ਨੂੰ ਦੱਸ ਸਕੋ।
[IRV | PA | OT | Psalms | Chapter 48 | Verse 14] ਇਹੋ ਪਰਮੇਸ਼ੁਰ ਤਾਂ ਜੁੱਗੋ-ਜੁੱਗ ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਹੈ, ਮੌਤ ਤੱਕ ਵੀ ਓਹੋ ਸਾਡਾ ਆਗੂ ਰਹੇਗਾ!
