[IRV | PA | OT | Psalms | Chapter 88 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੇਰੇ ਮੁਕਤੀ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਦਿਨ ਨੂੰ ਵੀ ਅਤੇ ਰਾਤ ਨੂੰ ਵੀ ਤੇਰੇ ਅੱਗੇ ਦੁਹਾਈ ਦਿੱਤੀ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 2] ਮੇਰੀ ਪ੍ਰਾਰਥਨਾ ਤੇਰੇ ਹਜ਼ੂਰ ਪਹੁੰਚੇ, ਮੇਰੀ ਹਾਹਾਕਾਰ ਵੱਲ ਕੰਨ ਝੁਕਾ!
[IRV | PA | OT | Psalms | Chapter 88 | Verse 3] ਮੇਰੀ ਜਾਨ ਤਾਂ ਬੁਰਿਆਈਆਂ ਨਾਲ ਭਰੀ ਹੋਈ ਹੈ, ਅਤੇ ਮੇਰਾ ਜੀਵਨ ਪਤਾਲ ਦੇ ਨੇੜੇ ਢੁੱਕਦਾ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 4] ਮੈਂ ਕਬਰ ਵਿੱਚ ਲਹਿਣ ਵਾਲਿਆਂ ਦੇ ਨਾਲ ਗਿਣਿਆ ਗਿਆ, ਮੈਂ ਨਿਰਬਲ ਆਦਮੀ ਵਰਗਾ ਹੋ ਗਿਆ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 5] ਮੈਂ ਮੁਰਦਿਆਂ ਵਿੱਚ ਸੁੱਟਿਆ ਗਿਆ ਹਾਂ, ਉਨ੍ਹਾਂ ਵੱਢਿਆ ਹੋਇਆ ਵਾਂਗੂੰ ਜਿਹੜੇ ਕਬਰ ਵਿੱਚ ਲੇਟੇ ਪਏ ਹਨ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੂੰ ਫੇਰ ਚੇਤੇ ਨਹੀਂ ਕਰਦਾ, ਅਤੇ ਓਹ ਤੇਰੇ ਹੱਥੋਂ ਵਿੱਛੜ ਗਏ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 6] ਤੂੰ ਮੈਨੂੰ ਅੱਤ ਡੂੰਘੀ ਕਬਰ, ਅਤੇ ਅਨ੍ਹੇਰਿਆਂ ਤੇ ਗਹਿਰਿਆਂ ਥਾਵਾਂ ਵਿੱਚ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 7] ਤੇਰਾ ਕਹਿਰ ਮੇਰੇ ਉੱਤੇ ਡਾਢਾ ਭਾਰੀ ਪਿਆ ਹੋਇਆ ਹੈ, ਅਤੇ ਆਪਣੀਆਂ ਸਾਰੀਆਂ ਮੌਜਾਂ ਨਾਲ ਤੂੰ ਮੈਨੂੰ ਦੁੱਖ ਦਿੱਤਾ ਹੈ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 8] ਮੇਰੇ ਜਾਣ ਪਛਾਣਾਂ ਨੂੰ ਤੂੰ ਮੈਥੋਂ ਦੂਰ ਕੀਤਾ, ਅਤੇ ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਲਈ ਘਿਣਾਉਣਾ ਬਣਾਇਆ ਹੋਇਆ ਹੈ, ਮੈਂ ਬੰਦ ਹਾਂ ਅਤੇ ਮੈਥੋਂ ਬਾਹਰ ਨਿੱਕਲਿਆ ਨਹੀਂ ਜਾਂਦਾ!
[IRV | PA | OT | Psalms | Chapter 88 | Verse 9] ਮੇਰੀਆਂ ਅੱਖਾਂ ਦੁੱਖ ਨਾਲ ਅੰਬ ਗਈਆਂ ਹਨ, ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਨਿੱਤ ਤੈਨੂੰ ਪੁਕਾਰਿਆ ਹੈ, ਮੈਂ ਆਪਣੇ ਹੱਥ ਤੇਰੀ ਵੱਲ ਅੱਡੇ ਹੋਏ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 10] ਕੀ ਤੂੰ ਮੁਰਦਿਆਂ ਨੂੰ ਅਚਰਜ਼ ਵਿਖਾਵੇਂਗਾ? ਕੀ ਰੂਹਾਂ ਉੱਠ ਕੇ ਤੈਨੂੰ ਸਲਾਹੁਣਗੀਆਂ?। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 88 | Verse 11] ਕੀ ਕਬਰ ਵਿੱਚ ਤੇਰੀ ਦਯਾ, ਅਤੇ ਨਰਕ ਕੁੰਡ ਵਿੱਚ ਤੇਰੀ ਸਚਿਆਈ ਦਾ ਵਰਣਨ ਹੋਵੇਗਾ?
