[IRV | PA | OT | Psalms | Chapter 104 | Verse 1] ਹੇ ਮੇਰੀ ਜਾਨ, ਯਹੋਵਾਹ ਨੂੰ ਮੁਬਾਰਕ ਆਖ, ਹੇ ਯਹੋਵਾਹ, ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਅੱਤ ਮਹਾਨ ਹੈਂ, ਤੂੰ ਤੇਜ ਅਤੇ ਉਪਮਾ ਦੀ ਪੁਸ਼ਾਕ ਪਹਿਨੀ ਹੋਈ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 104 | Verse 2] ਤੂੰ ਚਾਨਣ ਨੂੰ ਪੁਸ਼ਾਕ ਵਾਂਗੂੰ ਹੈਂ, ਤੂੰ ਅਕਾਸ਼ ਨੂੰ ਪੜਦੇ ਵਾਂਗੂੰ ਤਾਣਦਾ ਹੈਂ,
[IRV | PA | OT | Psalms | Chapter 104 | Verse 3] ਤੂੰ ਜੋ ਆਪਣੇ ਚੁਬਾਰਿਆਂ ਦੇ ਸ਼ਤੀਰਾਂ ਨੂੰ ਪਾਣੀਆਂ ਉੱਤੇ ਬੀੜਦਾ ਹੈਂ, ਜੋ ਘਟਾ ਨੂੰ ਆਪਣੇ ਰਥ ਬਣਾਉਂਦਾ ਹੈਂ, ਅਤੇ ਹਵਾ ਦੇ ਪਰਾਂ ਉੱਤੇ ਸੈਲ ਕਰਦਾ ਹੈਂ,
[IRV | PA | OT | Psalms | Chapter 104 | Verse 4] ਤੂੰ ਹਵਾਵਾਂ ਨੂੰ ਆਪਣੇ ਹਲਕਾਰੇ, ਅਤੇ ਅੱਗ ਦੀਆਂ ਲਾਟਾਂ ਨੂੰ ਆਪਣੇ ਸੇਵਕ ਬਣਾਉਂਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 104 | Verse 5] ਤੂੰ ਧਰਤੀ ਦੀ ਨੀਂਹ ਨੂੰ ਕਾਇਮ ਕੀਤਾ, ਕਿ ਉਹ ਸਦਾ ਤੱਕ ਅਟੱਲ ਰਹੇ।
[IRV | PA | OT | Psalms | Chapter 104 | Verse 6] ਤੂੰ ਉਹ ਨੂੰ ਡੂੰਘਿਆਈ ਨਾਲ ਇਉਂ ਕੱਜਿਆ ਜਿਵੇਂ ਪੁਸ਼ਾਕ ਨਾਲ, ਪਾਣੀ ਪਹਾੜਾਂ ਦੇ ਉੱਪਰ ਖਲੋ ਗਏ।
[IRV | PA | OT | Psalms | Chapter 104 | Verse 7] ਓਹ ਤੇਰੇ ਨਾਲ ਦਬਕੇ ਨਾਲ ਨੱਠ ਗਏ, ਉਹ ਤੇਰੀ ਗੜ੍ਹਕ ਦੀ ਅਵਾਜ਼ ਤੋਂ ਸ਼ਤਾਬੀ ਭੱਜੇ,
[IRV | PA | OT | Psalms | Chapter 104 | Verse 8] ਉਸ ਥਾਂ ਨੂੰ ਜਿਸ ਦੀ ਤੂੰ ਨੀਂਹ ਰੱਖੀ ਹੋਈ ਸੀ, ਪਰਬਤ ਉਤਾਂਹ ਚੜ੍ਹੇ, ਦੂਣਾ ਹੇਠਾਂ ਉੱਤਰੀਆਂ,
[IRV | PA | OT | Psalms | Chapter 104 | Verse 9] ਤੂੰ ਉਨ੍ਹਾਂ ਲਈ ਇੱਕ ਹੱਦ ਠਹਿਰਾ ਰੱਖੀ ਹੈ ਕਿ ਓਹ ਅੱਗੇ ਨਾ ਲੰਘਣ, ਅਤੇ ਨਾ ਹੀ ਮੁੜ ਕੇ ਧਰਤੀ ਨੂੰ ਢੱਕ ਲੈਣ।
[IRV | PA | OT | Psalms | Chapter 104 | Verse 10] ਤੂੰ ਚਸ਼ਮੇ ਵਾਦੀਆਂ ਵਿੱਚ ਵਗਾਉਂਦਾ ਹੈਂ, ਓਹ ਪਹਾੜਾਂ ਵਿੱਚ ਵੀ ਚੱਲਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 104 | Verse 11] ਰੜ ਦੇ ਜਾਨਵਰ ਉਨ੍ਹਾਂ ਤੋਂ ਪੀਂਦੇ ਹਨ, ਜੰਗਲੀ ਗਧੇ ਵੀ ਆਪਣੀ ਤੇਹ ਬੁਝਾਉਂਦੇ ਹਨ।
