[IRV | PA | OT | Psalms | Chapter 119 | Verse 1] ਧੰਨ ਓਹ ਹਨ ਜਿਹੜੇ ਨਿਰਦੋਸ਼ ਮਾਰਗ ਤੇ ਚਲਦੇ ਹਨ, ਜਿਹੜੇ ਯਹੋਵਾਹ ਦੀ ਬਿਵਸਥਾ ਅਨੁਸਾਰ ਚੱਲਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 2] ਧੰਨ ਓਹ ਹਨ ਜਿਹੜੇ ਇਹ ਦੀਆਂ ਸਾਖੀਆਂ ਨੂੰ ਮੰਨਦੇ, ਅਤੇ ਤਨੋ ਮਨੋ ਉਹ ਨੂੰ ਭਾਲਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 3] ਓਹ ਤਾਂ ਬਦੀ ਨਹੀਂ ਕਰਦੇ, ਓਹ ਉਸ ਦੇ ਰਾਹਾਂ ਵਿੱਚ ਚੱਲਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 4] ਤੂੰ ਸਾਨੂੰ ਆਪਣੇ ਫ਼ਰਮਾਨਾਂ ਦਾ ਹੁਕਮ ਦਿੱਤਾ, ਕਿ ਅਸੀਂ ਮਨ ਲਾ ਕੇ ਉਨ੍ਹਾਂ ਦੀ ਪਾਲਣਾ ਕਰੀਏ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 5] ਕਾਸ਼ ਕਿ ਮੇਰੀ ਚਾਲ ਤੇਰੀਆਂ ਬਿਧੀਆਂ ਦੀ ਪਾਲਣਾ ਕਰਨ ਲਈ ਪੱਕੀ ਹੋਵੇ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 6] ਜਦ ਮੈਂ ਤੇਰੇ ਹੁਕਮਾਂ ਉੱਤੇ ਗੌਰ ਕਰਾਂਗਾ, ਤਦ ਮੈਂ ਲੱਜਿਆਵਾਨ ਨਾ ਹੋਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 7] ਜਦ ਮੈਂ ਤੇਰਿਆਂ ਸੱਚਿਆਂ ਨਿਆਂਵਾਂ ਨੂੰ ਸਿੱਖ ਲਵਾਂਗਾ, ਮੈਂ ਸਿੱਧੇ ਮਨ ਨਾਲ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 8] ਮੈਂ ਤੇਰੀਆਂ ਬਿਧੀਆਂ ਦੀ ਪਾਲਣਾ ਕਰਾਂਗਾ, ਤੂੰ ਮੈਨੂੰ ਮੂਲੋਂ ਹੀ ਤਿਆਗ ਨਾ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 9] ਜੁਆਨ ਕਿੱਦਾਂ ਆਪਣੀ ਚਾਲ ਨੂੰ ਸੁੱਧ ਰੱਖੇ? ਉਹ ਤੇਰੇ ਬਚਨ ਦੇ ਅਨੁਸਾਰ ਉਹ ਦੀ ਚੌਕਸੀ ਕਰੇ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 10] ਮੈਂ ਆਪਣੇ ਸਾਰੇ ਮਨ ਨਾਲ ਤੈਨੂੰ ਭਾਲਿਆ ਹੈ, ਆਪਣੇ ਹੁਕਮਾਂ ਤੋਂ ਮੈਨੂੰ ਭਟਕਣ ਨਾ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 11] ਮੈਂ ਤੇਰੇ ਬਚਨ ਨੂੰ ਆਪਣੇ ਮਨ ਵਿੱਚ ਜਮਾਂ ਕਰ ਲਿਆ, ਤਾਂ ਜੋ ਤੇਰਾ ਪਾਪ ਨਾ ਕਰਾਂ।
[IRV | PA | OT | Psalms | Chapter 119 | Verse 12] ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਮੁਬਾਰਕ ਹੈਂ, ਆਪਣੀਆਂ ਬਿਧੀਆਂ ਮੈਨੂੰ ਸਿਖਲਾ!
[IRV | PA | OT | Psalms | Chapter 119 | Verse 13] ਮੈਂ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਨਾਲ ਤੇਰੇ ਮੂੰਹ ਦੇ ਸਾਰੇ ਨਿਆਂਵਾਂ ਦਾ ਨਿਰਣਾ ਕੀਤਾ।
