[IRV | PA | OT | Psalms | Chapter 58 | Verse 1] ਹੇ ਬਲਵਾਨ ਸ਼ਾਸਕੋ, ਕੀ ਤੁਸੀਂ ਸੱਚ-ਮੁੱਚ ਧਰਮ ਨਾਲ ਬੋਲਦੇ ਹੋ? ਕੀ ਤੁਸੀਂ ਆਦਮ ਵੰਸ਼ੀਆਂ ਦਾ ਸਹੀ ਨਿਆਂ ਕਰਦੇ ਹੋ?
[IRV | PA | OT | Psalms | Chapter 58 | Verse 2] ਨਹੀਂ, ਸਗੋਂ ਤੁਸੀਂ ਮਨੋਂ ਬਦੀ ਕਰਦੇ ਹੋ, ਧਰਤੀ ਉੱਤੇ ਤੁਸੀਂ ਆਪਣੇ ਹੱਥਾਂ ਦਾ ਅਨ੍ਹੇਰ ਤੋਲ ਦਿੰਦੇ ਹੋ?
[IRV | PA | OT | Psalms | Chapter 58 | Verse 3] ਦੁਸ਼ਟ ਕੁੱਖੋਂ ਹੀ ਓਪਰੇ ਰਹੇ ਹਨ, ਉਹ ਜੰਮਦੇ ਸਾਰ ਹੀ ਝੂਠ ਬੋਲ-ਬੋਲ ਕੇ ਭਟਕ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 58 | Verse 4] ਉਨ੍ਹਾਂ ਦੀ ਵਿੱਸ ਸੱਪ ਦੀ ਵਿੱਸ ਵਰਗੀ ਹੈ, ਓਹ ਉਸ ਬੋਲੇ ਨਾਗ ਦੀ ਨਿਆਈਂ ਹਨ ਜਿਹੜਾ ਆਪਣੇ ਕੰਨ ਮੁੰਦ ਲੈਂਦਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 58 | Verse 5] ਜਿਹੜਾ ਸਪੇਰਿਆਂ ਦੀ ਅਵਾਜ਼ ਨਹੀਂ ਸੁਣਦਾ, ਭਾਵੇਂ ਕੇਡੀ ਹੀ ਚਲਾਕੀ ਨਾਲ ਓਹ ਜਾਦੂ ਕਰਨ।
[IRV | PA | OT | Psalms | Chapter 58 | Verse 6] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਉਨ੍ਹਾਂ ਦੇ ਦੰਦਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਮੂੰਹ ਵਿੱਚ ਭੰਨ ਸੁੱਟ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਜੁਆਨ ਬੱਬਰ ਸ਼ੇਰਾਂ ਦੀਆਂ ਦਾੜ੍ਹਾਂ ਨੂੰ ਪੁੱਟ ਸੁੱਟ।
[IRV | PA | OT | Psalms | Chapter 58 | Verse 7] ਓਹ ਵਗਦੇ ਪਾਣੀ ਵਾਂਗੂੰ ਵਹਿ ਜਾਣ, ਜਦ ਓਹ ਆਪਣੇ ਤੀਰਾਂ ਦਾ ਨਿਸ਼ਾਨਾ ਮਾਰੇ ਤਾਂ ਓਹ, ਜਾਣੋ, ਟੋਟੇ-ਟੋਟੇ ਹੋ ਜਾਣ!
[IRV | PA | OT | Psalms | Chapter 58 | Verse 8] ਓਹ ਘੋਗੇ ਵਾਂਗੂੰ ਹੋਣ ਜੋ ਗਲ਼ ਕੇ ਜਾਂਦਾ ਰਹਿੰਦਾ ਹੈ, ਓਹ ਇਸਤ੍ਰੀ ਦੇ ਗਰਭਪਾਤ ਵਾਂਗੂੰ ਹੋਣ ਜਿਸ ਸੂਰਜ ਨਹੀਂ ਵੇਖਿਆ!
[IRV | PA | OT | Psalms | Chapter 58 | Verse 9] ਇਸ ਤੋਂ ਅੱਗੇ ਜੋ ਤੁਹਾਡੀਆਂ ਦੇਗਾਂ ਛਾਪਿਆਂ ਨਾਲ ਤੱਤੀਆਂ ਹੋਣ, ਉਹ ਜਲੇ, ਅਣਜਲੇ, ਦੋਹਾਂ ਨੂੰ ਵਾਵਰੋਲੇ ਨਾਲ ਉਡਾ ਦੇਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 58 | Verse 10] ਧਰਮੀ ਇਹ ਬਦਲਾ ਵੇਖ ਕੇ ਅਨੰਦ ਹੋਵੇਗਾ, ਉਹ ਦੁਸ਼ਟਾਂ ਦੇ ਲਹੂ ਵਿੱਚ ਆਪਣੇ ਪੈਰ ਧੋਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 58 | Verse 11] ਤਦ ਆਦਮੀ ਆਖੇਗਾ, ਧਰਮੀ ਦੇ ਲਈ ਫਲ ਤਾਂ ਹੈ ਹੀ, ਸੱਚ-ਮੁੱਚ ਇੱਕ ਪਰਮੇਸ਼ੁਰ ਹੈ ਜਿਹੜਾ ਧਰਤੀ ਉੱਤੇ ਨਿਆਂ ਕਰਦਾ ਹੈ!
