[IRV | PA | OT | Psalms | Chapter 71 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਤੇਰੀ ਸ਼ਰਨ ਆਇਆ ਹਾਂ, ਮੈਨੂੰ ਕਦੇ ਵੀ ਸ਼ਰਮਿੰਦਾ ਨਾ ਹੋਣ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 71 | Verse 2] ਆਪਣੇ ਧਰਮ ਨਾਲ ਮੇਰਾ ਛੁਟਕਾਰਾ ਕਰ ਕੇ ਮੈਨੂੰ ਛੁਡਾ, ਆਪਣਾ ਕੰਨ ਮੇਰੀ ਵੱਲ ਲਾ ਕੇ ਮੈਨੂੰ ਬਚਾ!
[IRV | PA | OT | Psalms | Chapter 71 | Verse 3] ਤੂੰ ਮੇਰੇ ਨਿਵਾਸ ਦੀ ਚੱਟਾਨ ਬਣ ਜਿੱਥੇ ਮੈਂ ਹਰ ਰੋਜ਼ ਜਾਇਆ ਕਰਾਂ, ਤੂੰ ਮੇਰੇ ਬਚਾਓ ਦੀ ਆਗਿਆ ਦਿੱਤੀ ਹੈ, ਕਿਉਂ ਜੋ ਤੂੰ ਹੀ ਮੇਰੀ ਚੱਟਾਨ ਅਤੇ ਮੇਰਾ ਗੜ੍ਹ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 4] ਹੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਨੂੰ ਦੁਸ਼ਟ ਦੇ ਹੱਥੋਂ ਅਤੇ ਕੁਧਰਮੀ ਤੇ ਜ਼ਾਲਿਮ ਦੇ ਪੰਜਿਓਂ ਛੁਡਾ!
[IRV | PA | OT | Psalms | Chapter 71 | Verse 5] ਹੇ ਪ੍ਰਭੂ ਯਹੋਵਾਹ, ਤੂੰ ਹੀ ਮੇਰੀ ਆਸ ਹੈਂ, ਅਤੇ ਮੇਰੀ ਜਵਾਨੀ ਤੋਂ ਮੇਰਾ ਭਰੋਸਾ ਤੇਰੇ ਉੱਤੇ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 6] ਮੈਂ ਜਨਮ ਤੋਂ ਹੀ ਤੇਰੇ ਦੁਆਰਾ ਸੰਭਾਲਿਆ ਗਿਆ ਹਾਂ, ਮੇਰੀ ਮਾਤਾ ਦੀ ਕੁੱਖ ਤੋਂ ਤੂੰ ਹੀ ਮੈਨੂੰ ਕੱਢਿਆ, ਮੈਂ ਸਦਾ ਤੇਰੀ ਉਸਤਤ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 7] ਮੈਂ ਬਹੁਤਿਆਂ ਦੇ ਲਈ ਇੱਕ ਅਚੰਭਾ ਜਿਹਾ ਬਣਿਆ, ਪਰ ਤੂੰ ਮੇਰੀ ਪੱਕੀ ਪਨਾਹ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 8] ਮੇਰਾ ਮੂੰਹ ਤੇਰੀ ਉਸਤਤ ਅਤੇ ਤੇਰੀ ਪ੍ਰਸ਼ੰਸਾ ਨਾਲ ਸਾਰਾ ਦਿਨ ਭਰਿਆ ਰਹੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 9] ਬੁਢੇਪੇ ਦੇ ਸਮੇਂ ਮੈਨੂੰ ਤਿਆਗ ਨਾ ਦੇ, ਜਦ ਮੇਰਾ ਬਲ ਘਟੇ ਤਾਂ ਮੈਨੂੰ ਨਾ ਛੱਡ!
[IRV | PA | OT | Psalms | Chapter 71 | Verse 10] ਮੇਰੇ ਵੈਰੀ ਤਾਂ ਮੇਰੇ ਵਿਖੇ ਆਖਦੇ ਹਨ, ਅਤੇ ਮੇਰੀ ਜਾਨ ਦੇ ਵੈਰੀ ਆਪਸ ਵਿੱਚ ਮਤਾ ਪਕਾਉਂਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 71 | Verse 11] ਓਹ ਕਹਿੰਦੇ ਹਨ ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਨੂੰ ਤਿਆਗ ਦਿੱਤਾ ਹੈ, ਉਹ ਦਾ ਪਿੱਛਾ ਕਰ ਕੇ ਉਹ ਨੂੰ ਫੜ ਲਵੋ, ਕਿਉਂ ਜੋ ਉਸਦਾ ਛੁਡਾਉਣ ਵਾਲਾ ਕੋਈ ਨਹੀਂ ਹੈ।
