[IRV | PA | OT | Psalms | Chapter 108 | Verse 1] ਮੇਰਾ ਮਨ ਕਾਇਮ ਹੈ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਗਾਵਾਂਗਾ, ਹਾਂ, ਮੈਂ ਆਪਣੇ ਪਰਤਾਪ ਸਣੇ ਭਜਨ ਕੀਰਤਨ ਕਰਾਂਗਾ!
[IRV | PA | OT | Psalms | Chapter 108 | Verse 2] ਹੇ ਸਿਤਾਰ ਤੇ ਬਰਬਤ, ਜਾਗੋ, ਮੈਂ ਫਜ਼ਰ ਨੂੰ ਵੀ ਜਗਾ ਦਿਆਂਗਾ!
[IRV | PA | OT | Psalms | Chapter 108 | Verse 3] ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਲੋਕਾਂ ਵਿੱਚ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ, ਅਤੇ ਕੌਮਾਂ ਵਿੱਚ ਮੈਂ ਤੇਰੀ ਅਰਾਧਨਾ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 4] ਤੇਰੀ ਦਯਾ ਤਾਂ ਅਕਾਸ਼ਾਂ ਤੋਂ ਉੱਚੀ ਤੇ ਵੱਡੀ ਹੈ, ਅਤੇ ਤੇਰੀ ਵਫ਼ਾਦਾਰੀ ਬੱਦਲਾਂ ਤੱਕ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 108 | Verse 5] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਅਕਾਸ਼ਾਂ ਦੇ ਉਤਾਹਾਂ ਤੂੰ ਮਹਾਨ ਹੋ, ਸਾਰੀ ਧਰਤੀ ਦੇ ਉਤਾਹਾਂ ਤੇਰੀ ਮਹਿਮਾ ਹੋਵੇ!।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 6] ਤਾਂ ਜੋ ਤੇਰੇ ਪਿਆਰੇ ਛੁਡਾਏ ਜਾਣ, ਤੂੰ ਆਪਣੇ ਸੱਜੇ ਹੱਥ ਨਾਲ ਬਚਾ ਲੈ ਅਤੇ ਸਾਨੂੰ ਉੱਤਰ ਦੇ।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 7] ਪਰਮੇਸ਼ੁਰ ਆਪਣੇ ਪਵਿੱਤਰ ਸਥਾਨ ਤੋਂ ਬੋਲਿਆ, ਮੈਂ ਖੁਸ਼ੀ ਮਨਾਵਾਂਗਾ, ਮੈਂ ਸ਼ਕਮ ਨੂੰ ਵੰਡ ਦਿਆਂਗਾ, ਮੈਂ ਸੁੱਕੋਥ ਦੀ ਘਾਟੀ ਨੂੰ ਮਿਣਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 8] ਗਿਲਆਦ ਮੇਰਾ ਹੈ, ਮਨੱਸ਼ਹ ਵੀ, ਅਤੇ ਇਫ਼ਰਾਈਮ ਮੇਰੇ ਸਿਰ ਦਾ ਟੋਪ ਹੈ, ਯਹੂਦਾਹ ਮੇਰਾ ਰਾਜ ਡੰਡਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 108 | Verse 9] ਮੋਆਬ ਮੇਰੀ ਚਿਲਮਚੀ ਹੈ, ਅਦੋਮ ਉੱਤੇ ਮੈਂ ਆਪਣਾ ਪੌਲਾ ਸੁੱਟਾਂਗਾ, ਫ਼ਲਿਸਤ ਉੱਤੇ ਮੈਂ ਨਾਰਾ ਮਾਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 10] ਕੌਣ ਮੈਨੂੰ ਉਸ ਸਫ਼ੀਲਦਾਰ ਸ਼ਹਿਰ ਵਿੱਚ ਲੈ ਜਾਵੇਗਾ? ਕੌਣ ਅਦੋਮ ਦੇਸ ਤੱਕ ਮੇਰੀ ਅਗਵਾਈ ਕਰੇਗਾ?
[IRV | PA | OT | Psalms | Chapter 108 | Verse 11] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਕੀ ਤੂੰ ਸਾਨੂੰ ਤਿਆਗ ਨਹੀਂ ਦਿੱਤਾ, ਕਿ ਤੂੰ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਸਾਡੀਆਂ ਸੈਨਾਂ ਦੇ ਸੰਗ ਨਹੀਂ ਚੱਲਦਾ?
[IRV | PA | OT | Psalms | Chapter 108 | Verse 12] ਵਿਰੋਧੀ ਤੋਂ ਸਾਡੀ ਸਹਾਇਤਾ ਕਰ, ਕਿਉਂ ਜੋ ਆਦਮੀ ਵੱਲੋਂ ਬਚਾਓ ਵਿਅਰਥ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 108 | Verse 13] ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਦਦ ਦੇ ਨਾਲ ਅਸੀਂ ਸੂਰਮਗਤੀ ਕਰਾਂਗੇ, ਉਹੀ ਸਾਡੇ ਵਿਰੋਧੀਆਂ ਨੂੰ ਲਤਾੜ ਸੁੱਟੇਗਾ!।
