[IRV | PA | OT | Psalms | Chapter 55 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੀ ਪ੍ਰਾਰਥਨਾ ਉੱਤੇ ਕੰਨ ਲਗਾ, ਮੇਰੀ ਬੇਨਤੀ ਤੋਂ ਆਪਣੇ ਆਪ ਨੂੰ ਨਾ ਲੁਕਾ,
[IRV | PA | OT | Psalms | Chapter 55 | Verse 2] ਮੇਰੀ ਵੱਲ ਧਿਆਨ ਕਰ ਅਤੇ ਮੈਨੂੰ ਉੱਤਰ ਦੇ! ਮੈਂ ਆਪਣੀ ਪਰੇਸ਼ਾਨੀ ਵਿੱਚ ਬੇਚੈਨ ਰਹਿੰਦਾ ਹਾਂ, ਅਤੇ ਮੈਂ ਹੂੰਗਦਾ ਰਹਿੰਦਾ ਹਾਂ,
[IRV | PA | OT | Psalms | Chapter 55 | Verse 3] ਵੈਰੀ ਦੀ ਅਵਾਜ਼ ਦੇ ਕਾਰਨ, ਅਤੇ ਦੁਸ਼ਟ ਦੇ ਦਬਾਓ ਦੇ ਕਾਰਨ, ਕਿਉਂ ਜੋ ਉਹ ਮੇਰੀਆਂ ਮੁਸੀਬਤਾਂ ਵਧਾਉਂਦੇ ਹਨ, ਅਤੇ ਕ੍ਰੋਧ ਨਾਲ ਮੈਨੂੰ ਸਤਾਉਂਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 4] ਮੇਰਾ ਦਿਲ ਬਹੁਤ ਦੁੱਖੀ ਹੈ, ਅਤੇ ਮੌਤ ਦਾ ਡਰ ਮੇਰੇ ਉੱਤੇ ਆ ਪਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 5] ਡਰ ਅਤੇ ਥਰ-ਥਰਾਹਟ ਮੇਰੇ ਉੱਤੇ ਆ ਪਏ, ਅਤੇ ਘਬਰਾਹਟ ਨੇ ਮੈਨੂੰ ਦਬਾ ਲਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 6] ਤਾਂ ਮੈਂ ਆਖਿਆ, ਕਾਸ਼ ਕਿ ਮੈਨੂੰ ਕਬੂਤਰ ਜਿਹੇ ਖੰਭ ਮਿਲਦੇ, ਤਾਂ ਮੈਂ ਉੱਡ ਜਾਂਦਾ ਤੇ ਅਰਾਮ ਪਾਉਂਦਾ!
[IRV | PA | OT | Psalms | Chapter 55 | Verse 7] ਵੇਖੋ, ਮੈਂ ਦੂਰ ਵਾਟ ਉੱਡ ਜਾਂਦਾ, ਅਤੇ ਉਜਾੜ ਵਿੱਚ ਵਸੇਰਾ ਕਰਦਾ! ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 8] ਮੈਂ ਅਨ੍ਹੇਰੀ ਅਤੇ ਤੂਫਾਨ ਤੋਂ ਛੇਤੀ ਓਟ ਲੈਂਦਾ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 9] ਹੇ ਪ੍ਰਭੂ, ਉਨ੍ਹਾਂ ਨੂੰ ਨਿਗਲ ਲੈ, ਉਨ੍ਹਾਂ ਦੀਆਂ ਜੀਭਾਂ ਵੱਖੋ-ਵੱਖਰੀਆਂ ਕਰ ਦੇ, ਕਿਉਂ ਜੋ ਮੈਂ ਨਗਰ ਵਿੱਚ ਅਨ੍ਹੇਰ ਅਤੇ ਝਗੜਾ ਵੇਖਿਆ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 55 | Verse 10] ਓਹ ਵੈਰੀ ਦਿਨ ਰਾਤ ਉਸ ਦੀਆਂ ਕੰਧਾਂ ਉੱਤੇ ਉਸ ਦੇ ਚਾਰ ਚੁਫ਼ੇਰੇ ਘੁੰਮਦੇ ਹਨ, ਬਦੀ ਅਤੇ ਸ਼ਰਾਰਤ ਉਸ ਦੇ ਅੰਦਰ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 11] ਤਬਾਹੀ ਉਸ ਦੇ ਅੰਦਰ ਹੈ, ਧੱਕੇ ਸ਼ਾਹੀ ਅਤੇ ਹੇਰਾਫੇਰੀ ਉਸ ਦੇ ਬਜ਼ਾਰਾਂ ਤੋਂ ਅਲੱਗ ਨਹੀਂ ਹੁੰਦੀ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 12] ਜਿਹੜਾ ਮੇਰੇ ਉੱਤੇ ਇਲਜ਼ਾਮ ਲਾਉਂਦਾ ਹੈ, ਉਹ ਤਾਂ ਮੇਰਾ ਵੈਰੀ ਨਹੀਂ ਸੀ, ਨਹੀਂ ਤਾਂ ਮੈਂ ਸਹਿ ਲੈਂਦਾ, ਅਤੇ ਜੋ ਮੇਰੇ ਵਿਰੁੱਧ ਫੁੱਲਦਾ ਸੀ, ਉਹ ਮੇਰਾ ਦੁਸ਼ਮਣ ਨਹੀਂ ਸੀ, ਨਹੀਂ ਤਾਂ ਮੈਂ ਉਸ ਤੋਂ ਲੁੱਕ ਜਾਂਦਾ,
[IRV | PA | OT | Psalms | Chapter 55 | Verse 13] ਪਰ ਤੂੰ ਹੀ ਸੀ ਜੋ ਮੇਰੇ ਬਰਾਬਰ ਦਾ ਮਨੁੱਖ, ਮੇਰੇ ਨਾਲ ਦਾ ਅਤੇ ਮੇਰੀ ਜਾਣ-ਪਹਿਚਾਣ ਦਾ ਸੀ!
[IRV | PA | OT | Psalms | Chapter 55 | Verse 14] ਅਸੀਂ ਆਪਸ ਵਿੱਚ ਮਿੱਠੀਆਂ-ਮਿੱਠੀਆਂ ਗੱਲਾਂ ਕਰਦੇ ਹੁੰਦੇ ਸੀ, ਅਤੇ ਸੰਗਤ ਦੇ ਨਾਲ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਵਿੱਚ ਫਿਰਦੇ ਹੁੰਦੇ ਸੀ।
[IRV | PA | OT | Psalms | Chapter 55 | Verse 15] ਮੌਤ ਉਨ੍ਹਾਂ ਉੱਤੇ ਅਚਾਨਕ ਆ ਪਵੇ, ਉਹ ਜਿਉਂਦੇ ਜੀਅ ਪਤਾਲ ਵਿੱਚ ਉਤਰ ਜਾਣ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਦੇ ਨਿਵਾਸ ਸਥਾਨਾਂ ਵਿੱਚ ਸਗੋਂ ਉਨ੍ਹਾਂ ਦੇ ਅੰਦਰ ਬੁਰਿਆਈ ਹੈ!
