[IRV | PA | OT | Psalms | Chapter 145 | Verse 1] ਹੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਹੇ ਪਾਤਸ਼ਾਹ, ਮੈਂ ਤੇਰੀ ਪ੍ਰਸ਼ੰਸਾ ਕਰਾਂਗਾ, ਤੇਰੇ ਨਾਮ ਨੂੰ ਜੁੱਗੋ-ਜੁੱਗ ਮੁਬਾਰਕ ਆਖਾਂਗਾ,
[IRV | PA | OT | Psalms | Chapter 145 | Verse 2] ਮੈਂ ਤੈਨੂੰ ਦਿਨੋ ਦਿਨ ਮੁਬਾਰਕ ਆਖਾਂਗਾ, ਅਤੇ ਜੁੱਗੋ-ਜੁੱਗ ਤੇਰੇ ਨਾਮ ਦੀ ਉਸਤਤ ਕਰਾਂਗਾ!
[IRV | PA | OT | Psalms | Chapter 145 | Verse 3] ਯਹੋਵਾਹ ਮਹਾਨ ਹੈ, ਅਤੇ ਅੱਤ ਉਸਤਤ ਜੋਗ ਹੈ, ਅਤੇ ਉਹ ਦੀ ਮਹਾਨਤਾ ਅਗੰਮ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 4] ਇੱਕ ਪੀੜ੍ਹੀ ਦੂਜੀ ਪੀੜ੍ਹੀ ਨੂੰ ਤੇਰੇ ਕੰਮਾਂ ਦਾ ਜਸ ਸੁਣਾਏਗੀ, ਅਤੇ ਓਹ ਤੇਰੀਆਂ ਕੁਦਰਤਾਂ ਦੱਸਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 5] ਉਹ ਆਪਸ ਵਿੱਚ ਤੇਰੇ ਤੇਜਵਾਨ ਪਰਤਾਪ ਦੀ ਸ਼ਾਨ ਦਾ, ਅਤੇ ਮੈਂ ਅਚਰਜ਼ ਕੰਮਾਂ ਦਾ ਧਿਆਨ ਕਰਨਗੇ l
[IRV | PA | OT | Psalms | Chapter 145 | Verse 6] ਓਹ ਤੇਰੇ ਭਿਆਨਕ ਕੰਮਾਂ ਦੀ ਸਮਰੱਥਾ ਦਾ ਪਰਚਾਰ ਕਰਨਗੇ, ਅਤੇ ਮੈਂ ਤੇਰੀ ਮਹਾਨਤਾ ਦਾ ਵਰਣਨ ਕਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 7] ਓਹ ਤੇਰੀ ਬਹੁਤ ਭਲਿਆਈ ਨੂੰ ਚੇਤੇ ਕਰ ਕੇ ਗਰਮ ਜੋਸ਼ ਹੋਣਗੇ, ਅਤੇ ਓਹ ਤੇਰੇ ਧਰਮ ਦਾ ਜੈਕਾਰਾ ਗਜਾਉਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 8] ਯਹੋਵਾਹ ਦਯਾਲੂ ਤੇ ਕਿਰਪਾਲੂ ਹੈ, ਕ੍ਰੋਧ ਵਿੱਚ ਧੀਰਜਵਾਨ ਅਤੇ ਦਯਾ ਨਾਲ ਭਰਪੂਰ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 9] ਯਹੋਵਾਹ ਸਭਨਾਂ ਦੇ ਲਈ ਭਲਾ ਹੈ, ਅਤੇ ਉਹ ਦੀਆਂ ਰਹਿਮਤਾਂ ਉਹ ਦੇ ਸਾਰੇ ਕੰਮਾਂ ਉੱਤੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 10] ਹੇ ਯਹੋਵਾਹ, ਤੇਰੇ ਸਾਰੇ ਕੰਮ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਨਗੇ, ਅਤੇ ਤੇਰੇ ਸੰਤ ਤੈਨੂੰ ਮੁਬਾਰਕ ਆਖਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 145 | Verse 11] ਓਹ ਤੇਰੀ ਪਾਤਸ਼ਾਹੀ ਦੇ ਪਰਤਾਪ ਦਾ ਚਰਚਾ ਕਰਨਗੇ, ਅਤੇ ਤੇਰੀ ਕੁਦਰਤ ਦੀਆਂ ਗੱਲਾਂ ਕਰਨਗੇ,
[IRV | PA | OT | Psalms | Chapter 145 | Verse 12] ਕਿ ਓਹ ਆਦਮੀ ਦੇ ਵੰਸ਼ ਉੱਤੇ ਤੇਰੀਆਂ ਕੁਦਰਤਾਂ ਨੂੰ ਪਰਗਟ ਕਰਨ, ਨਾਲੇ ਉਸ ਦੀ ਪਾਤਸ਼ਾਹੀ ਦੇ ਤੇਜਵਾਨ ਪਰਤਾਪ ਨੂੰ।
