[IRV | PA | OT | Psalms | Chapter 33 | Verse 1] ਹੇ ਧਰਮੀਓ, ਯਹੋਵਾਹ ਦੀ ਜੈ-ਜੈਕਾਰ ਕਰੋ, ਖ਼ਰਿਆਂ ਨੂੰ ਉਸਤਤ ਕਰਨੀ ਫੱਬਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 2] ਬਰਬਤ ਵਜਾ ਕੇ ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰੋ, ਦਸ ਤਾਰ ਦੀ ਸਿਤਾਰ ਵਜਾ ਕੇ ਉਹ ਦੀ ਉਸਤਤ ਗਾਓ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 3] ਉਸ ਦੇ ਲਈ ਇੱਕ ਨਵਾਂ ਗੀਤ ਗਾਓ, ਉੱਚੀ ਸੁਰ ਉੱਤੇ ਸੁਰ ਤਾਲ ਨਾਲ ਵਜਾਓ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 4] ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਸੱਚ ਹੈ, ਅਤੇ ਉਹ ਦੇ ਸਾਰੇ ਕੰਮ ਵਫ਼ਾਦਾਰੀ ਨਾਲ ਹੁੰਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 5] ਉਹ ਧਰਮ ਅਤੇ ਨਿਆਂ ਨਾਲ ਪ੍ਰੀਤ ਰੱਖਦਾ ਹੈ, ਯਹੋਵਾਹ ਦੀ ਦਯਾ ਨਾਲ ਧਰਤੀ ਭਰਪੂਰ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 6] ਯਹੋਵਾਹ ਦੇ ਸ਼ਬਦ ਨਾਲ ਅਕਾਸ਼ ਬਣਾਏ ਗਏ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਸਾਰੀ ਵੱਸੋਂ ਉਹ ਦੇ ਮੂੰਹ ਦੇ ਸਵਾਸ ਨਾਲ
[IRV | PA | OT | Psalms | Chapter 33 | Verse 7] ਉਹ ਸਮੁੰਦਰ ਦੇ ਪਾਣੀ ਨੂੰ ਢੇਰਾਂ ਵਿੱਚ ਇਕੱਠਿਆਂ ਕਰਦਾ ਹੈ, ਉਹ ਡੂੰਘਿਆਂ ਪਾਣੀਆਂ ਨੂੰ ਭੰਡਾਰ ਵਿੱਚ ਰੱਖਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 8] ਸਾਰੀ ਧਰਤੀ ਯਹੋਵਾਹ ਤੋਂ ਡਰੇ, ਜਗਤ ਦੇ ਸਾਰੇ ਵਸਨੀਕ ਉਸ ਦਾ ਡਰ ਮੰਨਣ,
[IRV | PA | OT | Psalms | Chapter 33 | Verse 9] ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਆਖਿਆ ਅਤੇ ਉਹ ਹੋ ਗਿਆ, ਉਸ ਨੇ ਹੁਕਮ ਦਿੱਤਾ ਤਾਂ ਉਹ ਬਣ ਗਿਆ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 10] ਯਹੋਵਾਹ ਕੌਮਾਂ ਦੀ ਸਲਾਹ ਨੂੰ ਅਕਾਰਥ ਕਰਦਾ, ਲੋਕਾਂ ਦੀਆਂ ਜੁਗਤਾਂ ਨੂੰ ਵਿਅਰਥ ਕਰ ਦਿੰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 33 | Verse 11] ਯਹੋਵਾਹ ਦੀ ਸਲਾਹ ਸਦਾ ਅਟੱਲ ਰਹਿੰਦੀ ਹੈ, ਅਤੇ ਉਸ ਦੇ ਮਨ ਦੀਆਂ ਸੋਚਾਂ ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ।
