[IRV | PA | OT | Psalms | Chapter 116 | Verse 1] ਮੈਂ ਯਹੋਵਾਹ ਨਾਲ ਪ੍ਰੇਮ ਰੱਖਦਾ ਹਾਂ ਇਸ ਲਈ ਕਿ ਉਹ ਮੇਰੀ ਅਵਾਜ਼ ਤੇ ਮੇਰੀਆਂ ਅਰਜੋਈਆਂ ਨੂੰ ਸੁਣਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 2] ਉਹ ਨੇ ਜੋ ਮੇਰੀ ਵੱਲ ਕੰਨ ਲਾਇਆ ਹੈ, ਮੈਂ ਜੀਵਨ ਭਰ ਉਹ ਨੂੰ ਪੁਕਾਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 3] ਮੌਤ ਦੀਆਂ ਡੋਰੀਆਂ ਨੇ ਮੈਨੂੰ ਵਲ ਲਿਆ, ਪਤਾਲ ਦੇ ਦੁੱਖਾਂ ਨੇ ਮੈਨੂੰ ਆਣ ਲੱਭਿਆ, ਮੈਨੂੰ ਦੁੱਖ ਤੇ ਸੋਗ ਮਿਲਿਆ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 4] ਤਾਂ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਨੂੰ ਪੁਕਾਰਿਆ, ਹੇ ਯਹੋਵਾਹ, ਕਿਰਪਾ ਕਰ ਕੇ ਮੇਰੀ ਜਾਨ ਨੂੰ ਛੁਡਾ ਲਈ!
[IRV | PA | OT | Psalms | Chapter 116 | Verse 5] ਯਹੋਵਾਹ ਦਯਾਵਾਨ ਤੇ ਧਰਮੀ ਹੈ, ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਕਿਰਪਾਲੂ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 6] ਯਹੋਵਾਹ ਭੋਲਿਆਂ ਦੀ ਰੱਖਿਆ ਕਰਦਾ ਹੈ, ਮੈਂ ਹੀਣਾ ਪੈ ਗਿਆ ਪਰ ਉਹ ਨੇ ਮੈਨੂੰ ਬਚਾਇਆ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 7] ਹੇ ਮੇਰੀ ਜਾਨ, ਆਪਣੇ ਟਿਕਾਣੇ ਨੂੰ ਮੁੜ ਚੱਲ, ਯਹੋਵਾਹ ਨੇ ਤੇਰੇ ਉੱਤੇ ਪਰਉਪਕਾਰ ਜੋ ਕੀਤਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 116 | Verse 8] ਕਿਉਂ ਜੋ ਤੂੰ ਮੇਰੀ ਜਾਨ ਨੂੰ ਮੌਤ ਤੋਂ, ਮੇਰੀਆਂ ਅੱਖਾਂ ਨੂੰ ਅੰਝੂਆਂ ਤੋਂ, ਮੇਰੇ ਪੈਰਾਂ ਨੂੰ ਤਿਲਕਣ ਤੋਂ ਛੁਡਾਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 9] ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਜਿਉਂਦਿਆਂ ਦੇ ਦੇਸ ਵਿੱਚ ਤੁਰਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 10] ਜਦ ਮੈਂ ਆਖਿਆ ਕਿ ਮੈਂ ਬਹੁਤ ਜਿਆਦਾ ਦੁੱਖੀ ਹੋਇਆ ਫਿਰ ਵੀ ਮੈਂ ਨਿਰੰਤਰ ਯਹੋਵਾਹ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕੀਤਾ l
[IRV | PA | OT | Psalms | Chapter 116 | Verse 11] ਮੈਂ ਆਪਣੀ ਘਬਰਾਹਟ ਵਿੱਚ ਆਖ ਬੈਠਾ, ਕਿ ਹਰੇਕ ਆਦਮੀ ਝੂਠਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 116 | Verse 12] ਯਹੋਵਾਹ ਦੇ ਮੇਰੇ ਉੱਤੇ ਸਾਰੇ ਉਪਕਾਰਾਂ ਲਈ, ਮੈਂ ਉਹ ਨੂੰ ਕੀ ਮੋੜ ਕੇ ਦਿਆਂ?
[IRV | PA | OT | Psalms | Chapter 116 | Verse 13] ਮੈਂ ਮੁਕਤੀ ਦਾ ਪਿਆਲਾ ਚੁੱਕਾਂਗਾ, ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਨੂੰ ਪੁਕਾਰਾਂਗਾ।
