[IRV | PA | OT | Psalms | Chapter 81 | Verse 1] ਸਾਡੇ ਬਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਜੈਕਾਰਾ ਗਜਾਓ, ਯਾਕੂਬ ਦੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਖੁਸ਼ੀ ਨਾਲ ਲਲਕਾਰੋ!
[IRV | PA | OT | Psalms | Chapter 81 | Verse 2] ਕੋਈ ਭਜਨ ਛੇੜੋ, ਅਤੇ ਡੱਫ਼, ਮਿੱਠੀ ਅਵਾਜ਼ ਦੀ ਬਰਬਤ ਅਤੇ ਸਿਤਾਰ ਨਾਲ ਵਜਾਓ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 3] ਅਮੱਸਿਆ ਉੱਤੇ ਤੁਰ੍ਹੀ ਵਜਾਓ, ਨਾਲੇ ਪੂਰਨਮਾਸੀ ਉੱਤੇ ਵੀ ਜੋ ਸਾਡੇ ਪਰਬ ਦਾ ਦਿਨ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 4] ਉਹ ਤਾਂ ਇਸਰਾਏਲ ਲਈ ਇੱਕ ਬਿਧੀ ਹੈ, ਅਤੇ ਯਾਕੂਬ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਹੁਕਮਨਾਮਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 5] ਉਸ ਨੇ ਉਹ ਨੂੰ ਯੂਸੁਫ਼ ਲਈ ਸਾਖੀ ਠਹਿਰਾਇਆ, ਜਦ ਉਹ ਮਿਸਰ ਦੇਸ ਦੇ ਵਿਰੁੱਧ ਨਿੱਕਲਿਆ। ਮੈਂ ਇੱਕ ਹੀ ਬੋਲੀ ਸੁਣਨ ਲੱਗਾ ਜੋ ਮੈਂ ਨਹੀਂ ਜਾਣਦਾ,
[IRV | PA | OT | Psalms | Chapter 81 | Verse 6] ਮੈਂ ਉਹ ਦੇ ਮੋਢੇ ਦੇ ਉੱਤੋਂ ਭਾਰ ਲਹਾਇਆ, ਉਹ ਦੇ ਹੱਥ ਟੋਕਰੀ ਤੋਂ ਛੁੱਟ ਗਏ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 7] ਤੂੰ ਬਿਪਤਾ ਵਿੱਚ ਪੈ ਕੇ ਪੁਕਾਰਿਆ ਤਾਂ ਮੈਂ ਤੈਨੂੰ ਛੁਡਾਇਆ, ਗੱਜਣ ਦੇ ਗੁਪਤ ਸਥਾਨ ਵਿੱਚੋਂ ਮੈਂ ਤੈਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਮਰੀਬਾਹ ਦੇ ਪਾਣੀ ਕੋਲ ਮੈਂ ਤੈਨੂੰ ਪਰਖਿਆ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 8] ਸੁਣ, ਹੇ ਮੇਰੀ ਪਰਜਾ ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਸਾਖੀ ਦਿਆਂਗਾ, ਹੇ ਇਸਰਾਏਲ, ਕਾਸ਼ ਕਿ ਤੂੰ ਮੇਰੀ ਸੁਣਦਾ!।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 9] ਤੇਰੇ ਵਿੱਚ ਕੋਈ ਓਪਰਾ ਦੇਵਤਾ ਨਾ ਹੋਵੇ, ਅਤੇ ਨਾ ਤੂੰ ਕਿਸੇ ਪਰਾਏ ਦੇਵਤੇ ਅੱਗੇ ਮੱਥਾ ਟੇਕੀਂ!
[IRV | PA | OT | Psalms | Chapter 81 | Verse 10] ਯਹੋਵਾਹ ਤੇਰਾ ਪਰਮੇਸ਼ੁਰ ਮੈਂ ਹੀ ਹਾਂ, ਜੋ ਤੈਨੂੰ ਮਿਸਰ ਦੇਸ ਤੋਂ ਕੱਢ ਲਿਆਇਆ, ਆਪਣਾ ਮੂੰਹ ਟੱਡ ਤਾਂ ਮੈਂ ਉਹ ਨੂੰ ਭਰ ਦਿਆਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 81 | Verse 11] ਪਰ ਮੇਰੀ ਪਰਜਾ ਨੇ ਮੇਰੀ ਅਵਾਜ਼ ਨਾ ਸੁਣੀ, ਅਤੇ ਇਸਰਾਏਲ ਨੇ ਮੈਨੂੰ ਨਾ ਚਾਹਿਆ,
