[IRV | PA | OT | Psalms | Chapter 60 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਸਾਨੂੰ ਤਿਆਗ ਦਿੱਤਾ, ਤੂੰ ਸਾਨੂੰ ਢਾਹ ਸੁੱਟਿਆ ਹੈ, ਤੂੰ ਕ੍ਰੋਧੀ ਹੋਇਆ, ਸਾਨੂੰ ਫੇਰ ਬਹਾਲ ਕਰ!
[IRV | PA | OT | Psalms | Chapter 60 | Verse 2] ਤੂੰ ਧਰਤੀ ਨੂੰ ਕੰਬਾ ਦਿੱਤਾ, ਤੂੰ ਉਹ ਨੂੰ ਪਾੜ ਦਿੱਤਾ ਹੈ, ਉਹ ਦੀਆਂ ਤੇੜਾਂ ਨੂੰ ਸੁਧਾਰ ਕਿਉਂ ਜੋ ਇਹ ਡੋਲਦੀ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 60 | Verse 3] ਤੂੰ ਆਪਣੀ ਪਰਜਾ ਨੂੰ ਡਾਢੇ ਕਲੇਸ਼ ਵਿਖਾਏ ਹਨ, ਤੂੰ ਸਾਨੂੰ ਡੋਲਣ ਦੀ ਮਧ ਪਿਆਈ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 60 | Verse 4] ਤੂੰ ਆਪਣੇ ਭੈਅ ਮੰਨਣ ਵਾਲਿਆਂ ਨੂੰ ਇੱਕ ਝੰਡਾ ਦਿੱਤਾ ਹੈ, ਕਿ ਉਹ ਸਚਿਆਈ ਦੇ ਕਾਰਨ ਵਿਖਾਇਆ ਜਾਵੇ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 60 | Verse 5] ਇਸ ਲਈ ਜੋ ਤੇਰੇ ਪਿਆਰੇ ਛੁਡਾਏ ਜਾਣ, ਤੂੰ ਆਪਣੇ ਸੱਜੇ ਹੱਥ ਨਾਲ ਬਚਾ ਲੈ ਅਤੇ ਸਾਨੂੰ ਉੱਤਰ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 60 | Verse 6] ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਪਣੇ ਪਵਿੱਤਰ ਸਥਾਨ ਤੋਂ ਬਚਨ ਕੀਤਾ ਹੈ, ਮੈਂ ਖੁਸ਼ੀ ਮਨਾਵਾਂਗਾ, ਮੈਂ ਸ਼ਕਮ ਨੂੰ ਵੰਡ ਦਿਆਂਗਾ ਤੇ ਸੁੱਕੋਥ ਦੀ ਘਾਟੀ ਨੂੰ ਮਿਣਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 60 | Verse 7] ਗਿਲਆਦ ਮੇਰਾ ਹੈ, ਮਨੱਸ਼ਹ ਵੀ ਅਤੇ ਇਫ਼ਰਾਈਮ ਮੇਰੇ ਸਿਰ ਦਾ ਟੋਪ ਹੈ, ਯਹੂਦਾਹ ਮੇਰਾ ਰਾਜ ਡੰਡਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 60 | Verse 8] ਮੋਆਬ ਮੇਰੀ ਚਿਲਮਚੀ ਹੈ, ਅਦੋਮ ਉੱਤੇ ਮੈਂ ਆਪਣਾ ਪੌਲਾ ਸੁੱਟਾਂਗਾ, ਹੇ ਫ਼ਲਿਸਤ, ਤੂੰ ਮੇਰਾ ਨਾਰਾ ਮਾਰ!
[IRV | PA | OT | Psalms | Chapter 60 | Verse 9] ਕੌਣ ਮੈਨੂੰ ਉਸ ਸਫ਼ੀਲਦਾਰ ਸ਼ਹਿਰ ਵਿੱਚ ਲੈ ਜਾਵੇਗਾ? ਕੌਣ ਅਦੋਮ ਦੇਸ ਤੱਕ ਮੇਰੀ ਅਗਵਾਈ ਕਰੇਗਾ?
[IRV | PA | OT | Psalms | Chapter 60 | Verse 10] ਭਲਾ, ਤੂੰ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਸਾਨੂੰ ਤਿਆਗ ਨਹੀਂ ਦਿੱਤਾ ਹੈ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਕੀ ਤੂੰ ਸਾਡੀਆਂ ਸੈਨਾਂ ਦੇ ਸੰਗ ਨਹੀਂ ਚੱਲਦਾ?
[IRV | PA | OT | Psalms | Chapter 60 | Verse 11] ਵਿਰੋਧੀ ਤੋਂ ਸਾਡੀ ਸਹਾਇਤਾ ਕਰ, ਕਿਉਂ ਜੋ ਆਦਮੀ ਵੱਲੋਂ ਬਚਾਓ ਵਿਅਰਥ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 60 | Verse 12] ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਦਦ ਦੇ ਨਾਲ ਅਸੀਂ ਸੂਰਮਗਤੀ ਕਰਾਂਗੇ, ਉਹੀ ਸਾਡੇ ਵਿਰੋਧੀਆਂ ਨੂੰ ਲਤਾੜ ਸੁੱਟੇਗਾ!
