[IRV | PA | OT | Psalms | Chapter 118 | Verse 1] ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰੋ ਕਿ ਉਹ ਭਲਾ ਹੈ, ਉਹ ਦੀ ਦਯਾ ਤਾਂ ਸਦੀਪਕ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 118 | Verse 2] ਇਸਰਾਏਲ ਵੀ ਆਖੇ, ਕਿ ਉਹ ਦੀ ਦਯਾ ਸਦੀਪਕ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 3] ਹਾਰੂਨ ਦਾ ਘਰਾਣਾ ਵੀ ਆਖੇ, ਕਿ ਉਹ ਦੀ ਦਯਾ ਸਦੀਪਕ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 4] ਯਹੋਵਾਹ ਤੋਂ ਡਰਨ ਵਾਲੇ ਵੀ ਆਖਣ, ਕਿ ਉਹ ਦੀ ਦਯਾ ਸਦੀਪਕ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 118 | Verse 5] ਮੈਂ ਦੁੱਖ ਵਿੱਚ ਯਹੋਵਾਹ ਨੂੰ ਪੁਕਾਰਿਆ, ਯਹੋਵਾਹ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਮੈਨੂੰ ਖੁੱਲ੍ਹੇ ਥਾਂ ਵਿੱਚ ਰੱਖਿਆ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 6] ਯਹੋਵਾਹ ਮੇਰੀ ਵੱਲ ਹੈ, ਮੈਂ ਨਾ ਡਰਾਂਗਾ, ਮਨੁੱਖ ਮੇਰਾ ਕੀ ਕਰ ਸਕਦਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 118 | Verse 7] ਯਹੋਵਾਹ ਮੇਰੀ ਵੱਲ ਮੇਰੇ ਸਹਾਇਕਾਂ ਵਿੱਚ ਹੈ, ਅਤੇ ਮੈਂ ਆਪਣੇ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਵੇਖ ਲਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 8] ਆਦਮੀ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਣ ਨਾਲੋਂ, ਯਹੋਵਾਹ ਦੀ ਸ਼ਰਨ ਲੈਣਾ ਭਲਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 9] ਪਤਵੰਤਾਂ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਣ ਨਾਲੋਂ ਯਹੋਵਾਹ ਦੀ ਸ਼ਰਨ ਲੈਣਾ ਭਲਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 10] ਸਾਰੀਆਂ ਕੌਮਾਂ ਨੇ ਮੈਨੂੰ ਘੇਰਾ ਪਾ ਲਿਆ, ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਵੱਢ ਹੀ ਸੁੱਟਿਆ।
[IRV | PA | OT | Psalms | Chapter 118 | Verse 11] ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਘੇਰ ਲਿਆ, ਆਹੋ, ਉਨ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਘੇਰਾ ਪਾ ਲਿਆ, ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਵੱਢ ਹੀ ਸੁੱਟਿਆ।
