[IRV | PA | OT | Psalms | Chapter 18 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੇਰੇ ਬਲ, ਮੈਂ ਤੇਰੇ ਨਾਲ ਪ੍ਰੀਤ ਰੱਖਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 2] ਯਹੋਵਾਹ ਮੇਰੀ ਚੱਟਾਨ, ਮੇਰਾ ਗੜ੍ਹ ਅਤੇ ਮੇਰਾ ਛੁਡਾਉਣ ਵਾਲਾ ਹੈ, ਮੇਰਾ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੀ ਚੱਟਾਨ, ਜਿਸ ਦੀ ਸ਼ਰਨ ਵਿੱਚ ਮੈਂ ਆਇਆ ਹਾਂ, ਮੇਰੀ ਢਾਲ਼, ਮੇਰੇ ਬਚਾਓ ਦਾ ਸਿੰਗ ਅਤੇ ਮੇਰਾ ਉੱਚਾ ਗੜ੍ਹ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 3] ਮੈਂ ਯਹੋਵਾਹ ਨੂੰ ਜਿਹੜਾ ਉਸਤਤ ਯੋਗ ਹੈ, ਪੁਕਾਰਾਂਗਾ ਅਤੇ ਮੈਂ ਆਪਣੇ ਵੈਰੀਆਂ ਤੋਂ ਬਚ ਜਾਂਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 4] ਮੌਤ ਦੀਆਂ ਡੋਰੀਆਂ ਨੇ ਮੈਨੂੰ ਘੇਰ ਲਿਆ, ਅਤੇ ਕੁਧਰਮੀ ਦੇ ਹੜ੍ਹਾਂ ਨੇ ਮੈਨੂੰ ਡਰਾਇਆ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 5] ਅਧੋਲੋਕ ਦੀਆਂ ਰੱਸੀਆਂ ਨੇ ਮੈਨੂੰ ਘੇਰ ਲਿਆ, ਮੌਤ ਦੇ ਫੰਦੇ ਮੇਰੇ ਚੁਫ਼ੇਰੇ ਸਨ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 6] ਆਪਣੀ ਔਖ ਦੇ ਵੇਲੇ ਮੈਂ ਯਹੋਵਾਹ ਨੂੰ ਪੁਕਾਰਿਆ, ਅਤੇ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਦੁਹਾਈ ਦਿੱਤੀ। ਉਸ ਨੇ ਆਪਣੀ ਹੈਕਲ ਵਿੱਚੋਂ ਮੇਰੀ ਅਵਾਜ਼ ਸੁਣੀ, ਅਤੇ ਮੇਰੀ ਦੁਹਾਈ ਉਸ ਦੇ ਅੱਗੇ, ਸਗੋਂ ਉਸ ਦੇ ਕੰਨਾਂ ਤੱਕ ਪਹੁੰਚੀ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 7] ਤਦ ਧਰਤੀ ਕੰਬ ਗਈ ਅਤੇ ਥਰ-ਥਰਾਈ, ਅਤੇ ਪਹਾੜਾਂ ਦੀਆਂ ਨੀਹਾਂ ਹਿੱਲ ਗਈਆਂ, ਅਤੇ ਧੜਕ ਉੱਠੀਆਂ, ਕਿਉਂ ਜੋ ਉਹ ਕ੍ਰੋਧਵਾਨ ਹੋ ਗਿਆ ਸੀ!
[IRV | PA | OT | Psalms | Chapter 18 | Verse 8] ਉਸ ਦੀਆਂ ਨਾਸਾਂ ਤੋਂ ਧੂੰਆਂ ਉੱਠਿਆ, ਅਤੇ ਉਸ ਦੇ ਮੂੰਹ ਤੋਂ ਅੱਗ ਭਸਮ ਕਰਦੀ ਸੀ, ਅੰਗਿਆਰੇ ਉਸ ਤੋਂ ਦਗ-ਦਗ ਕਰਨ ਲੱਗੇ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 9] ਉਸ ਨੇ ਅਕਾਸ਼ਾਂ ਨੂੰ ਝੁਕਾਇਆ ਅਤੇ ਹੇਠਾਂ ਉਤਰਿਆ, ਅਤੇ ਉਸ ਦੇ ਪੈਰਾਂ ਹੇਠ ਘੁੱਪ ਹਨ੍ਹੇਰਾ ਸੀ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 10] ਤਦ ਉਹ ਕਰੂਬ ਉੱਤੇ ਸਵਾਰ ਹੋ ਕੇ ਉੱਡਿਆ, ਹਾਂ, ਉਹ ਨੇ ਪੌਣ ਦਿਆਂ ਖੰਭਾਂ ਉੱਤੇ ਉਡਾਰੀ ਮਾਰੀ।
[IRV | PA | OT | Psalms | Chapter 18 | Verse 11] ਉਸ ਨੇ ਹਨੇਰੇ ਨੂੰ ਆਪਣਾ ਗੁਪਤ ਸਥਾਨ, ਬੱਦਲਾਂ ਦੇ ਇਕੱਠ ਅਤੇ ਅਕਾਸ਼ ਦੀਆਂ ਘਟਾਂਵਾਂ ਨੂੰ ਆਪਣੇ ਆਲੇ-ਦੁਆਲੇ ਦਾ ਮੰਡਪ ਬਣਾਇਆ।
