[IRV | PA | OT | Psalms | Chapter 103 | Verse 1] ਹੇ ਮੇਰੀ ਜਾਨ, ਯਹੋਵਾਹ ਨੂੰ ਮੁਬਾਰਕ ਆਖ, ਅਤੇ ਜੋ ਕੁਝ ਮੇਰੇ ਅੰਦਰ ਹੈ, ਉਸ ਦੇ ਪਵਿੱਤਰ ਨਾਮ ਨੂੰ!
[IRV | PA | OT | Psalms | Chapter 103 | Verse 2] ਹੇ ਮੇਰੀ ਜਾਨ, ਯਹੋਵਾਹ ਨੂੰ ਮੁਬਾਰਕ ਆਖ, ਅਤੇ ਉਹ ਦੇ ਸਾਰੇ ਉਪਕਾਰ ਨਾ ਵਿਸਾਰ!
[IRV | PA | OT | Psalms | Chapter 103 | Verse 3] ਉਹ ਤੇਰੀਆਂ ਸਾਰੀਆਂ ਬੁਰਿਆਈਆਂ ਨੂੰ ਖਿਮਾ ਕਰਦਾ ਹੈ, ਉਹ ਸਾਰੇ ਰੋਗਾਂ ਤੋਂ ਤੈਨੂੰ ਨਰੋਆ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 4] ਉਹ ਤੇਰੀ ਜਿੰਦ ਨੂੰ ਟੋਏ ਤੋਂ ਛੁਟਕਾਰਾ ਦਿੰਦਾ ਹੈ, ਉਹ ਤੇਰੇ ਸਿਰ ਉੱਤੇ ਦਯਾ ਤੇ ਰਹਮ ਦਾ ਮੁਕਟ ਰੱਖਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 5] ਉਹ ਭਲਿਆਈ ਨਾਲ ਤੇਰੇ ਮੂੰਹ ਨੂੰ ਰਜਾਉਂਦਾ ਹੈ, ਤੂੰ ਉਕਾਬ ਵਾਂਗੂੰ ਆਪਣੀ ਜਵਾਨੀ ਨਵਾਂ ਕਰਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 6] ਯਹੋਵਾਹ ਧਰਮ ਦੇ ਕੰਮ ਅਤੇ ਨਿਆਂ, ਸਭ ਦਬਾਏ ਹੋਇਆਂ ਦੇ ਲਈ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 7] ਉਹ ਨੇ ਆਪਣੇ ਰਾਹ ਮੂਸਾ ਉੱਤੇ, ਅਤੇ ਆਪਣੇ ਕੰਮ ਇਸਰਾਏਲ ਉੱਤੇ ਪਰਗਟ ਕਿਤੇ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 8] ਯਹੋਵਾਹ ਦਯਾਲੂ ਤੇ ਕਿਰਪਾਲੂ ਹੈ, ਕ੍ਰੋਧ ਵਿੱਚ ਧੀਰਜਵਾਨ ਅਤੇ ਦਯਾ ਨਾਲ ਭਰਪੂਰ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 9] ਉਹ ਸਦਾ ਨਹੀਂ ਝਿੜਕੇਗਾ, ਨਾ ਸਦਾ ਲਈ ਆਪਣਾ ਕ੍ਰੋਧ ਰੱਖੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 10] ਉਹ ਸਾਡੇ ਪਾਪਾਂ ਅਨੁਸਾਰ ਸਾਡੇ ਨਾਲ ਨਹੀਂ ਵਰਤਿਆ, ਨਾ ਸਾਡੀਆਂ ਬਦੀਆਂ ਅਨੁਸਾਰ ਸਾਨੂੰ ਬਦਲਾ ਦਿੱਤਾ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 11] ਜਿੰਨਾਂ ਉੱਚਾ ਅਕਾਸ਼ ਧਰਤੀ ਉੱਤੋਂ ਹੈ, ਇੰਨ੍ਹੀ ਵੱਡੀ ਉਹ ਦੀ ਦਯਾ ਉਹ ਦੇ ਡਰਨ ਵਾਲਿਆਂ ਉੱਤੇ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 103 | Verse 12] ਜਿੰਨਾਂ ਪੂਰਬ ਪੱਛਮ ਤੋਂ ਦੂਰ ਹੈ, ਓਨ੍ਹੇ ਹੀ ਉਹ ਨੇ ਸਾਡੇ ਅਪਰਾਧ ਸਾਥੋਂ ਦੂਰ ਕੀਤੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 103 | Verse 13] ਜਿਵੇਂ ਪਿਤਾ ਆਪਣੇ ਬੱਚਿਆਂ ਦਾ ਤਰਸ ਖਾਂਦਾ ਹੈ, ਤਿਵੇਂ ਯਹੋਵਾਹ ਆਪਣੇ ਡਰਨ ਵਾਲਿਆਂ ਦਾ ਤਰਸ ਖਾਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 14] ਉਹ ਤਾਂ ਸਾਡੀ ਸਰਿਸ਼ਟ ਨੂੰ ਜਾਣਦਾ ਹੈ, ਉਹ ਨੂੰ ਚੇਤਾ ਹੈ ਕਿ ਅਸੀਂ ਮਿੱਟੀ ਹੀ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 15] ਇਨਸਾਨ ਦੀ ਉਮਰ ਘਾਹ ਜਿੰਨੀ ਹੈ, ਮੈਦਾਨ ਦੇ ਫੁੱਲ ਵਾਂਗੂੰ ਉਹ ਟਹਿਕਦਾ ਹੈ,
[IRV | PA | OT | Psalms | Chapter 103 | Verse 16] ਜਦ ਵਾਯੂ ਉਹ ਦੇ ਉੱਤੇ ਵਗਦੀ ਹੈ ਤਦ ਉਹ ਹੈ ਹੀ ਨਹੀਂ ਅਤੇ ਉਹ ਦਾ ਥਾਂ ਉਹ ਨੂੰ ਫੇਰ ਨਹੀਂ ਵੇਖੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 103 | Verse 17] ਪਰ ਯਹੋਵਾਹ ਦੀ ਦਯਾ ਆਦ ਤੋਂ ਅੰਤ ਤੱਕ ਆਪਣੇ ਡਰਨ ਵਾਲਿਆਂ ਦੇ ਉੱਤੇ ਹੈ, ਅਤੇ ਉਹ ਦਾ ਧਰਮ ਪੁੱਤਰਾਂ ਪੋਤ੍ਰਿਆਂ ਤੱਕ,
[IRV | PA | OT | Psalms | Chapter 103 | Verse 18] ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਲਈ ਜਿਹੜੇ ਉਹ ਦੇ ਨੇਮ ਨੂੰ ਮੰਨਦੇ, ਤੇ ਉਹ ਦੇ ਫ਼ਰਮਾਨਾਂ ਨੂੰ ਚੇਤੇ ਰੱਖਦੇ ਤੇ ਪੂਰੇ ਕਰਦੇ ਹਨ।
