[IRV | PA | OT | Psalms | Chapter 39 | Verse 1] ਮੈਂ ਆਖਿਆ ਕਿ ਮੈਂ ਆਪਣੇ ਚਾਲ-ਚਲਣ ਦੀ ਚੌਕਸੀ ਕਰਾਂਗਾ, ਕਿ ਕਿਤੇ ਆਪਣੀ ਜੀਭ ਨਾਲ ਪਾਪ ਨਾ ਕਰਾਂ। ਜਿੰਨਾਂ ਚਿਰ ਦੁਸ਼ਟ ਮੇਰੇ ਅੱਗੇ ਹੈ, ਮੈਂ ਲਗਾਮ ਆਪਣੇ ਮੂੰਹ ਵਿੱਚ ਰੱਖਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 2] ਮੈਂ ਚੁੱਪ ਕੀਤਾ ਗੂੰਗਾ ਹੋ ਗਿਆ, ਅਤੇ ਭਲਿਆਈ ਤੋਂ ਵੀ ਚੁੱਪ ਵੱਟ ਛੱਡੀ, ਅਤੇ ਮੇਰਾ ਦੁੱਖ ਵੱਧ ਪਿਆ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 3] ਮੇਰਾ ਮਨ ਮੇਰੇ ਅੰਦਰੋਂ ਤਪ ਗਿਆ, ਮੇਰੇ ਸੋਚਦਿਆਂ-ਸੋਚਦਿਆਂ ਅੱਗ ਭੜਕ ਉੱਠੀ, ਤਾਂ ਮੈਂ ਆਪਣੀ ਜੀਭ ਤੋਂ ਬੋਲ ਉੱਠਿਆ,
[IRV | PA | OT | Psalms | Chapter 39 | Verse 4] ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਅੰਤ ਦੱਸ, ਅਤੇ ਇਹ ਵੀ ਕਿ ਮੇਰੀ ਉਮਰ ਕਿੰਨੀ ਹੈ, ਤਾਂ ਕਿ ਮੈਂ ਜਾਣਾਂ ਕਿ ਮੈਂ ਕਿਨ੍ਹਾਂ ਨਿਤਾਣਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 5] ਵੇਖ, ਤੂੰ ਮੇਰੇ ਦਿਨ ਚੱਪਾ ਭਰ ਠਹਿਰਾਏ ਹਨ, ਅਤੇ ਮੇਰੀ ਉਮਰ ਤੇਰੇ ਅੱਗੇ ਕੁਝ ਹੈ ਹੀ ਨਹੀਂ। ਸੱਚ-ਮੁੱਚ ਹਰ ਆਦਮੀ ਭਾਵੇਂ ਸਥਿਰ ਵੀ ਹੋਵੇ, ਤਦ ਵੀ ਸਾਹ ਮਾਤਰ ਹੀ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 39 | Verse 6] ਸੱਚ-ਮੁੱਚ ਮਨੁੱਖ ਛਾਇਆ ਹੀ ਵਾਂਗੂੰ ਫਿਰਦਾ ਹੈ, ਸੱਚ-ਮੁੱਚ ਉਹ ਵਿਅਰਥ ਰੌਲ਼ਾ ਪਾਉਂਦਾ ਹੈ! ਉਹ ਮਾਇਆ ਜੋੜਦਾ ਹੈ ਪਰ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਉਹ ਨੂੰ ਕੌਣ ਸਾਂਭੇਗਾ!
[IRV | PA | OT | Psalms | Chapter 39 | Verse 7] ਹੁਣ, ਹੇ ਪ੍ਰਭੂ, ਮੈਂ ਕਾਹਦੀ ਉਡੀਕ ਕਰਾਂ? ਮੈਨੂੰ ਤੇਰੀ ਹੀ ਆਸ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 8] ਮੇਰਿਆਂ ਸਾਰਿਆਂ ਅਪਰਾਧਾਂ ਤੋਂ ਮੈਨੂੰ ਛੁਡਾ, ਮੂਰਖਾਂ ਦਾ ਉਲਾਂਭਾ ਮੈਨੂੰ ਨਾ ਠਹਿਰਾ!
[IRV | PA | OT | Psalms | Chapter 39 | Verse 9] ਮੈਂ ਗੂੰਗਾ ਬਣ ਗਿਆ, ਮੈਂ ਆਪਣਾ ਮੂੰਹ ਨਾ ਖੋਲਿਆ, ਕਿਉਂ ਜੋ ਤੂੰ ਹੀ ਇਹ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 10] ਆਪਣੀ ਸੱਟ ਨੂੰ ਮੈਥੋਂ ਹਟਾ ਦੇ, ਤੇਰੇ ਹੱਥ ਦੀ ਮਾਰ ਨਾਲ ਮੈਂ ਭਸਮ ਹੋਇਆ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 39 | Verse 11] ਜਦੋਂ ਤੂੰ ਬਦੀ ਦੇ ਕਾਰਨ ਗੁੱਸੇ ਵਿੱਚ ਮਨੁੱਖ ਨੂੰ ਤਾੜਦਾ ਹੈਂ, ਤਦ ਤੂੰ ਉਹ ਦੇ ਸਹੁੱਪਣ ਨੂੰ ਪਤੰਗੇ ਵਾਂਗੂੰ ਅਲੋਪ ਕਰਦਾ ਹੈ, ਸੱਚ-ਮੁੱਚ ਹਰ ਇਨਸਾਨ ਸੁਆਸ ਹੀ ਹੈ! ਸਲਹ।
