[IRV | PA | OT | Psalms | Chapter 132 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਦਾਊਦ ਨੂੰ ਚੇਤੇ ਰੱਖ, ਉਹ ਦੇ ਸਾਰੇ ਦੁੱਖ,
[IRV | PA | OT | Psalms | Chapter 132 | Verse 2] ਜਿਸ ਨੇ ਯਹੋਵਾਹ ਦੀ ਸਹੁੰ ਖਾਧੀ, ਅਤੇ ਯਾਕੂਬ ਦੇ ਸ਼ਕਤੀਮਾਨ ਲਈ ਸੁੱਖਣਾ ਸੁੱਖੀ,
[IRV | PA | OT | Psalms | Chapter 132 | Verse 3] ਕਿ ਮੈਂ ਜ਼ਰੂਰ ਆਪਣੇ ਘਰੇਲੂ ਤੰਬੂ ਵਿੱਚ ਨਾ ਜਾਂਵਾਂਗਾ, ਨਾ ਆਪਣੇ ਪਲੰਘ ਦੇ ਵਿਛਾਉਣੇ ਉੱਤੇ ਚੜ੍ਹਾਂਗਾ,
[IRV | PA | OT | Psalms | Chapter 132 | Verse 4] ਨਾ ਆਪਣੀਆਂ ਅੱਖਾਂ ਨੂੰ ਨੀਂਦ, ਨਾ ਆਪਣੀਆਂ ਪਲਕਾਂ ਨੂੰ ਊਂਘ ਆਉਣ ਦਿਆਂਗਾ,
[IRV | PA | OT | Psalms | Chapter 132 | Verse 5] ਜਦ ਤੱਕ ਮੈਂ ਯਹੋਵਾਹ ਲਈ ਕੋਈ ਥਾਂ ਨਾ ਲੱਭਾਂ, ਅਤੇ ਯਾਕੂਬ ਦੇ ਸ਼ਕਤੀਮਾਨ ਲਈ ਕੋਈ ਡੇਰਾ!
[IRV | PA | OT | Psalms | Chapter 132 | Verse 6] ਵੇਖ, ਅਸੀਂ ਅਫਰਾਥਾਹ ਵਿੱਚ ਉਹ ਦੀ ਖ਼ਬਰ ਸੁਣੀ, ਉਹ ਸਾਨੂੰ ਯਾਅਰ ਦੀ ਮੈਦਾਨ ਵਿੱਚ ਲੱਭ ਪਿਆ।
[IRV | PA | OT | Psalms | Chapter 132 | Verse 7] ਅਸੀਂ ਯਹੋਵਾਹ ਦੇ ਡੇਰੇ ਨੂੰ ਜਾਈਏ, ਅਸੀਂ ਉਹ ਦੇ ਪੈਰਾਂ ਦੀ ਚੌਂਕੀ ਅੱਗੇ ਮੱਥਾ ਟੇਕੀਏ।
[IRV | PA | OT | Psalms | Chapter 132 | Verse 8] ਹੇ ਯਹੋਵਾਹ, ਉੱਠ, ਆਪਣੇ ਵਿਸ਼ਰਾਮ ਸਥਾਨ ਵਿੱਚ ਆ, ਤੂੰ ਅਤੇ ਤੇਰੀ ਸ਼ਕਤੀ ਦਾ ਸੰਦੂਕ ਵੀ!
[IRV | PA | OT | Psalms | Chapter 132 | Verse 9] ਤੇਰੇ ਜਾਜਕ ਧਰਮ ਦਾ ਲਿਬਾਸ ਪਾਉਣ, ਅਤੇ ਤੇਰੇ ਸੰਤ ਜੈਕਾਰੇ ਗਜਾਉਣ,
[IRV | PA | OT | Psalms | Chapter 132 | Verse 10] ਆਪਣੇ ਦਾਸ ਦਾਊਦ ਦੇ ਕਾਰਨ, ਆਪਣੇ ਮਸਹ ਕੀਤੇ ਹੋਏ ਦਾ ਮੂੰਹ ਨਾ ਮੋੜ!
[IRV | PA | OT | Psalms | Chapter 132 | Verse 11] ਯਹੋਵਾਹ ਨੇ ਦਾਊਦ ਨਾਲ ਸੱਚੀ ਸਹੁੰ ਖਾਧੀ, ਜਿਸ ਤੋਂ ਉਹ ਫਿਰੇਗਾ ਨਹੀਂ, ਕਿ ਮੈਂ ਤੇਰੇ ਢਿੱਡ ਦੇ ਫਲ ਤੋਂ ਤੇਰੀ ਰਾਜ ਗੱਦੀ ਉੱਤੇ ਕਿਸੇ ਨੂੰ ਬਿਠਾਵਾਂਗਾ,
