[IRV | PA | OT | Psalms | Chapter 106 | Verse 1] ਹਲਲੂਯਾਹ! ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕਰੋ ਕਿਉਂਕਿ ਉਹ ਭਲਾ ਹੈ, ਅਤੇ ਉਹ ਦੀ ਦਯਾ ਸਦਾ ਤੱਕ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 106 | Verse 2] ਯਹੋਵਾਹ ਦੀਆਂ ਸ਼ਕਤੀਆਂ ਨੂੰ ਕੌਣ ਵਰਣਨ ਕਰ ਸਕਦਾ ਹੈ? ਕੌਣ ਉਹ ਦੀ ਸਾਰੀ ਉਸਤਤ ਸੁਣਾ ਸਕਦਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 106 | Verse 3] ਧੰਨ ਓਹ ਜਿਹੜੇ ਨਿਆਂ ਦੀ ਪਾਲਣਾ ਕਰਦੇ ਹਨ, ਅਤੇ ਉਹ ਜਿਹੜਾ ਹਰ ਵੇਲੇ ਧਰਮ ਕਮਾਉਂਦਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 106 | Verse 4] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੀ ਪਰਜਾ ਦੇ ਪੱਖਪਾਤ ਵਿੱਚ ਮੈਨੂੰ ਚੇਤੇ ਰੱਖ, ਆਪਣੇ ਬਚਾਓ ਨਾਲ ਮੇਰੀ ਸੁੱਧ ਲੈ,
[IRV | PA | OT | Psalms | Chapter 106 | Verse 5] ਕਿ ਮੈਂ ਤੇਰੇ ਚੁਣੇ ਹੋਇਆਂ ਦੀ ਭਲਿਆਈ ਵੇਖਾਂ, ਤੇਰੀ ਕੌਮ ਦੀ ਖੁਸ਼ੀ ਵਿੱਚ ਅਨੰਦ ਹੋਵਾਂ, ਅਤੇ ਤੇਰੀ ਮਿਲਖ਼ ਦੇ ਨਾਲ ਫਖ਼ਰ ਕਰਾਂ!।
[IRV | PA | OT | Psalms | Chapter 106 | Verse 6] ਅਸੀਂ ਆਪਣੇ ਪੁਰਖਿਆਂ ਜਿਹੇ ਪਾਪ ਕੀਤੇ, ਅਸੀਂ ਬਦੀ ਅਤੇ ਦੁਸ਼ਟਪੁਣਾ ਕੀਤਾ।
[IRV | PA | OT | Psalms | Chapter 106 | Verse 7] ਸਾਡੇ ਪੁਰਖਿਆਂ ਨੇ ਮਿਸਰ ਵਿੱਚ ਤੇਰੇ ਅਚਰਜਾਂ ਨੂੰ ਨਾ ਸਮਝਿਆ, ਨਾ ਤੇਰੀਆਂ ਬਹੁਤੀਆਂ ਦਿਆਲ਼ਗੀਆਂ ਨੂੰ ਚੇਤੇ ਰੱਖਿਆ, ਪਰ ਓਹ ਸਮੁੰਦਰ ਅਰਥਾਤ ਲਾਲ ਸਮੁੰਦਰ ਉੱਤੇ ਆਕੀ ਹੋ ਗਏ।
[IRV | PA | OT | Psalms | Chapter 106 | Verse 8] ਤਾਂ ਵੀ ਉਹ ਨੇ ਆਪਣੇ ਨਾਮ ਦੇ ਕਾਰਨ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਾਇਆ, ਕਿ ਉਹ ਆਪਣੀ ਸ਼ਕਤੀ ਵਿਖਾਵੇ।
[IRV | PA | OT | Psalms | Chapter 106 | Verse 9] ਉਹ ਨੇ ਲਾਲ ਸਮੁੰਦਰ ਨੂੰ ਦਬਕਾ ਦਿੱਤਾ ਅਤੇ ਉਹ ਸੁੱਕ ਗਿਆ, ਅਤੇ ਉਹ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਡੁੰਘਿਆਈਆਂ ਦੇ ਵਿੱਚੋਂ ਦੀ ਜਿਵੇਂ ਉਜਾੜ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਾਇਆ,
[IRV | PA | OT | Psalms | Chapter 106 | Verse 10] ਅਤੇ ਉਹ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਦੁਸ਼ਮਣ ਦੇ ਹੱਥੋਂ ਬਚਾਇਆ, ਅਤੇ ਵੈਰੀ ਦੇ ਹੱਥੋਂ ਛੁਡਾਇਆ।
[IRV | PA | OT | Psalms | Chapter 106 | Verse 11] ਪਾਣੀਆਂ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਵਿਰੋਧੀਆਂ ਨੂੰ ਢੱਕ ਲਿਆ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਵੀ ਨਾ ਬਚਿਆ!
