[IRV | PA | OT | Psalms | Chapter 65 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਸੀਯੋਨ ਵਿੱਚ ਤੇਰੇ ਲਈ ਸਬਰ ਹੀ ਉਸਤਤ ਹੈ, ਅਤੇ ਤੇਰੇ ਲਈ ਸੁੱਖਣਾ ਪੂਰੀ ਕੀਤੀ ਜਾਵੇਗੀ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 2] ਹੇ ਪ੍ਰਾਰਥਨਾ ਦੇ ਸੁਣਨ ਵਾਲੇ, ਸਾਰੇ ਬਸ਼ਰ ਤੇਰੇ ਕੋਲ ਆਉਣਗੇ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 3] ਬੁਰੀਆਂ ਗੱਲਾਂ ਮੇਰੇ ਉੱਤੇ ਪਰਬਲ ਹੁੰਦੀਆਂ ਹਨ, ਤੂੰ ਸਾਡੇ ਅਪਰਾਧਾਂ ਨੂੰ ਕੱਜ ਲਵੇਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 4] ਧੰਨ ਹੈ ਉਹ ਜਿਹ ਨੂੰ ਤੂੰ ਚੁਣਦਾ ਤੇ ਆਪਣੇ ਨੇੜੇ ਲਿਆਉਂਦਾ ਹੈਂ, ਕਿ ਉਹ ਤੇਰੇ ਦਰਬਾਰ ਵਿੱਚ ਰਹੇ, ਅਸੀਂ ਤੇਰੇ ਭਵਨ ਅਰਥਾਤ ਤੇਰੀ ਪਵਿੱਤਰ ਹੈਕਲ ਦੀ ਭਲਿਆਈ ਨਾਲ ਤ੍ਰਿਪਤ ਹੋਵਾਂਗੇ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 5] ਹੇ ਪਰਮੇਸ਼ੁਰ ਸਾਡੇ ਮੁਕਤੀਦਾਤੇ, ਤੂੰ ਧਰਤੀ ਦੀਆਂ ਚਹੁੰ ਕੂਟਾਂ ਨਾਲੋਂ ਦੂਰ ਦੇ ਸਮੁੰਦਰ ਵਾਲਿਆਂ ਦੀ ਆਸ ਹੈਂ, ਤੂੰ ਧਰਮ ਨਾਲ ਭਿਆਨਕ ਕੰਮਾਂ ਦੇ ਦੁਆਰਾ ਸਾਨੂੰ ਉੱਤਰ ਦੇਵੇਂਗਾ!
[IRV | PA | OT | Psalms | Chapter 65 | Verse 6] ਤੂੰ ਆਪਣੀ ਸ਼ਕਤੀ ਨਾਲ ਪਹਾੜਾਂ ਨੂੰ ਦ੍ਰਿੜ੍ਹ ਕਰਦਾ ਹੈਂ, ਤੇਰਾ ਲੱਕ ਬਲ ਨਾਲ ਬੰਨਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 7] ਤੂੰ ਸਮੁੰਦਰਾਂ ਦੇ ਰੌਲ਼ੇ ਨੂੰ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਠਾਠਾਂ ਦੇ ਰੌਲ਼ੇ ਨੂੰ ਅਤੇ ਲੋਕਾਂ ਦੀ ਹਲਚਲ ਨੂੰ ਥਮਾ ਦਿੰਦਾ ਹੈਂ,
[IRV | PA | OT | Psalms | Chapter 65 | Verse 8] ਨਾਲੇ ਓੜਕ ਦੀਆਂ ਹੱਦਾਂ ਦੇ ਵਾਸੀ ਤੇਰੇ ਨਿਸ਼ਾਨਾਂ ਤੋਂ ਡਰ ਜਾਂਦੇ ਹਨ, ਤੂੰ ਸਵੇਰ ਤੇ ਸੰਝ ਦੇ ਆਉਣ ਤੋਂ ਜੈਕਾਰਾ ਗਜਾਉਂਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 9] ਤੂੰ ਧਰਤੀ ਦੀ ਸੁੱਧ ਲੈਂਦਾ ਅਤੇ ਉਹ ਨੂੰ ਰੇਲ-ਪੇਲ ਕਰਦਾ ਹੈਂ, ਤੂੰ ਉਹ ਨੂੰ ਦੱਬ ਕੇ ਹਰਿਆ-ਭਰਿਆ ਕਰਦਾ ਹੈਂ, ਪਰਮੇਸ਼ੁਰ ਦੀ ਨਦੀ ਪਾਣੀ ਨਾਲ ਭਰੀ ਹੋਈ ਹੈ, ਇਸੇ ਤਰ੍ਹਾਂ ਧਰਤੀ ਨੂੰ ਤਿਆਰ ਕਰ ਕੇ ਉਨ੍ਹਾਂ ਲਈ ਅੰਨ ਤਿਆਰ ਕਰਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 10] ਤੂੰ ਉਹ ਦੇ ਸਿਆੜਾਂ ਦੀ ਡੰਝ ਲਾਹ ਦਿੰਦਾ ਹੈਂ, ਤੂੰ ਉਹ ਦੀਆਂ ਵੱਟਾਂ ਨੂੰ ਪੱਧਰੀਆਂ ਕਰਦਾ ਹੈਂ, ਤੂੰ ਉਹ ਨੂੰ ਮੀਂਹ ਨਾਲ ਨਰਮ ਕਰਦਾ ਹੈਂ, ਤੂੰ ਉਹ ਦੇ ਪੁੰਗਰਨ ਵਿੱਚ ਬਰਕਤ ਦਿੰਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 65 | Verse 11] ਤੂੰ ਆਪਣੀ ਨੇਕੀ ਦਾ ਮੁਕਟ ਸਾਲ ਦੇ ਉੱਤੇ ਧਰਦਾ ਹੈਂ, ਅਤੇ ਤੇਰੀਆਂ ਲੀਹਾਂ ਤੋਂ ਚਿਕਨਾਈ ਚੋਂਦੀ ਹੈ।
