[IRV | PA | OT | Psalms | Chapter 46 | Verse 1] ਪਰਮੇਸ਼ੁਰ ਸਾਡੀ ਪਨਾਹ ਅਤੇ ਸਾਡਾ ਬਲ ਹੈ, ਉਹ ਦੁੱਖਾਂ ਵਿੱਚ ਵੱਡਾ ਸਹਾਇਕ ਹੋਇਆ ਹੈ l
[IRV | PA | OT | Psalms | Chapter 46 | Verse 2] ਇਸ ਕਰਕੇ ਅਸੀਂ ਨਾ ਡਰਾਂਗੇ ਭਾਵੇਂ ਧਰਤੀ ਉਲਟ ਜਾਵੇ, ਅਤੇ ਪਰਬਤ ਸਮੁੰਦਰ ਦੇ ਵਿੱਚ ਹੀ ਸੁੱਟੇ ਜਾਣ,
[IRV | PA | OT | Psalms | Chapter 46 | Verse 3] ਭਾਵੇਂ ਉਹ ਦੇ ਪਾਣੀ ਗਰਜਣ ਅਤੇ ਝੱਗ ਛੱਡਣ, ਅਤੇ ਪਰਬਤ ਉਸ ਦੇ ਵਧਣ ਦੇ ਕਾਰਨ ਥਰ-ਥਰਾਉਣ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 4] ਇੱਕ ਨਦੀ ਹੈ ਜਿਸ ਦੀਆਂ ਧਾਰਾਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਗਰ ਨੂੰ, ਅੱਤ ਮਹਾਨ ਦੇ ਡੇਰਿਆਂ ਅਤੇ ਪਵਿੱਤਰ ਸਥਾਨ ਨੂੰ ਅਨੰਦਿਤ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 5] ਪਰਮੇਸ਼ੁਰ ਉਹ ਦੇ ਵਿੱਚ ਹੈ, ਉਹ ਨਾ ਡੋਲੇਗਾ, ਪਰਮੇਸ਼ੁਰ ਅੰਮ੍ਰਿਤ ਵੇਲੇ ਉਹ ਦੀ ਸਹਾਇਤਾ ਕਰੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 6] ਕੌਮਾਂ ਨੇ ਹੁੱਲੜ ਮਚਾਇਆ, ਰਾਜ ਡੋਲ ਗਏ, ਉਸ ਨੇ ਆਪਣਾ ਸ਼ਬਦ ਸੁਣਾਇਆ ਅਤੇ ਧਰਤੀ ਪੰਘਰ ਗਈ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 7] ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਸਾਡੇ ਅੰਗ-ਸੰਗ ਹੈ, ਯਾਕੂਬ ਦਾ ਪਰਮੇਸ਼ੁਰ ਸਾਡਾ ਉੱਚਾ ਗੜ੍ਹ ਹੈ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 8] ਆਓ, ਯਹੋਵਾਹ ਦੇ ਕੰਮਾਂ ਨੂੰ ਵੇਖੋ, ਜਿਸ ਨੇ ਧਰਤੀ ਉੱਤੇ ਤਬਾਹੀਆਂ ਮਚਾਈਆਂ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 46 | Verse 9] ਉਹ ਧਰਤੀ ਦੇ ਬੰਨਿਆਂ ਤੱਕ ਲੜਾਈਆਂ ਨੂੰ ਮੁਕਾ ਦਿੰਦਾ ਹੈ, ਉਹ ਧਣੁੱਖ ਨੂੰ ਭੰਨ ਸੁੱਟਦਾ ਹੈ ਅਤੇ ਬਰਛੀ ਦੇ ਟੋਟੇ-ਟੋਟੇ ਕਰ ਦਿੰਦਾ ਹੈ, ਉਹ ਰਥਾਂ ਨੂੰ ਅੱਗ ਨਾਲ ਸਾੜ ਸੁੱਟਦਾ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 46 | Verse 10] ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਆਖਦਾ ਹੈ, ਨਾ ਲੜੋ ਅਤੇ ਜਾਣ ਲਓ ਕਿ ਮੈਂ ਹੀ ਪਰਮੇਸ਼ੁਰ ਹਾਂ, ਮੈਂ ਕੌਮਾਂ ਵਿੱਚ ਵਡਿਆਇਆ ਜਾਂਵਾਂਗਾ, ਮੈਂ ਧਰਤੀ ਉੱਤੇ ਵਡਿਆਇਆ ਜਾਂਵਾਂਗਾ!
[IRV | PA | OT | Psalms | Chapter 46 | Verse 11] ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਸਾਡੇ ਅੰਗ-ਸੰਗ ਹੈ, ਯਾਕੂਬ ਦਾ ਪਰਮੇਸ਼ੁਰ ਸਾਡਾ ਉੱਚਾ ਗੜ੍ਹ ਹੈ। ਸਲਹ।
