[IRV | PA | OT | Psalms | Chapter 85 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਆਪਣੀ ਧਰਤੀ ਉੱਤੇ ਕਿਰਪਾ ਕੀਤੀ, ਯਾਕੂਬ ਦੀ ਗ਼ੁਲਾਮੀ ਨੂੰ ਤੂੰ ਮੁਕਾ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 2] ਆਪਣੀ ਪਰਜਾ ਦੀ ਬੁਰਿਆਈ ਤੂੰ ਮਾਫ਼ ਕੀਤੀ ਹੈ, ਤੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਾਰਿਆਂ ਪਾਪਾਂ ਨੂੰ ਕੱਜ ਦਿੱਤਾ ਹੈ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 3] ਤੂੰ ਆਪਣੇ ਸਾਰੇ ਕੋਪ ਨੂੰ ਹਟਾ ਲਿਆ, ਤੂੰ ਆਪਣੇ ਕ੍ਰੋਧ ਦੀ ਤੇਜ਼ੀ ਤੋਂ ਮੁੜਿਆ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 4] ਹੇ ਸਾਡੇ ਬਚਾਉਣ ਵਾਲੇ ਪਰਮੇਸ਼ੁਰ, ਸਾਡੀ ਵੱਲ ਮੂੰਹ ਮੋੜ, ਅਤੇ ਆਪਣੇ ਰੋਹ ਨੂੰ ਸਾਥੋਂ ਦੂਰ ਕਰ!
[IRV | PA | OT | Psalms | Chapter 85 | Verse 5] ਕੀ ਤੂੰ ਸਦਾ ਤੋੜੀ ਸਾਥੋਂ ਕ੍ਰੋਧਵਾਨ ਰਹੇਂਗਾ? ਕੀ ਤੂੰ ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ ਆਪਣੇ ਕ੍ਰੋਧ ਨੂੰ ਜਾਰੀ ਰੱਖੇਂਗਾ?
[IRV | PA | OT | Psalms | Chapter 85 | Verse 6] ਕੀ ਤੂੰ ਫੇਰ ਸਾਨੂੰ ਨਾ ਜਵਾਲੇਂਗਾ, ਕਿ ਤੇਰੀ ਪਰਜਾ ਤੇਰੇ ਵਿੱਚ ਅਨੰਦ ਹੋਵੇ?
[IRV | PA | OT | Psalms | Chapter 85 | Verse 7] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੀ ਦਯਾ ਸਾਨੂੰ ਵਿਖਾ, ਅਤੇ ਆਪਣੀ ਮੁਕਤੀ ਸਾਨੂੰ ਬਖਸ਼!।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 8] ਮੈਂ ਸੁਣ ਲਵਾਂ ਕਿ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਕੀ ਆਖੇਗਾ, ਉਹ ਤਾਂ ਆਪਣੀ ਪਰਜਾ ਤੇ ਆਪਣੇ ਸੰਤਾਂ ਨਾਲ ਸ਼ਾਂਤੀ ਦੀਆਂ ਗੱਲਾਂ ਕਰੇਗਾ, ਕਿ ਓਹ ਫੇਰ ਮੂਰਖਤਾਈ ਵੱਲ ਨਾ ਮੁੜਨ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 9] ਨਿਸੰਗ ਉਹ ਦਾ ਛੁਟਕਾਰਾ ਉਹ ਦੇ ਭੈਅ ਮੰਨਣ ਵਾਲਿਆਂ ਦੇ ਨੇੜੇ ਹੈ, ਕਿ ਸਾਡੇ ਦੇਸ ਵਿੱਚ ਮਹਿਮਾ ਵੱਸੇ!
[IRV | PA | OT | Psalms | Chapter 85 | Verse 10] ਦਯਾ ਅਤੇ ਸਚਿਆਈ ਆਪੋ ਵਿੱਚ ਮਿਲ ਗਈਆਂ, ਧਰਮ ਅਤੇ ਸ਼ਾਂਤੀ ਨੇ ਇੱਕ ਦੂਏ ਨੂੰ ਚੁੰਮਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 11] ਸਚਿਆਈ ਧਰਤੀ ਵਿੱਚੋਂ ਉੱਗਦੀ ਹੈ, ਅਤੇ ਸਵਰਗ ਤੋਂ ਧਰਮ ਝਾਕਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 12] ਫੇਰ ਯਹੋਵਾਹ ਉੱਤਮ ਪਦਾਰਥ ਬਖ਼ਸ਼ੇਗਾ, ਅਤੇ ਸਾਡੀ ਧਰਤੀ ਆਪਣੀ ਉਪਜ ਦੇਵੇਗੀ।
[IRV | PA | OT | Psalms | Chapter 85 | Verse 13] ਧਰਮ ਉਹ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਚੱਲੇਗਾ, ਅਤੇ ਉਹ ਦੇ ਖੁਰਿਆਂ ਨੂੰ ਇੱਕ ਰਸਤਾ ਬਣਾਵੇਗਾ।
