[IRV | PA | OT | Psalms | Chapter 51 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਆਪਣੀ ਕਿਰਪਾ ਦੇ ਅਨੁਸਾਰ ਮੇਰੇ ਉੱਤੇ ਦਯਾ ਕਰ, ਆਪਣੀਆਂ ਰਹਿਮਤਾਂ ਦੇ ਅਨੁਸਾਰ ਮੇਰੇ ਅਪਰਾਧ ਮਿਟਾ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 51 | Verse 2] ਮੇਰੀ ਬਦੀ ਤੋਂ ਮੈਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਧੋ, ਅਤੇ ਮੇਰੇ ਪਾਪ ਤੋਂ ਮੈਨੂੰ ਸ਼ੁੱਧ ਕਰ,
[IRV | PA | OT | Psalms | Chapter 51 | Verse 3] ਕਿਉਂ ਜੋ ਮੈਂ ਆਪਣੇ ਅਪਰਾਧ ਜਾਣਦਾ ਹਾਂ, ਅਤੇ ਮੇਰਾ ਪਾਪ ਸਦਾ ਮੇਰੇ ਸਾਹਮਣੇ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 4] ਮੈਂ ਤੇਰਾ, ਹਾਂ, ਤੇਰਾ ਹੀ ਪਾਪ ਕੀਤਾ, ਅਤੇ ਤੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਇਹ ਬੁਰਿਆਈ ਕੀਤੀ, ਤਾਂ ਜੋ ਤੂੰ ਆਪਣੇ ਫੈਸਲੇ ਵਿੱਚ ਧਰਮੀ ਠਹਿਰੇਂ, ਅਤੇ ਆਪਣੇ ਨਿਆਂ ਵਿੱਚ ਤੂੰ ਸਾਫ਼ ਨਿੱਕਲੇਂ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 5] ਵੇਖ, ਮੈਂ ਬਦੀ ਵਿੱਚ ਜੰਮਿਆ, ਅਤੇ ਪਾਪ ਵਿੱਚ ਮੇਰੀ ਮਾਤਾ ਨੇ ਮੈਨੂੰ ਕੁੱਖ ਵਿੱਚ ਲਿਆ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 6] ਵੇਖ, ਤੂੰ ਅੰਦਰਲੀ ਸਚਿਆਈ ਚਾਹੁੰਦਾ ਹੈਂ, ਅਤੇ ਗੁਪਤ ਮਨ ਵਿੱਚ ਮੈਨੂੰ ਬੁੱਧੀ ਸਿਖਾਵੇਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 7] ਜੂਫ਼ੇ ਨਾਲ ਮੈਨੂੰ ਪਾਕ ਕਰ ਤਾਂ ਮੈਂ ਸ਼ੁੱਧ ਹੋ ਜਾਂਵਾਂਗਾ, ਮੈਨੂੰ ਧੋ, ਤਾਂ ਮੈਂ ਬਰਫ਼ ਨਾਲੋਂ ਵੀ ਚਿੱਟਾ ਹੋ ਜਾਂਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 8] ਮੈਨੂੰ ਖੁਸ਼ੀ ਅਤੇ ਅਨੰਦ ਸੁਣਾ, ਤਾਂ ਜੋ ਓਹ ਹੱਡੀਆਂ ਜਿਨ੍ਹਾਂ ਨੂੰ ਤੂੰ ਤੋੜ ਦਿੱਤਾ ਅਨੰਦ ਹੋਣ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 9] ਮੇਰਿਆਂ ਪਾਪਾਂ ਵੱਲੋਂ ਮੂੰਹ ਫੇਰ ਲੈ, ਅਤੇ ਮੇਰੀਆਂ ਸਾਰੀਆਂ ਬਦੀਆਂ ਨੂੰ ਮਿਟਾ ਦੇ!
[IRV | PA | OT | Psalms | Chapter 51 | Verse 10] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੇ ਲਈ ਇੱਕ ਪਾਕ ਮਨ ਉਤਪੰਨ ਕਰ, ਅਤੇ ਮੇਰੇ ਅੰਦਰ ਨਵੇਂ ਸਿਰੇ ਤੋਂ ਸਥਿਰ ਆਤਮਾ ਵੀ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 11] ਮੈਨੂੰ ਆਪਣੇ ਹਜ਼ੂਰੋਂ ਨਾ ਧੱਕ, ਅਤੇ ਆਪਣਾ ਪਵਿੱਤਰ ਆਤਮਾ ਮੈਥੋਂ ਨਾ ਲੈ!
[IRV | PA | OT | Psalms | Chapter 51 | Verse 12] ਆਪਣੀ ਮੁਕਤੀ ਦੀ ਖੁਸ਼ੀ ਮੈਨੂੰ ਮੋੜ ਦੇ, ਅਤੇ ਆਪਣੇ ਪਰਮ ਆਤਮਾ ਨਾਲ ਮੈਨੂੰ ਸੰਭਾਲ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 13] ਤਦ ਮੈਂ ਅਪਰਾਧੀਆਂ ਨੂੰ ਤੇਰੇ ਰਾਹ ਸਿਖਾਵਾਂਗਾ, ਅਤੇ ਪਾਪੀ ਤੇਰੇ ਵੱਲ ਮੁੜਨਗੇ।
[IRV | PA | OT | Psalms | Chapter 51 | Verse 14] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਮੇਰੀ ਮੁਕਤੀ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਨੂੰ ਖੂਨ ਦੇ ਦੋਸ਼ ਤੋਂ ਛੁਡਾ, ਤਾਂ ਮੇਰੀ ਜੀਭ ਤੇਰੇ ਧਰਮ ਦਾ ਜੈ-ਜੈਕਾਰ ਕਰੇਗੀ।
