[IRV | PA | OT | Psalms | Chapter 74 | Verse 1] ਹੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਸਾਨੂੰ ਸਦਾ ਲਈ ਕਿਉਂ ਤਿਆਗ ਦਿੱਤਾ? ਤੇਰੀ ਜੂਹ ਦੀਆਂ ਭੇਡਾਂ ਉੱਤੇ ਤੇਰੇ ਕ੍ਰੋਧ ਦਾ ਧੂੰਆਂ ਕਿਉਂ ਉੱਠਦਾ ਹੈ?
[IRV | PA | OT | Psalms | Chapter 74 | Verse 2] ਆਪਣੀ ਪਰਜਾ ਨੂੰ ਜਿਸ ਨੂੰ ਤੂੰ ਮੁੱਢ ਤੋਂ ਮੁੱਲ ਲਿਆ ਹੈ, ਅਤੇ ਆਪਣੇ ਅਧਿਕਾਰ ਦੇ ਗੋਤ ਹੋਣ ਲਈ ਛੁਡਾਇਆ ਹੈ ਚੇਤੇ ਕਰ, ਨਾਲੇ ਇਸ ਸੀਯੋਨ ਪਰਬਤ ਨੂੰ ਜਿੱਥੇ ਤੂੰ ਰਿਹਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 3] ਸਦਾ ਦੇ ਉਜੜੇ ਥਾਵਾਂ ਵੱਲ ਕਦਮ ਉਠਾ, ਅਰਥਾਤ ਉਸ ਸਾਰੀ ਖਰਾਬੀ ਵੱਲ ਵੀ, ਜਿਹੜੀ ਪਵਿੱਤਰ ਥਾਂ ਵਿੱਚ ਵੈਰੀ ਨੇ ਕੀਤੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 4] ਤੇਰੇ ਵਿਰੋਧੀ ਤੇਰੀ ਪਰਜਾ ਵਿੱਚ ਗੱਜਦੇ ਰਹੇ, ਉਨ੍ਹਾਂ ਨੇ ਨਿਸ਼ਾਨ ਲਈ ਆਪਣੇ ਝੰਡੇ ਖੜੇ ਕੀਤੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 5] ਓਹ ਅਜਿਹੇ ਦਿੱਸਦੇ ਪਏ ਹਨ ਕਿ ਜਿਵੇਂ ਦਰੱਖਤਾਂ ਉੱਤੇ ਮਨੁੱਖ ਕੁਹਾੜੇ ਚਲਾ ਰਹੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 74 | Verse 6] ਹੁਣ ਉਹ ਦੀਆਂ ਉੱਕਰੀਆਂ ਹੋਇਆ ਵਸਤਾਂ ਨੂੰ ਕੁਹਾੜੀਆਂ ਅਤੇ ਹਥੌੜਿਆਂ ਨਾਲ ਭੰਨ ਸੁੱਟਦੇ ਹਨ!
[IRV | PA | OT | Psalms | Chapter 74 | Verse 7] ਉਨ੍ਹਾਂ ਨੇ ਤੇਰੇ ਪਵਿੱਤਰ ਸਥਾਨਾਂ ਨੂੰ ਅੱਗ ਲਾਈ ਹੈ, ਉਨ੍ਹਾਂ ਨੇ ਤੇਰੇ ਨਾਮ ਦੇ ਡੇਰੇ ਨੂੰ ਭੋਂ ਤੱਕ ਢਾਹ ਕੇ ਭਰਿਸ਼ਟ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 8] ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਿਆ ਹੈ, ਆਓ, ਅਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਹੀ ਦਬਾ ਦੇਈਏ! ਉਨ੍ਹਾਂ ਨੇ ਦੇਸ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਾਰੇ ਸਭਾ ਘਰਾਂ ਨੂੰ ਫੂਕ ਸੁੱਟਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 9] ਅਸੀਂ ਹੁਣ ਕੋਈ ਨਿਸ਼ਾਨ ਨਹੀਂ ਵੇਖਦੇ, ਹੁਣ ਕੋਈ ਨਬੀ ਨਹੀਂ ਰਿਹਾ, ਨਾ ਕੋਈ ਸਾਡੇ ਵਿੱਚ ਜਾਣਦਾ ਹੈ ਕਿ ਅਜਿਹਾ ਕਦੋਂ ਤੱਕ ਰਹੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 74 | Verse 10] ਕਦੋਂ ਤੱਕ, ਹੇ ਪਰਮੇਸ਼ੁਰ, ਵਿਰੋਧੀ ਨਿੰਦਿਆ ਕਰੇਗਾ? ਭਲਾ, ਵੈਰੀ ਸਦਾ ਤੱਕ ਤੇਰੇ ਨਾਮ ਉੱਤੇ ਕੁਫ਼ਰ ਬਕੇਗਾ?
[IRV | PA | OT | Psalms | Chapter 74 | Verse 11] ਤੂੰ ਆਪਣਾ ਹੱਥ, ਆਪਣਾ ਸੱਜਾ ਹੱਥ ਕਿਉਂ ਰੋਕ ਰੱਖਦਾ ਹੈਂ? ਉਹ ਨੂੰ ਆਪਣੀ ਬਗਲ ਵਿੱਚੋਂ ਕੱਢ ਕੇ ਉਨ੍ਹਾਂ ਦਾ ਅੰਤ ਕਰ!
