[IRV | PA | OT | Psalms | Chapter 26 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੇਰਾ ਨਿਆਂ ਕਰ ਕਿਉਂ ਜੋ ਮੈਂ ਖਰਿਆਈ ਨਾਲ ਹੀ ਚੱਲਿਆ ਹਾਂ, ਮੈਂ ਯਹੋਵਾਹ ਉੱਤੇ ਅਟੱਲ ਭਰੋਸਾ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 2] ਹੇ ਯਹੋਵਾਹ, ਮੈਨੂੰ ਪਰਖ ਅਤੇ ਮੈਨੂੰ ਪਰਤਾ, ਮੇਰੇ ਗੁਰਦੇ ਅਤੇ ਮੇਰੇ ਦਿਲ ਨੂੰ ਜਾਂਚ,
[IRV | PA | OT | Psalms | Chapter 26 | Verse 3] ਕਿਉਂ ਜੋ ਤੇਰੀ ਦਯਾ ਮੇਰੀ ਅੱਖੀਆਂ ਦੇ ਅੱਗੇ ਹੈ, ਅਤੇ ਮੈਂ ਤੇਰੀ ਸਚਿਆਈ ਵਿੱਚ ਚੱਲਿਆ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 4] ਮੈਂ ਨਿਕੰਮਿਆਂ ਦੇ ਸੰਗ ਨਹੀਂ ਬੈਠਾ, ਨਾ ਮੈਂ ਕਪਟੀਆਂ ਦੇ ਸੰਗ ਅੰਦਰ ਜਾਂਵਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 5] ਬੁਰਿਆਂ ਦੀ ਸਭਾ ਨਾਲ ਮੈਂ ਵੈਰ ਰੱਖਿਆ ਹੈ, ਅਤੇ ਦੁਸ਼ਟਾਂ ਦੇ ਸੰਗ ਮੈਂ ਨਹੀਂ ਬੈਠਾਂਗਾ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 6] ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਆਪਣੇ ਹੱਥਾਂ ਨੂੰ ਨਿਰਮਲਤਾਈ ਦੇ ਜਲ ਨਾਲ ਧੋਵਾਂਗਾ, ਇਸ ਲਈ ਮੈਂ ਤੇਰੀ ਜਗਵੇਦੀ ਦੀ ਪਰਿਕਰਮਾ ਕਰਾਂਗਾ,
[IRV | PA | OT | Psalms | Chapter 26 | Verse 7] ਤਾਂ ਜੋ ਮੈਂ ਧੰਨਵਾਦ ਦਾ ਸ਼ਬਦ ਸੁਣਾਵਾਂ, ਅਤੇ ਤੇਰੇ ਸਾਰਿਆਂ ਅਚਰਜ਼ ਕੰਮਾਂ ਦਾ ਬਿਆਨ ਕਰਾਂ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 8] ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਤੇਰੇ ਭਵਨ ਦੇ ਵਸੇਬਿਆਂ ਨਾਲ, ਅਤੇ ਤੇਰੀ ਮਹਿਮਾ ਦੇ ਡੇਰੇ ਨਾਲ ਪ੍ਰੇਮ ਰੱਖਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 9] ਮੇਰੀ ਜਾਨ ਨੂੰ ਪਾਪੀਆਂ ਦੇ ਨਾਲ ਨਾ ਮਿਲਾ, ਨਾ ਮੇਰੀ ਜਿੰਦ ਨੂੰ ਖੂਨੀਆਂ ਦੇ ਨਾਲ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 10] ਜਿਨ੍ਹਾਂ ਦੇ ਹੱਥਾਂ ਵਿੱਚ ਸ਼ਰਾਰਤ ਹੈ, ਅਤੇ ਜਿਨ੍ਹਾਂ ਦਾ ਸੱਜਾ ਹੱਥ ਰਿਸ਼ਵਤਾਂ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 11] ਪਰ ਮੈਂ ਖਰਾ ਹੀ ਚੱਲਾਂਗਾ, ਮੈਨੂੰ ਛੁਟਕਾਰਾ ਦੇ ਅਤੇ ਮੇਰੇ ਉੱਤੇ ਦਯਾ ਕਰ।
[IRV | PA | OT | Psalms | Chapter 26 | Verse 12] ਮੇਰਾ ਪੈਰ ਪੱਧਰੇ ਥਾਂ ਉੱਤੇ ਟਿਕਿਆ ਹੋਇਆ ਹੈ, ਮੈਂ ਸਭਾਵਾਂ ਵਿੱਚ ਯਹੋਵਾਹ ਨੂੰ ਧੰਨ ਆਖਾਂਗਾ।
