[IRV | PA | OT | Psalms | Chapter 25 | Verse 1] ਹੇ ਯਹੋਵਾਹ, ਮੈਂ ਆਪਣਾ ਮਨ ਤੇਰੇ ਵੱਲ ਚੁੱਕਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 2] ਹੇ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਤੇਰੇ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਿਆ ਹੈ ਮੈਨੂੰ ਸ਼ਰਮਿੰਦਾ ਨਾ ਹੋਣ ਦੇ, ਨਾ ਵੈਰੀਆਂ ਨੂੰ ਮੇਰੇ ਉੱਤੇ ਬਗਲਾਂ ਵਜਾਉਣ ਦੇ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 3] ਜਿੰਨ੍ਹੇ ਤੈਨੂੰ ਤੱਕਦੇ ਹਨ ਓਹ ਸ਼ਰਮਿੰਦੇ ਨਾ ਹੋਣਗੇ, ਸ਼ਰਮਿੰਦੇ ਉਹੋ ਹੋਣਗੇ ਜੋ ਮੱਲੋ-ਮੱਲੀ ਧੋਖਾ ਦਿੰਦੇ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 4] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੇ ਰਾਹ ਮੈਨੂੰ ਵਿਖਾਲ, ਅਤੇ ਆਪਣੇ ਮਾਰਗ ਮੈਨੂੰ ਸਿਖਲਾ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 5] ਆਪਣੀ ਸੱਚਾਈ ਵਿੱਚ ਮੇਰੀ ਅਗਵਾਈ ਕਰ ਮੈਨੂੰ ਸਿਖਲਾ, ਕਿਉਂ ਜੋ ਤੂੰ ਮੇਰਾ ਮੁਕਤੀਦਾਤਾ ਪਰਮੇਸ਼ੁਰ ਹੈ, ਸਾਰਾ ਦਿਨ ਮੈਂ ਤੈਨੂੰ ਤੱਕਦਾ ਰਹਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 6] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੀਆਂ ਦਿਆਲ਼ਗੀਆਂ ਅਤੇ ਦਯਾ ਨੂੰ ਚੇਤੇ ਰੱਖ, ਉਹ ਤਾਂ ਮੁੱਢ ਤੋਂ ਹਨ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 7] ਮੇਰੀ ਜਵਾਨੀ ਦੇ ਪਾਪਾਂ ਅਤੇ ਮੇਰੇ ਅਪਰਾਧ ਨੂੰ ਚੇਤੇ ਨਾ ਰੱਖ। ਹੇ ਯਹੋਵਾਹ, ਆਪਣੀ ਦਯਾ ਅਨੁਸਾਰ, ਤੇ ਆਪਣੀ ਭਲਾਈ ਦੇ ਕਾਰਨ ਤੂੰ ਮੈਨੂੰ ਚੇਤੇ ਰੱਖ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 8] ਯਹੋਵਾਹ ਭਲਾ ਅਤੇ ਸੱਚਾ ਹੈ, ਇਸ ਕਰਕੇ ਉਹ ਪਾਪੀਆਂ ਨੂੰ ਆਪਣੇ ਰਾਹ ਸਿਖਲਾਏਗਾ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 9] ਉਹ ਮਸਕੀਨਾਂ ਦੀ ਅਗਵਾਈ ਨਿਆਂ ਨਾਲ ਕਰੇਗਾ, ਅਤੇ ਅਧੀਨਾਂ ਨੂੰ ਆਪਣਾ ਰਾਹ ਸਿਖਾਲੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 25 | Verse 10] ਯਹੋਵਾਹ ਦੇ ਨੇਮ ਅਤੇ ਸਾਖੀਆਂ ਦੇ ਮੰਨਣ ਵਾਲਿਆਂ ਲਈ, ਉਸ ਦੇ ਸਾਰੇ ਮਾਰਗ ਦਯਾ ਅਤੇ ਸਚਿਆਈ ਦੇ ਹਨ l
[IRV | PA | OT | Psalms | Chapter 25 | Verse 11] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੇ ਨਾਮ ਦੇ ਨਮਿੱਤ ਮੇਰੀ ਬਦੀ ਨੂੰ ਖਿਮਾ ਕਰ ਕਿਉਂ ਜੋ ਉਹ ਵੱਡੀ ਹੈ।
