[IRV | PA | OT | Psalms | Chapter 7 | Verse 1] ਹੇ ਯਹੋਵਾਹ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਮੈਂ ਤੇਰੀ ਪਨਾਹ ਲੈਂਦਾ ਹਾਂ! ਤੂੰ ਮੈਨੂੰ ਮੇਰੇ ਸਭ ਪਿੱਛਾ ਕਰਨ ਵਾਲਿਆਂ ਤੋਂ ਬਚਾ ਕੇ ਛੁਡਾ ਲੈ,
[IRV | PA | OT | Psalms | Chapter 7 | Verse 2] ਕਿਤੇ ਅਜਿਹਾ ਨਾ ਹੋਵੇ ਕਿ ਕੋਈ ਬੱਬਰ ਸ਼ੇਰ ਵਾਂਗੂੰ ਮੇਰੀ ਜਿੰਦ ਨੂੰ ਪਾੜ ਖਾਵੇ, ਅਤੇ ਕੋਈ ਛੁਡਾਉਣ ਵਾਲਾ ਨਾ ਹੋਣ ਕਰਕੇ ਉਹ ਮੇਰੇ ਟੋਟੇ-ਟੋਟੇ ਕਰ ਛੱਡੇ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 3] ਹੇ ਯਹੋਵਾਹ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ, ਜੇ ਮੇਰੇ ਕੋਲੋਂ ਇਹ ਹੋਇਆ ਹੋਵੇ, ਜੇ ਮੇਰੇ ਹੱਥੋਂ ਬਦੀ ਹੋਈ ਹੋਵੇ,
[IRV | PA | OT | Psalms | Chapter 7 | Verse 4] ਜੇ ਮੈਂ ਆਪਣੇ ਸਾਥੀ ਨਾਲ ਬੁਰਿਆਈ ਕੀਤੀ ਹੋਵੇ, ਸਗੋਂ ਮੈਂ ਤਾਂ ਆਪਣੇ ਬੇ ਸਬੱਬੋਂ ਵਿਰੋਧੀ ਨੂੰ ਛੁਡਾਇਆ ਹੈ
[IRV | PA | OT | Psalms | Chapter 7 | Verse 5] ਤਾਂ ਵੈਰੀ ਮੇਰੀ ਜਾਨ ਦਾ ਪਿੱਛਾ ਕਰ ਕੇ ਉਹ ਨੂੰ ਫੜ ਲਵੇ, ਅਤੇ ਮੇਰੀ ਜਿੰਦ ਨੂੰ ਧਰਤੀ ਉੱਤੇ ਮਿੱਧ ਦੇਵੇ, ਅਤੇ ਮੇਰੀ ਇੱਜ਼ਤ ਨੂੰ ਮਿੱਟੀ ਵਿੱਚ ਮਿਲਾਵੇ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 6] ਹੇ ਯਹੋਵਾਹ, ਆਪਣੇ ਕ੍ਰੋਧ ਨਾਲ ਉੱਠ, ਮੇਰੇ ਵਿਰੋਧੀਆਂ ਦੇ ਗ਼ਜ਼ਬ ਦੇ ਵਿਰੁੱਧ ਉੱਠ, ਅਤੇ ਮੇਰੇ ਲਈ ਜਾਗ। ਤੂੰ ਨਿਆਂ ਦਾ ਹੁਕਮ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 7] ਉੱਮਤਾਂ ਦੀ ਮੰਡਲੀ ਮੇਰੇ ਦੁਆਲੇ ਆਵੇ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਕਾਰਨ ਤੂੰ ਉਤਾਹਾਂ ਨੂੰ ਮੁੜ ਜਾ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 8] ਯਹੋਵਾਹ ਕੌਮਾਂ ਦਾ ਨਿਆਂ ਕਰੇਗਾ, ਹੇ ਯਹੋਵਾਹ, ਮੇਰੇ ਧਰਮ ਅਤੇ ਮੇਰੀ ਸਿਧਿਆਈ ਦੇ ਅਨੁਸਾਰ ਮੇਰਾ ਨਿਆਂ ਕਰ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 9] ਦੁਸ਼ਟਾਂ ਦੀ ਬਦੀ ਮੁੱਕ ਜਾਵੇ ਪਰ ਤੂੰ ਧਰਮੀ ਨੂੰ ਦ੍ਰਿੜ੍ਹ ਕਰ, ਹੇ ਧਰਮੀ ਪਰਮੇਸ਼ੁਰ, ਜੋ ਦਿਲਾਂ ਅਤੇ ਗੁਰਦਿਆਂ ਨੂੰ ਜਾਚਦਾ ਹੈਂ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 10] ਮੇਰੀ ਢਾਲ਼ ਪਰਮੇਸ਼ੁਰ ਦੇ ਕੋਲ ਹੈ, ਜਿਹੜਾ ਸਿੱਧੇ ਮਨ ਵਾਲਿਆਂ ਦਾ ਬਚਾਉਣ ਵਾਲਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 11] ਪਰਮੇਸ਼ੁਰ ਸੱਚਾ ਨਿਆਈਂ ਹੈ, ਹਾਂ, ਇੱਕ ਪਰਮੇਸ਼ੁਰ ਜਿਹੜਾ ਰੋਜ਼ ਕ੍ਰੋਧਵਾਨ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 12] ਜੇ ਮਨੁੱਖ ਨਾ ਮੁੜੇ, ਤਾਂ ਉਹ ਆਪਣੀ ਤਲਵਾਰ ਤਿੱਖੀ ਕਰੇਗਾ, ਉਸ ਨੇ ਆਪਣਾ ਧਣੁੱਖ ਝੁਕਾ ਕੇ ਤਿਆਰ ਕਰ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 13] ਉਹ ਨੇ ਉਸ ਲਈ ਮੌਤ ਦਾ ਸ਼ਸਤਰ ਵੀ ਤਿਆਰ ਕੀਤਾ ਹੈ, ਉਹ ਆਪਣੇ ਤੀਰਾਂ ਨੂੰ ਅਗਨ-ਬਾਣ ਬਣਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 14] ਵੇਖੋ, ਦੁਸ਼ਟ ਨੂੰ ਬਦੀ ਦੀ ਪੀੜ ਲੱਗੀ ਹੋਈ ਹੈ, ਅਤੇ ਸ਼ਰਾਰਤ ਉਸ ਦੇ ਗਰਭ ਵਿੱਚ ਪਈ ਹੈ ਅਤੇ ਝੂਠ ਉਸ ਤੋਂ ਜੰਮਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 15] ਉਸ ਨੇ ਟੋਇਆ ਕੱਢਿਆ ਅਤੇ ਡੂੰਘਾ ਪੁੱਟਿਆ ਹੈ, ਅਤੇ ਜਿਹੜੀ ਖੱਡ ਉਸ ਨੇ ਪੁੱਟੀ ਸੀ ਉਸੇ ਵਿੱਚ ਉਹ ਆਪ ਡਿੱਗ ਪਿਆ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 16] ਉਸ ਦੀ ਸ਼ਰਾਰਤ ਉਸੇ ਦੇ ਸਿਰ ਉੱਤੇ ਮੁੜ ਆਵੇਗੀ, ਅਤੇ ਉਸ ਦਾ ਅਨ੍ਹੇਰ ਉਸੇ ਦੇ ਸਿਰ ਉੱਤੇ ਪਵੇਗਾ।
[IRV | PA | OT | Psalms | Chapter 7 | Verse 17] ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਧਰਮ ਦੇ ਅਨੁਸਾਰ ਉਸ ਦਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ, ਅਤੇ ਮੈਂ ਅੱਤ ਮਹਾਨ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਦੀ ਉਸਤਤ ਗਾਵਾਂਗਾ।
